subject_id,outer_fold,pm,target_id,calibration_record_group_id,calibration_budget_seconds,budget_fully_available,calibration_exact_lag_slots,calibration_low,calibration_high,calibration_middle,calibration_extreme,calibration_extreme_sample_hash,evaluation_low,evaluation_high,evaluation_extreme,evaluation_extreme_sample_hash,evaluation_ready,eligible,eligibility_reason,calibration_evaluation_overlap,record_stitching_used,middle_used_for_training
81f1f0fe,1,excitement,target_excitement,81f1f0fe__day1____2023.11.27T09.37.48p03.00,1800,True,180,28,44,108,72,42ebbe399c694733657c6a517241392bfd282968cb9ead8b071bafc8519adedc,121,188,309,29ec33230e5f5d7dc02e7944cc4a18e2ac1f68f1d70267757247387b4d29d51c,True,True,full1800_min10_each_eval_ready,0,False,False
a1721173,1,excitement,target_excitement,a1721173__day1____2023.11.30T14.11.21p03.00,1800,False,27,9,7,11,16,7a9f12cc8f5592c5d11c50907b4c38485102bbde488d6e12f63b42539ae3737e,39,39,78,abac1927003aff084ae88553fc286844c8e9babc4312e3028eb6c5bf7b846953,True,False,operational_fallback,0,False,False
c060c06a,1,excitement,target_excitement,c060c06a__day1____2023.11.29T09.22.25p03.00,1800,True,180,107,10,63,117,1f0549ad95f5c1c870329954662460432774d278055acb5bab80930f76f8f60c,126,34,160,e54ffb71f604e97bcafd2838613c608f11e60d7f72360e5b3de6354e8a0846cc,True,True,full1800_min10_each_eval_ready,0,False,False
c112918e,1,excitement,target_excitement,c112918e__day1____2023.12.04T15.14.19p03.00,1800,True,180,34,79,67,113,f3565ce7256ad0c0ba28645e8bda5d73f7b300a087cbbe979e45c7805f2a164d,335,118,453,693e4056b5822d6afcffde91dc97469eea4081dfcf6bc773f6af498b88953a59,True,True,full1800_min10_each_eval_ready,0,False,False
d111e017,1,excitement,target_excitement,d111e017__day1____2023.12.05T11.06.22p03.00,1800,True,180,37,56,87,93,a00e763e7f8282412d199d7cbdfd06d63604d44b6db2a0d0dab493e2813e78ed,374,429,803,b4efe3344b74faa0d6ed7bfd7572a901f2a57b5447f7cf36fcdfe5ea5564dfb6,True,True,full1800_min10_each_eval_ready,0,False,False
f1d06060,1,excitement,target_excitement,f1d06060__day1____2023.12.11T17.50.49p03.00,1800,True,178,72,76,30,148,1bcdd325896bae90cee2c01f8e716a6ac373d66050f25eff5d9ba81224c20d37,88,204,292,11b7f04710ffc1ab55fdca4f15be66510560f92884bf4dfe18ff28daed21a909,True,True,full1800_min10_each_eval_ready,0,False,False
30c140ca,1,focus,target_focus,30c140ca__day1____2023.12.18T09.42.40p03.00,1800,True,180,137,21,22,158,30d43b879e76bfc77dfddfea96d3e8a65f11f59a5593b8758805b7c121a61609,49,94,143,194aeb1b1fd6275088bac7237adb739bf065a09bd7bcb0d3401db5f681cb1849,True,True,full1800_min10_each_eval_ready,0,False,False
3110e0c7,1,focus,target_focus,3110e0c7__day1____2024.01.29T09.42.53p01.00,1800,True,147,28,41,78,69,84eb3f3cf37e7bd89f28aca56977874ef827a968c24a66c6d92ef3a41b31f9fa,37,185,222,f9c03b5d4c62318fd1263b5af6ec519c3a8859d5f192852cd20660658954a74d,True,True,full1800_min10_each_eval_ready,0,False,False
40f0714a,1,focus,target_focus,40f0714a__day2____2023.12.15T11.55.06p03.00,1800,False,154,121,3,30,124,12e0bf91b375746723506314fb1e3c5922c07e88ea49eb38c0d078173b3535d2,0,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,False,False,operational_fallback,0,False,False
7150e10a,1,focus,target_focus,7150e10a__day1____2023.12.09T09.37.19p03.00,1800,True,180,119,10,51,129,44b3321831680d8c1fcfa9ba0c3465d8550721eaba2c8aa90d7066066af073ba,297,78,375,4be7ae15632de70c5b07ca2fc5f5dab3f5dee5c9f76dd2cd814e58e18675a538,True,True,full1800_min10_each_eval_ready,0,False,False
71f0603f,1,focus,target_focus,71f0603f__day1____2023.11.28T09.25.58p03.00,1800,True,180,38,61,81,99,f1b2f348572218b6b71165cdefa959cb7b4ec1bb26b5ec8453bc4d7678239d07,302,339,641,c782f2fde0942647968fc529161733ded7f9b917e78e60f5862de7c4515e4f59,True,True,full1800_min10_each_eval_ready,0,False,False
81f1f0fe,1,focus,target_focus,81f1f0fe__day1____2023.11.27T09.37.48p03.00,1800,True,180,11,121,48,132,11da21f9d7b532bace2b97966998de4909b1535261a21284680b01ed4d1c6b59,57,249,306,d285d791bc0bfc9ed4d523b7d22769abe2059da1e969816a6a1ddaeda173bc73,True,True,full1800_min10_each_eval_ready,0,False,False
a1721173,1,focus,target_focus,a1721173__day1____2023.11.30T14.11.21p03.00,1800,False,27,14,2,11,16,85533dce587600350190aadca94c8b3c418d0b7dd19e982b0dbf14d62d8106b9,19,39,58,3bf97c6028c6db8eb033d72e6e3a0d0029ca5c5699ba28968e051fed5b0ceb1f,True,False,operational_fallback,0,False,False
c060c06a,1,focus,target_focus,c060c06a__day1____2023.11.29T09.22.25p03.00,1800,True,180,162,3,15,165,a3fb6cfdf63c82fc56028b372e39f864894da457863e82a17af1d4bb1f259af4,220,10,230,2b8cc382aa3551b65caf887f3798dea9a55c5973a9ef8314106f5634c00f14ea,True,False,operational_fallback,0,False,False
c112918e,1,focus,target_focus,c112918e__day1____2023.12.04T15.14.19p03.00,1800,True,180,43,61,76,104,fe8fd33b83ffc3797c0fb7c980303e58bcfdc9d5bf7f4c66baccfa6ef872242f,367,84,451,41e2c0bdeff43b07a35d1ff3970988af1ba4ee1fc36949358ea70c30268a5f9e,True,True,full1800_min10_each_eval_ready,0,False,False
d111e017,1,focus,target_focus,d111e017__day1____2023.12.05T11.06.22p03.00,1800,True,180,15,55,110,70,f352f709e8b4411635e44c7d6589bf5d2426fc11b9038d23c6daa64e63fe67e6,403,366,769,ff768d4de989f9b85a50256750b0aecfc4def26e1e7521fddeb5cd6284c1015e,True,True,full1800_min10_each_eval_ready,0,False,False
f1d06060,1,focus,target_focus,f1d06060__day1____2023.12.11T17.50.49p03.00,1800,True,178,46,89,43,135,0c6799b4c03686384b824dcb88e3d5ca6db0577d987e1c0341fa3a696e47a48d,79,200,279,65753d02fd6da9591cf80243b0b940cfe0e583f804cc07223274aa1c2ce43be0,True,True,full1800_min10_each_eval_ready,0,False,False
30c140ca,1,interest,target_interest,30c140ca__day1____2023.12.18T09.42.40p03.00,1800,True,180,86,71,23,157,665c9718e3629b71a0ceff4bf30c5affc6b96aba1fdc5712ee58c5eb9db4e336,192,3,195,d5a4928a0b697900b617349957b7ab399ebf266e12fcddad08232a8c919d1b12,True,True,full1800_min10_each_eval_ready,0,False,False
3110e0c7,1,interest,target_interest,3110e0c7__day1____2024.01.29T09.42.53p01.00,1800,True,147,51,49,47,100,291bf179ac1a2c05de6ecb05b87bcf69c8d3be598bc1e2c21290479a682176f5,130,77,207,1c52cc19f3be3879d4d55b7af6ba78d8098458963bce35cdd07bfaa9b77a1f86,True,True,full1800_min10_each_eval_ready,0,False,False
40f0714a,1,interest,target_interest,40f0714a__day2____2023.12.15T11.55.06p03.00,1800,False,154,84,42,28,126,158c9e8b75627d8dcaf8d731bf72de950fb098d0491e8bc55e1a71dbcab4f91b,0,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,False,False,operational_fallback,0,False,False
7150e10a,1,interest,target_interest,7150e10a__day1____2023.12.09T09.37.19p03.00,1800,True,180,61,4,115,65,33d525123e6cc0e4718fec5fed2ce13b828cd711556dcacad52e7c450c4d9287,12,158,170,bd774c6fae6f611410a5b78c5b00041bc5ac386fc7fd00563d1ede423eaf5c12,True,False,operational_fallback,0,False,False
71f0603f,1,interest,target_interest,71f0603f__day1____2023.11.28T09.25.58p03.00,1800,True,180,103,47,30,150,63ca592fa36153a438f29050e25f1017e475c180272fb15a54fca93a9411f4fb,278,388,666,f6eff89343b13c9acdd70afb4d74011f571d713196caed9bfd5922101df857ad,True,True,full1800_min10_each_eval_ready,0,False,False
81f1f0fe,1,interest,target_interest,81f1f0fe__day1____2023.11.27T09.37.48p03.00,1800,True,180,56,98,26,154,858892c7ddcb83a90548c1ab27c97fa0f57899e2019afe81f3068e1a46ff7c94,221,149,370,ce92fad43fd65f1b3b1f0c4645184d0c81521a4dbe5d0029950b97961b0d6d84,True,True,full1800_min10_each_eval_ready,0,False,False
a1721173,1,interest,target_interest,a1721173__day1____2023.11.30T14.11.21p03.00,1800,False,27,11,7,9,18,4c15c55f9fb6dc28eae47651570429aeb06764800e6c648d96d8b5174252347c,61,45,106,52f6001aef7b2fe51f3cf81a16921c82822cb4be3ebf46c60027121bed04f0a7,True,False,operational_fallback,0,False,False
c060c06a,1,interest,target_interest,c060c06a__day1____2023.11.29T09.22.25p03.00,1800,True,180,38,43,99,81,87ac8b0d396f38f7369fd2fa679c5315d661d5fb2937b804f5b46cddf64355e4,83,120,203,d2d2d2afc62db4ca588b53fb484c79202dc83691e69753709eeca6859a11f71d,True,True,full1800_min10_each_eval_ready,0,False,False
c112918e,1,interest,target_interest,c112918e__day1____2023.12.04T15.14.19p03.00,1800,True,180,53,41,86,94,c0e1711b8c54c448700765a89890b3c613f16d7d0e1d43ef9af59e85fd3ab0aa,230,170,400,b82524c7eddc47baa9765310b629ebdb11284d0ddcc4f7fda9d964a35d95ba64,True,True,full1800_min10_each_eval_ready,0,False,False
d111e017,1,interest,target_interest,d111e017__day1____2023.12.05T11.06.22p03.00,1800,True,180,80,21,79,101,16a7aedf62a2d7abe9e029284a249921ffe561b4ae37fb4fc2ac3de8651b642c,436,360,796,aef3285d6163014f00068180f574aa6e18d1c9e5299bfb4a289d85a44b5d30a7,True,True,full1800_min10_each_eval_ready,0,False,False
f1d06060,1,interest,target_interest,f1d06060__day1____2023.12.11T17.50.49p03.00,1800,True,178,68,58,52,126,5604ace228daa512b0a0a6a82a457795377e19013009b14377ba275278d8057b,173,121,294,a7ee71a868c1f2ceeeee1454a2544e7d700d647d91130fdcd2e50620b968cbc6,True,True,full1800_min10_each_eval_ready,0,False,False
30c140ca,1,relaxation,target_relaxation,30c140ca__day1____2023.12.18T09.42.40p03.00,1800,True,180,2,160,18,162,ba0fd333a1e3a0f8e3ccaf87904d3107ca4415414d38c711b3d8f41201b0d595,141,28,169,2ee1f88498ca792a9393a7ceabf9342ef7959849d03df34079488dbd7171e91c,True,False,operational_fallback,0,False,False
3110e0c7,1,relaxation,target_relaxation,3110e0c7__day1____2024.01.29T09.42.53p01.00,1800,True,147,37,35,75,72,182df246e8e93fe8484a996dd03aa72cd96fe5d0b9d021e790eaabfd9e35f18f,118,94,212,f7c34121e39600488031e007151bb4b7abbdf90ab6c2641c3568fe3d6e7462bf,True,True,full1800_min10_each_eval_ready,0,False,False
40f0714a,1,relaxation,target_relaxation,40f0714a__day2____2023.12.15T11.55.06p03.00,1800,False,154,42,44,68,86,43ece78c53a26c600f8315cef2171132876531e03fa72ef57216ec3d4b195c44,0,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,False,False,operational_fallback,0,False,False
7150e10a,1,relaxation,target_relaxation,7150e10a__day1____2023.12.09T09.37.19p03.00,1800,True,180,84,13,83,97,5dd02aace992d8534dc183e17c75ddbd231b7d10502ceea786532a8a7308d2a6,205,181,386,eb82ec58b1b091b17fa711c53eba8e871a782db0ee64878721a8273d8b6582b1,True,True,full1800_min10_each_eval_ready,0,False,False
71f0603f,1,relaxation,target_relaxation,71f0603f__day1____2023.11.28T09.25.58p03.00,1800,True,180,66,23,91,89,cf9b2209a4646be7a97afe2f60831cf1e04afffb6fcafc93074a5490a79d830c,240,430,670,f6dec376ee7a2d1be5c34360ae3918569adc5173430d48815d0c80b19b8ec8a5,True,True,full1800_min10_each_eval_ready,0,False,False
