model,subject_id,n_pm,n_adaptation_applied_pm,delta_roc_auc,delta_pr_auc,brier_improvement,log_loss_improvement,delta_balanced_accuracy_vs_frozen_median,delta_macro_f1_vs_frozen_median
lightgbm,d0e2d025,7,7,0.0012118354835173,-0.0017943295342650759,0.020519608366982984,0.05511401411824451,-0.006206018455715857,-0.005608914969690436
lightgbm,d111e017,7,5,-0.0014845132305853254,-0.0017980869906474453,-0.0009684343313766436,-0.004116850934803767,-0.00037231479897630634,-0.0002718821160305434
lightgbm,d151b0c4,7,5,0.0025839484261407997,0.002607575806611719,0.005626141488209682,0.0034156483950632454,0.014081285403118704,0.010512545578324468
lightgbm,d18000a3,7,7,0.008144591886024597,0.007469244677771563,0.012843842796102348,0.04029245822906479,0.004391287985320529,-0.006227433758659877
lightgbm,f0f2a1e1,7,5,0.0044974647458815775,0.007805089594242452,0.005468403556729931,0.016797114896831465,0.0021512309652988687,0.005043629228242165
lightgbm,f121f1e0,7,6,0.024365211568241642,0.01832479609757622,0.06330742767042917,0.28428934421754826,0.014714024567131159,0.022649788879124784
lightgbm,f1a0c120,7,5,0.002224111179632044,0.005179277405799709,-0.0014858964931511276,-0.013135650990463885,-0.01625950760488794,-0.01681452268079366
lightgbm,f1d06060,7,7,0.010785549821153968,0.02054808108476149,0.04573317490396979,0.1393489707039987,-0.018231139641199805,-0.028473052840967985
xgboost,0001508a,7,7,0.06190624354890165,0.05946909348690183,0.030193447728292157,0.1394152149468615,-0.023292010843357396,-0.037293808083343934
xgboost,0012905a,7,5,0.017217587097594213,0.014423278229374472,0.01450335702994964,0.05208039236559051,0.011234519225846904,0.009780315022197086
xgboost,0110f12e,7,7,0.0026984150434669063,0.0021254989321212647,-0.002805402945293895,-0.032640870491473635,0.010511662335504537,0.006201836954680129
xgboost,0182e16c,7,5,0.019201652319682627,-0.020691579557345796,0.0913576511382114,0.5047194646283181,0.019235703128011056,0.005275896845147542
xgboost,01c2a0d8,7,7,0.022178335702129903,0.017818954133711633,0.0240645589852814,0.10215292559785076,0.014789996075207543,0.022756071850513124
xgboost,1081b177,7,7,0.020901350322894068,0.025711317527477923,0.03770249652665319,0.15521231849847675,0.019241336746530027,0.025491687958595577
xgboost,20201194,7,5,0.009394857924827906,0.020310429642460444,0.00910084104208996,0.08799155919823558,-0.024966852087128646,-0.029322800244884175
xgboost,2162c09e,7,6,-0.007382602773338306,-0.0012446567042923812,0.006880414592753189,0.01524843507640102,-0.004748771700393102,-0.0041409668923228105
xgboost,2182c1cd,7,7,0.025355019951434393,0.034200537330508984,0.03985243260990147,0.17234600564890323,0.030177404999727733,0.02510806034036328
xgboost,219060fa,5,5,0.01774629368694356,0.016329450806483382,0.026678110705155265,0.1128014088852467,0.01423160731498796,0.017359212849430407
xgboost,21a031f6,7,7,-0.0017741314517591502,-0.0021352045054711588,0.03670001475263766,0.11568342964081288,0.002471905888132334,0.014973185902361075
xgboost,30908049,7,4,0.038540410462919276,0.03511221916055139,0.03084890720451652,0.16653030481287004,0.028346314436764688,0.027388744801224045
xgboost,30c140ca,7,6,-0.01853446964711666,-0.009985098517006663,0.03675823811144601,0.16436815080972753,0.035939075139478374,0.07785479941423061
xgboost,3110e0c7,7,5,0.025250663491284322,0.010092912147451005,0.02171374501799381,0.0860411042735425,0.028635675528603688,0.041200147704789636
xgboost,40009139,7,7,0.013450748083619568,0.010096527901553465,0.03001981362353098,0.1847334064733204,0.02484619863516751,0.022064229602577527
xgboost,41e2010c,7,7,0.024197982520148393,0.015004905437781308,0.06724813548335803,0.33883976456960535,0.016294399809527182,0.028784256792946845
xgboost,5001d09a,7,7,0.01058200722333445,0.006839612983771083,0.012599262676419193,0.030882413617421802,0.007642155676700806,0.014233849376414523
xgboost,50c02189,7,6,-0.0028912412636369505,-0.018922110572799005,0.050442191900223046,0.22103096912240602,-0.024722301823659452,-0.044878973397874444
xgboost,517001af,7,4,-0.002079317559769454,-0.002125939086271408,-0.0027572417841789693,-0.020070567267017943,0.007033065427033207,0.012363245712412716
xgboost,6030f0fd,7,7,0.03229299307702449,0.022343304412237943,0.05859097550092217,0.20360104916036084,0.02443584349626574,0.021819121073583334
xgboost,7072a0e0,7,7,0.0015371998603902798,0.0043517375111074485,0.03437460310485879,0.13163488374571294,0.011169517529152613,-0.0017199380261559982
xgboost,7092f07b,7,7,0.04289753886034892,0.030671045337315794,0.10061727538856567,0.48525010962550397,0.024774972280444944,-0.007176021349963916
xgboost,7150e10a,7,6,0.012181276894966857,0.00998480679245888,0.030100561481772682,0.12059049327651121,0.00582183932797561,0.008753864297947682
xgboost,71a251fa,7,0,0.0,0.0,0.0,0.0,0.0,0.0
xgboost,71c09041,6,4,0.00596836409533887,0.004194670353255177,0.01063571785450628,0.07126831135026822,0.03192959324340753,0.03231562256897613
xgboost,71e10186,7,5,0.0011139642724260015,0.0013378662238303005,0.001370318889216875,0.009595427905656555,0.0023877262253501857,0.0015436695498157263
xgboost,71f0603f,7,7,0.003710965611559417,0.005174793160048573,0.004537152841559038,0.035119929458390334,-0.00822655459051258,-0.009495557313355274
xgboost,71f21142,6,4,0.008641154945703925,0.003258017815502834,0.014135787987296354,0.007442175766370314,0.007911171598713388,9.137932266835754e-05
xgboost,8030618f,7,7,0.04550257148614253,0.020994857228009294,0.05774276149904241,0.19544008698594917,0.031934140469464176,0.013664861377191488
xgboost,8191f1d9,7,5,0.03253452577526147,0.08414640205606165,0.04982357503393315,0.5203182182752226,-0.013357141193253819,-0.023419550144922443
xgboost,81e150c1,7,4,0.007032676668700032,0.003248724191769787,0.00987996755473399,0.032960888029953075,0.0043463971636598575,0.005012489621077159
xgboost,81f1f0fe,7,6,0.05504384013488268,0.025971620192367366,0.028445429573280577,0.06917890990881001,0.04536581315591769,0.04939175687500091
xgboost,a02151ac,7,7,0.07700935491917764,0.06855955865143096,0.05948050785003104,0.3588956137627025,0.05086646749850824,0.0691155466594197
xgboost,a1721173,7,0,0.0,0.0,0.0,0.0,0.0,0.0
xgboost,a1b210fc,7,7,0.022297306609241403,0.019855434027763717,0.03420304910484557,0.1206641601266213,0.02384290353251658,0.018944788058536673
xgboost,b0700166,7,6,0.031428097828112435,0.019565551135320054,0.041420642298958484,0.1622519961872609,0.013450933145895643,-0.005480591058039449
xgboost,b112005d,7,7,0.04305687288720293,0.039327010322503346,0.021096218100578046,0.03271719228664754,0.012718142276913353,0.02725665316049137
xgboost,b1c2f044,7,6,0.0005831254103244587,0.007450084405551029,0.0017526154925880924,-0.018471822385792463,-0.009653117586659146,-0.005001282657494824
xgboost,c060c06a,7,6,0.020235337880757456,0.026046684344270772,0.05458426704252876,0.18659915857987322,0.03215580807101776,0.04729137995590763
xgboost,c112918e,7,6,0.028144921867473447,0.04656781257597024,0.07630036899092578,0.39665605816664934,-0.026204139704616658,-0.03814595777343699
xgboost,c1a150b1,6,3,-0.0051072356944871404,0.0012679559464454093,0.03192129691445039,0.3401766384655866,-0.020574069321439476,-0.030024139988044467
xgboost,d0724095,7,7,0.004726655713318048,0.011494454727483687,0.015148307530004358,0.044298769659701843,0.016300611075294742,0.01911371984283322
xgboost,d0e2d025,7,7,-0.00032993059918630586,-0.006413413707012808,0.0211329641202361,0.06645032898934601,-0.0010889111848886937,0.0007091529254512143
xgboost,d111e017,7,5,0.000872711200280699,-0.0003623128974701454,0.002182159366608464,0.005753374435577088,0.00397661270064807,0.004308245699049814
xgboost,d151b0c4,7,5,0.0066342081922873275,0.008784299434241844,0.004594303152197952,-0.02925295619606773,0.01119325926376445,0.00702583198840212
xgboost,d18000a3,7,7,0.008394233241709246,0.01047713165601086,0.021565091318199305,0.09239058292155485,0.010368720712381358,0.0030650535323802275
xgboost,f0f2a1e1,7,5,-0.000910575643255299,0.00014321000780670445,0.00027475739662951047,-0.005996504002071273,-0.008209065639849371,-0.007704056460071186
xgboost,f121f1e0,7,6,0.02756744267607219,0.016743244681553273,0.07127394179297171,0.44858446168917077,0.02297460699678035,0.03203689809475959
xgboost,f1a0c120,7,5,0.011086216436636527,0.016129477686790423,0.0064307117865310725,-0.0061853138126830975,-0.002979777107223604,-0.003189392097109175
xgboost,f1d06060,7,7,0.010689312420992327,0.025737818553798735,0.038529150096541245,0.17867006042846834,-0.01791831533277804,-0.034997132497056084
