outer_fold,pm,target_id,n_outer_train,n_outer_train_subjects,outer_train_subjects_hash,outer_train_sample_hash,threshold_hash
2,focus,target_focus,16408,43,51f0cbf2f6b6fc2854670f3f381ea9804ba5a86b47f46ea25c2339fa9fcf480a,579252362f13a47c63e39500fdef5edae2a4fb3c1ab2e8ea24b60c89b6e48782,74e34c54e7221dc6ee613f5b9c86caff220ef215c764f9f3f1457db68a376147
2,interest,target_interest,16405,43,51f0cbf2f6b6fc2854670f3f381ea9804ba5a86b47f46ea25c2339fa9fcf480a,c5c15f44d2e69c783960565a46f87ce02502fa98359739201710edf8deeb3c6c,a6f226a94e84838366c4cf62d5dbcdfa343d2e4317631dc9cd843403760f8fb3
2,relaxation,target_relaxation,16429,43,51f0cbf2f6b6fc2854670f3f381ea9804ba5a86b47f46ea25c2339fa9fcf480a,2e83a1c1225e05466fe0b2b5ffb2b245f458634c7a01109b8b7feb9fe9b3e86e,7656df549309178054e578a36ceed79ea658632f163e5e508467b9011bdaa756
2,stress,target_stress,16401,43,51f0cbf2f6b6fc2854670f3f381ea9804ba5a86b47f46ea25c2339fa9fcf480a,8411423f328c85b008130bdb1aaa959cb4d1107da7454c28e84663819d643639,f31c8981acf165f01f66cc01c4f2b2d6927c370f1a035493f12dece19b93ba49
3,attention,target_attention,15726,42,d1ffd7f29408db7bf76fef20b9d474595d32c1e4baa88b2b46368d758fcf214c,a5cebc76705dfe78d9069309261992d18aaefba45bd8350cd77267952e5e1ff9,d9fe93c98329da3f22770036d5d5bcc1723fbbfb61707901d1eaef4a7001f95d
3,engagement,target_engagement,16515,42,d1ffd7f29408db7bf76fef20b9d474595d32c1e4baa88b2b46368d758fcf214c,61e4715e3fdbf84e55771724176e8af24b1d35914579776aac4f4fb3de4dcd0f,a74a573473ef95d46567294f0aa220d0bd8b428d9a9120f4a96756b0c84d9f51
3,excitement,target_excitement,16517,43,5381037e50242afac87c338b32733919debef74dde3457ac655b67288eceed52,7a976bb97d5068a96b057954d13a2c8d561b0ceb98cd9b0d027321d726e1be60,fa418d56645cfa9ab67032bef122ddca9f2bf2af811172bdbe6b172d6197f493
3,focus,target_focus,16512,43,5381037e50242afac87c338b32733919debef74dde3457ac655b67288eceed52,3c290bf4d79fcee4f6815537dfbbbba754381ef0f03daff8de7166884d8b7e4e,0c7365a9f52cdea7f5ff5bd02009df8f23994345c83ad7446745f49568834711
3,interest,target_interest,16506,43,5381037e50242afac87c338b32733919debef74dde3457ac655b67288eceed52,98d0d02732f3c0569a53ab5fee22fc2175491585aacdc45f62af16b2ac720089,3bcb6d908dca29ca782906a4f9f4eb0ea8493afdf7dc53a3c5de50526bd55ffb
3,relaxation,target_relaxation,16534,43,5381037e50242afac87c338b32733919debef74dde3457ac655b67288eceed52,859ef1bfd9ab662090b6e308b6572b188a70e20137a1c047b9d4e06fff054f2d,e60bf995e60c88b6af88b34c7d1f44be24f60c5b4257ba68426a2504b9aa025a
3,stress,target_stress,16507,43,5381037e50242afac87c338b32733919debef74dde3457ac655b67288eceed52,b7d9c058d17c7ccbcb337407c89dce3643aea4836abb54fc1caad17d93661355,bcd3007f8b807817734d67f5fb79247d682169631186c1b04d4f2cedd74be7de
4,attention,target_attention,15937,43,5b6b8d47f77f6553077ef17cab8a1dd60c5181f5bca13c3a8de760592400f240,d6bc4dd44a146802aea289085e20f3a5469bc59a944f3a84808d81b7aed2dd74,4404f50166a53629f16deb855b5dbdefb3de95149a3eec0eec91689ced0aaf96
4,engagement,target_engagement,16687,43,5b6b8d47f77f6553077ef17cab8a1dd60c5181f5bca13c3a8de760592400f240,986d1415067904080d56b49303685c463e195fe0f6cc22b9219e6da5b4f26546,4efdbb963e4328ea609ced0c43ea79ec54863afcf8b6dc3b54e36caff30afe16
4,excitement,target_excitement,16689,44,074d535f8ff59f2671bec9cdcf8598d7a1eb3fc28c5748ceaa943f4aba690e07,2bf159cea185c08806e5852a0521171522678bfd8d04d9dfff4d87344dd97627,01a9a36af7fd4938668057f58a4af0d4815b36985a13f61e071f1297e75e14d1
4,focus,target_focus,16688,44,074d535f8ff59f2671bec9cdcf8598d7a1eb3fc28c5748ceaa943f4aba690e07,433fdfdab7418b3ac1b1eba53628b0a707ee15dfd4099c8f04fe8c7220275e8e,bcbf7453b6c3768b7f4446c03f027f80397a24d1f0f54a82146b8fe6d4a67bdf
4,interest,target_interest,16683,44,074d535f8ff59f2671bec9cdcf8598d7a1eb3fc28c5748ceaa943f4aba690e07,dc15a575b4e8dd1791706916a39e0b9e65dc5b69242cd007fc815a7885d98e3e,c4110c8ecd8ea7c835b8ea571bfeb6ad10ec8d02d986bd0e2c5b9a70c03e3241
4,relaxation,target_relaxation,16707,44,074d535f8ff59f2671bec9cdcf8598d7a1eb3fc28c5748ceaa943f4aba690e07,8b1921d4d5c07dab4a8de8755eec16059309a05437e5489c47467415666005fb,a5f608b86ee9061617d36b1743ad601431f955dde27218d8d7829829dc257d43
4,stress,target_stress,16679,44,074d535f8ff59f2671bec9cdcf8598d7a1eb3fc28c5748ceaa943f4aba690e07,8626c877b29078ccbf8827b46494b91b7bfcea537af78dcbb845acad5ad28c42,27d0b6e27ea4a69159776babe88351288b3e08a8b6a0e0a437af967ad54f9cf0
5,attention,target_attention,15812,42,ee36d68d217da63e015dbde72e0c5480b0c1ae90d23280fdff0e325c1637e101,047be59ccbfa5b7c40042855c6bec8ef2a849ce95090b47c1e15252441077662,2f86d0e8c455b4f21168d0123e21d085836ed48610878f7e823e2e4fab91a878
5,engagement,target_engagement,16528,42,ee36d68d217da63e015dbde72e0c5480b0c1ae90d23280fdff0e325c1637e101,346f7b7e7729a5185038ff24672d882799d06a3b9532a846a0a88d310ca16a04,fd819c1414dbc4a71c004ee2f223fde45d23c5e1a929dfb308519bdd81be5cc8
5,excitement,target_excitement,16537,43,5aa28e7f54f5cb27257bc63a6b380e73195925eb8fbae3215ca68984363ed296,c4809372afeffc8c0ab08e218557e903e3bed3671b35dcd9b17b3e80ec3e1e4c,e83502bfb241187a15bbe01f2a2df8a2dcfd119976c2c47635b1515b95a004a5
5,focus,target_focus,16541,43,5aa28e7f54f5cb27257bc63a6b380e73195925eb8fbae3215ca68984363ed296,a5d17c5668a7a564616395987307aaf225e9945fa5e651416dfd56d7d9442b6a,d1251c35ecfb7ccdf7b0d7e26663f103bb7b943f31fc83ad844ddbed424760ce
5,interest,target_interest,16528,43,5aa28e7f54f5cb27257bc63a6b380e73195925eb8fbae3215ca68984363ed296,6e396b2c20ae510b314530d23b3dd9ef1d7496266d7214d984cdf177230647e0,df1d4a9a8a978ee0e3bcd8ba820067c8fc420fd3f5f02f8d6b88fa7e63bbaac1
5,relaxation,target_relaxation,16548,43,5aa28e7f54f5cb27257bc63a6b380e73195925eb8fbae3215ca68984363ed296,1f6a8f73338edc08be6c918244ea7a42d13eee1132a7c5cab422880956d63d5a,a638d2bb20962ed825b35f176b1a4005a8304bfc01370b1636d6ce403b817a6a
5,stress,target_stress,16523,43,5aa28e7f54f5cb27257bc63a6b380e73195925eb8fbae3215ca68984363ed296,5598d9b428cc8d2daffd3a09ae72357ec7e9584093626d817f11e57cc0f076c5,f830184ed4091f7c1893003e91eb518737ed15e8b5f007bf46bf30fa7cf23cdb
