model,estimator,model_params_hash,outer_fold,subject_id,pm,target_id,lag_seconds,feature_count,calibration_budget_seconds,n_outer_train,n_outer_train_subjects,outer_train_sample_hash,threshold_hash,n_calibration_low,n_calibration_high,n_calibration_extreme,calibration_sample_hash,evaluation_low,evaluation_high,n_evaluation_extreme,evaluation_sample_hash,base_outer_train_sample_weight,personal_total_mass,calibration_low_sample_weight,calibration_high_sample_weight,calibration_low_total_mass,calibration_high_total_mass,specification_hash,run_id
xgboost,XGBClassifier,6f5020a62aa64b2ba8e9eeb74b2bb836f9767f0e14b46b7d244a45e2f8dda4ec,1,d111e017,excitement,target_excitement,-10,371,1800,15941,43,46755c1e20e5799d3c8e3c0be4a2f4a3f18856086f1b6fe611eda5fc71a849dd,f13db677a8358b59d7e0528258ba7ff9bf95b5314741ce39a724cf74d183ddaa,37,56,93,a00e763e7f8282412d199d7cbdfd06d63604d44b6db2a0d0dab493e2813e78ed,374,429,803,b4efe3344b74faa0d6ed7bfd7572a901f2a57b5447f7cf36fcdfe5ea5564dfb6,1.0,370.72093023255815,5.009742300439975,3.3100083056478407,185.36046511627907,185.36046511627907,948f58e2b9b4b9f7e0446bc311847247a7c5658ad0bfa7c70e5e5b48df4da323,xgboost__fold_01__excitement__d111e017__weighted_aug__948f58e2b9b4
xgboost,XGBClassifier,6f5020a62aa64b2ba8e9eeb74b2bb836f9767f0e14b46b7d244a45e2f8dda4ec,1,f1d06060,excitement,target_excitement,-10,371,1800,15941,43,46755c1e20e5799d3c8e3c0be4a2f4a3f18856086f1b6fe611eda5fc71a849dd,f13db677a8358b59d7e0528258ba7ff9bf95b5314741ce39a724cf74d183ddaa,72,76,148,1bcdd325896bae90cee2c01f8e716a6ac373d66050f25eff5d9ba81224c20d37,88,204,292,11b7f04710ffc1ab55fdca4f15be66510560f92884bf4dfe18ff28daed21a909,1.0,370.72093023255815,2.574450904392765,2.438953488372093,185.36046511627907,185.36046511627907,20364a257c9e9c4339c6f0a83a110a86a43535386c5f72671adffd0e88bae92c,xgboost__fold_01__excitement__f1d06060__weighted_aug__20364a257c9e
xgboost,XGBClassifier,6f5020a62aa64b2ba8e9eeb74b2bb836f9767f0e14b46b7d244a45e2f8dda4ec,1,30c140ca,focus,target_focus,-10,371,1800,15934,43,13c8256d6c504d64c2aafbcf8afda590c95af37fa8630180dd05588323d3acaf,7d71bb99b3a559d0df0aa3bf8b195bafc98a0dd046a82039a430a2fa4892b0d0,137,21,158,30d43b879e76bfc77dfddfea96d3e8a65f11f59a5593b8758805b7c121a61609,49,94,143,194aeb1b1fd6275088bac7237adb739bf065a09bd7bcb0d3401db5f681cb1849,1.0,370.5581395348837,1.352401969105415,8.82281284606866,185.27906976744185,185.27906976744185,259398fafe3949f87a1c0ff4db937dffa4e5c4a4b16bca90cfa6be8224806ad2,xgboost__fold_01__focus__30c140ca__weighted_aug__259398fafe39
xgboost,XGBClassifier,6f5020a62aa64b2ba8e9eeb74b2bb836f9767f0e14b46b7d244a45e2f8dda4ec,1,3110e0c7,focus,target_focus,-10,371,1800,15934,43,13c8256d6c504d64c2aafbcf8afda590c95af37fa8630180dd05588323d3acaf,7d71bb99b3a559d0df0aa3bf8b195bafc98a0dd046a82039a430a2fa4892b0d0,28,41,69,84eb3f3cf37e7bd89f28aca56977874ef827a968c24a66c6d92ef3a41b31f9fa,37,185,222,f9c03b5d4c62318fd1263b5af6ec519c3a8859d5f192852cd20660658954a74d,1.0,370.5581395348837,6.617109634551495,4.519001701644923,185.27906976744185,185.27906976744183,91559ece600f792478d33f8a10c021377bdac6d0a5928b631ca260107808d4c8,xgboost__fold_01__focus__3110e0c7__weighted_aug__91559ece600f
xgboost,XGBClassifier,6f5020a62aa64b2ba8e9eeb74b2bb836f9767f0e14b46b7d244a45e2f8dda4ec,1,7150e10a,focus,target_focus,-10,371,1800,15934,43,13c8256d6c504d64c2aafbcf8afda590c95af37fa8630180dd05588323d3acaf,7d71bb99b3a559d0df0aa3bf8b195bafc98a0dd046a82039a430a2fa4892b0d0,119,10,129,44b3321831680d8c1fcfa9ba0c3465d8550721eaba2c8aa90d7066066af073ba,297,78,375,4be7ae15632de70c5b07ca2fc5f5dab3f5dee5c9f76dd2cd814e58e18675a538,1.0,370.5581395348837,1.556966972835646,18.527906976744184,185.27906976744185,185.27906976744185,28f26d476f4713426c126a84bd051083e3adc14af14e0c8777f72488f65e4325,xgboost__fold_01__focus__7150e10a__weighted_aug__28f26d476f47
xgboost,XGBClassifier,6f5020a62aa64b2ba8e9eeb74b2bb836f9767f0e14b46b7d244a45e2f8dda4ec,1,71f0603f,focus,target_focus,-10,371,1800,15934,43,13c8256d6c504d64c2aafbcf8afda590c95af37fa8630180dd05588323d3acaf,7d71bb99b3a559d0df0aa3bf8b195bafc98a0dd046a82039a430a2fa4892b0d0,38,61,99,f1b2f348572218b6b71165cdefa959cb7b4ec1bb26b5ec8453bc4d7678239d07,302,339,641,c782f2fde0942647968fc529161733ded7f9b917e78e60f5862de7c4515e4f59,1.0,370.5581395348837,4.875764993880049,3.03736179946626,185.27906976744185,185.27906976744185,d9e4d2bda11332902624ca2b25dfa79987ada5bbb9dec416a696e76f3e8ab0bb,xgboost__fold_01__focus__71f0603f__weighted_aug__d9e4d2bda113
xgboost,XGBClassifier,6f5020a62aa64b2ba8e9eeb74b2bb836f9767f0e14b46b7d244a45e2f8dda4ec,1,81f1f0fe,focus,target_focus,-10,371,1800,15934,43,13c8256d6c504d64c2aafbcf8afda590c95af37fa8630180dd05588323d3acaf,7d71bb99b3a559d0df0aa3bf8b195bafc98a0dd046a82039a430a2fa4892b0d0,11,121,132,11da21f9d7b532bace2b97966998de4909b1535261a21284680b01ed4d1c6b59,57,249,306,d285d791bc0bfc9ed4d523b7d22769abe2059da1e969816a6a1ddaeda173bc73,1.0,370.5581395348837,16.843551797040167,1.5312319815491062,185.27906976744183,185.27906976744185,120f1541d7011a975f3006c3125e17302c176f872a555caafb1669d2960a39e9,xgboost__fold_01__focus__81f1f0fe__weighted_aug__120f1541d701
xgboost,XGBClassifier,6f5020a62aa64b2ba8e9eeb74b2bb836f9767f0e14b46b7d244a45e2f8dda4ec,1,c112918e,focus,target_focus,-10,371,1800,15934,43,13c8256d6c504d64c2aafbcf8afda590c95af37fa8630180dd05588323d3acaf,7d71bb99b3a559d0df0aa3bf8b195bafc98a0dd046a82039a430a2fa4892b0d0,43,61,104,fe8fd33b83ffc3797c0fb7c980303e58bcfdc9d5bf7f4c66baccfa6ef872242f,367,84,451,41e2c0bdeff43b07a35d1ff3970988af1ba4ee1fc36949358ea70c30268a5f9e,1.0,370.5581395348837,4.30881557598702,3.03736179946626,185.27906976744185,185.27906976744185,246b27e0a2fb6d22ef9f401fc85ed5743cebad5d939d787388099582f9a8e599,xgboost__fold_01__focus__c112918e__weighted_aug__246b27e0a2fb
xgboost,XGBClassifier,6f5020a62aa64b2ba8e9eeb74b2bb836f9767f0e14b46b7d244a45e2f8dda4ec,1,d111e017,focus,target_focus,-10,371,1800,15934,43,13c8256d6c504d64c2aafbcf8afda590c95af37fa8630180dd05588323d3acaf,7d71bb99b3a559d0df0aa3bf8b195bafc98a0dd046a82039a430a2fa4892b0d0,15,55,70,f352f709e8b4411635e44c7d6589bf5d2426fc11b9038d23c6daa64e63fe67e6,403,366,769,ff768d4de989f9b85a50256750b0aecfc4def26e1e7521fddeb5cd6284c1015e,1.0,370.5581395348837,12.351937984496123,3.3687103594080336,185.27906976744185,185.27906976744185,0c937753dee3ce17acccf8ccaacd726c9b6870c0c1eef6f099a7cb2449139d27,xgboost__fold_01__focus__d111e017__weighted_aug__0c937753dee3
xgboost,XGBClassifier,6f5020a62aa64b2ba8e9eeb74b2bb836f9767f0e14b46b7d244a45e2f8dda4ec,1,f1d06060,focus,target_focus,-10,371,1800,15934,43,13c8256d6c504d64c2aafbcf8afda590c95af37fa8630180dd05588323d3acaf,7d71bb99b3a559d0df0aa3bf8b195bafc98a0dd046a82039a430a2fa4892b0d0,46,89,135,0c6799b4c03686384b824dcb88e3d5ca6db0577d987e1c0341fa3a696e47a48d,79,200,279,65753d02fd6da9591cf80243b0b940cfe0e583f804cc07223274aa1c2ce43be0,1.0,370.5581395348837,4.027805864509605,2.0817873007577736,185.27906976744183,185.27906976744185,105c04de1e33a3c1b0fb3ba5e587fa55b0964302461dbf5ecc609a7a3094e454,xgboost__fold_01__focus__f1d06060__weighted_aug__105c04de1e33
