model,subject_id,n_pm,n_adaptation_applied_pm,delta_roc_auc,delta_pr_auc,brier_improvement,log_loss_improvement,delta_balanced_accuracy_vs_frozen_median,delta_macro_f1_vs_frozen_median
xgboost,01c2a0d8,7,7,0.022178335702129903,0.017818954133711633,0.0240645589852814,0.10215292559785076,0.014789996075207543,0.022756071850513124
xgboost,1081b177,7,7,0.020901350322894068,0.025711317527477923,0.03770249652665319,0.15521231849847675,0.019241336746530027,0.025491687958595577
xgboost,20201194,5,5,0.01315280109475907,0.02843460149944462,0.012741177458925945,0.12318818287752982,-0.0349535929219801,-0.04105192034283785
xgboost,2162c09e,6,6,-0.008613036568894691,-0.0014520994883411114,0.008027150358212054,0.017789840922467857,-0.005540233650458619,-0.0048311280410432795
xgboost,2182c1cd,7,7,0.025355019951434393,0.034200537330508984,0.03985243260990147,0.17234600564890323,0.030177404999727733,0.02510806034036328
xgboost,219060fa,5,5,0.01774629368694356,0.016329450806483382,0.026678110705155265,0.1128014088852467,0.01423160731498796,0.017359212849430407
xgboost,21a031f6,7,7,-0.0017741314517591502,-0.0021352045054711588,0.03670001475263766,0.11568342964081288,0.002471905888132334,0.014973185902361075
xgboost,30908049,4,4,0.06744571831010873,0.06144638353096493,0.05398558760790391,0.29142803342252255,0.0496060502643382,0.04793030340214208
xgboost,30c140ca,6,6,-0.021623547921636104,-0.01164928160317444,0.042884611130020345,0.1917628426113488,0.041928920996058106,0.09083059931660238
xgboost,3110e0c7,5,5,0.03535092888779805,0.014130077006431407,0.030399243025191335,0.1204575459829595,0.040089945740045166,0.05768020678670549
xgboost,40009139,7,7,0.013450748083619568,0.010096527901553465,0.03001981362353098,0.1847334064733204,0.02484619863516751,0.022064229602577527
xgboost,41e2010c,7,7,0.024197982520148393,0.015004905437781308,0.06724813548335803,0.33883976456960535,0.016294399809527182,0.028784256792946845
xgboost,5001d09a,7,7,0.01058200722333445,0.006839612983771083,0.012599262676419193,0.030882413617421802,0.007642155676700806,0.014233849376414523
xgboost,50c02189,6,6,-0.003373114807576442,-0.022075795668265508,0.05884922388359356,0.25786946397614036,-0.02884268546093603,-0.052358802297520185
xgboost,517001af,4,4,-0.003638805729596545,-0.003720393400974964,-0.004825173122313196,-0.0351234927172814,0.012307864497308113,0.02163567999672225
xgboost,6030f0fd,7,7,0.03229299307702449,0.022343304412237943,0.05859097550092217,0.20360104916036084,0.02443584349626574,0.021819121073583334
xgboost,7072a0e0,7,7,0.0015371998603902798,0.0043517375111074485,0.03437460310485879,0.13163488374571294,0.011169517529152613,-0.0017199380261559982
xgboost,7092f07b,7,7,0.04289753886034892,0.030671045337315794,0.10061727538856567,0.48525010962550397,0.024774972280444944,-0.007176021349963916
xgboost,7150e10a,6,6,0.014211489710794667,0.011648941257868695,0.035117321728734795,0.1406889088225964,0.006792145882638212,0.010212841680938963
xgboost,71c09041,4,4,0.008952546143008305,0.006292005529882766,0.015953576781759418,0.10690246702540233,0.0478943898651113,0.0484734338534642
xgboost,71e10186,5,5,0.001559549981396402,0.0018730127133624209,0.001918446444903625,0.013433599067919178,0.00334281671549026,0.0021611373697420166
xgboost,71f0603f,7,7,0.003710965611559417,0.005174793160048573,0.004537152841559038,0.035119929458390334,-0.00822655459051258,-0.009495557313355274
xgboost,71f21142,4,4,0.012961732418555888,0.004887026723254251,0.021203681980944532,0.011163263649555472,0.011866757398070082,0.0001370689840025363
xgboost,8030618f,7,7,0.04550257148614253,0.020994857228009294,0.05774276149904241,0.19544008698594917,0.031934140469464176,0.013664861377191488
xgboost,8191f1d9,5,5,0.045548336085366056,0.11780496287848632,0.06975300504750641,0.7284455055853117,-0.018699997670555347,-0.03278737020289142
xgboost,81e150c1,4,4,0.012307184170225055,0.005685267335597127,0.017289943220784483,0.057681554052417885,0.00760619503640475,0.008771856836885028
xgboost,81f1f0fe,6,6,0.06421781349069645,0.030300223557761925,0.03318633450216067,0.08070872822694501,0.05292678201523731,0.05762371635416772
xgboost,a02151ac,7,7,0.07700935491917764,0.06855955865143096,0.05948050785003104,0.3588956137627025,0.05086646749850824,0.0691155466594197
xgboost,a1b210fc,7,7,0.022297306609241403,0.019855434027763717,0.03420304910484557,0.1206641601266213,0.02384290353251658,0.018944788058536673
xgboost,b0700166,6,6,0.036666114132797835,0.022826476324540063,0.048324082682118234,0.1892939955518044,0.01569275533687825,-0.006394022901046024
xgboost,b112005d,7,7,0.04305687288720293,0.039327010322503346,0.021096218100578046,0.03271719228664754,0.012718142276913353,0.02725665316049137
xgboost,b1c2f044,6,6,0.0006803129787118686,0.008691765139809534,0.0020447180746861076,-0.02155045945009121,-0.011261970517769004,-0.005834829767077295
xgboost,c060c06a,6,6,0.023607894194217032,0.030387798401649235,0.06368164488295021,0.21769901834318542,0.03751510941618739,0.055173276615225565
xgboost,c112918e,6,6,0.03283574217871902,0.05432911467196527,0.08901709715608008,0.4627654011944242,-0.030571496322052766,-0.044503617402343154
xgboost,c1a150b1,3,3,-0.010214471388974281,0.0025359118928908186,0.06384259382890078,0.6803532769311732,-0.04114813864287895,-0.060048279976088935
xgboost,d0724095,7,7,0.004726655713318048,0.011494454727483687,0.015148307530004358,0.044298769659701843,0.016300611075294742,0.01911371984283322
xgboost,d0e2d025,7,7,-0.00032993059918630586,-0.006413413707012808,0.0211329641202361,0.06645032898934601,-0.0010889111848886937,0.0007091529254512143
xgboost,d111e017,5,5,0.0012217956803929786,-0.0005072380564582035,0.0030550231132518493,0.008054724209807924,0.005567257780907298,0.00603154397866974
xgboost,d151b0c4,5,5,0.009287891469202258,0.012298019207938582,0.006432024413077134,-0.04095413867449482,0.01567056296927023,0.009836164783762969
xgboost,d18000a3,7,7,0.008394233241709246,0.01047713165601086,0.021565091318199305,0.09239058292155485,0.010368720712381358,0.0030650535323802275
xgboost,f0f2a1e1,5,5,-0.0012748059005574185,0.00020049401092938623,0.00038466035528131467,-0.008395105602899782,-0.01149269189578912,-0.01078567904409966
xgboost,f121f1e0,6,6,0.03216201645541755,0.019533785461812152,0.08315293209180033,0.5233485386373659,0.026803708162910406,0.03737638111055286
xgboost,f1a0c120,5,5,0.015520703011291137,0.02258126876150659,0.009002996501143501,-0.008659439337756336,-0.004171687950113046,-0.004465148935952845
xgboost,f1d06060,7,7,0.010689312420992327,0.025737818553798735,0.038529150096541245,0.17867006042846834,-0.01791831533277804,-0.034997132497056084
