trial_id,seed,fold,bandpass,notch,car,accuracy,balanced_accuracy,macro_f1,weighted_f1,kappa,auc,epochs_trained,best_epoch,best_validation_loss,training_time_seconds,n_train,n_test,device,delta_accuracy_vs_A,delta_balanced_accuracy_vs_A,delta_macro_f1_vs_A,delta_weighted_f1_vs_A,delta_kappa_vs_A,delta_auc_vs_A
C,42,fold_01,0,1,0,0.27297648247,0.270647489957,0.262706860041,0.267677951015,0.0910747531506,0.596299745562,6,2,1.65104114745,84.6294538975,24027,6931,cuda,-0.00605973164046,-0.00768302923667,-0.000968455982847,-0.000520961613759,-0.00910626957952,-0.000158145425918
C,42,fold_02,0,1,0,0.301518087855,0.298991496618,0.272539810522,0.275479395885,0.126214419015,0.628555786449,13,9,1.49622378678,171.434543371,24766,6192,cuda,0.00597545219638,0.00648235572923,0.0049436544739,0.00463316346709,0.00772417890428,0.00267272971414
C,42,fold_03,0,1,0,0.273148915024,0.269253250797,0.253819884073,0.257590036162,0.0910103296418,0.586255379138,15,11,1.46872782949,197.936488628,24921,6037,cuda,0.022362100381,0.0164007600954,0.022923199842,0.0247939657692,0.0230146849696,-0.00214918191912
C,42,fold_04,0,1,0,0.300380886427,0.308600320335,0.296384300011,0.290932350304,0.128299517467,0.634383794553,13,9,1.5782023466,174.203479767,25182,5776,cuda,0.00519390581717,0.00510001328238,0.0222227738438,0.022862998291,0.00762416419206,0.0134786546037
C,42,fold_05,0,1,0,0.255562935902,0.268909648655,0.220038107051,0.216101263494,0.0791317105151,0.573971521006,8,4,1.555587253,109.50047493,24936,6022,cuda,-0.0204251079376,-0.0158291250376,-0.0433247547337,-0.0434902721144,-0.0183415437644,-0.00976132969517
D,42,fold_01,0,0,1,0.25696147742,0.252948625726,0.23082166356,0.237239922743,0.069575430816,0.589694091641,6,2,1.64167682691,84.9369909763,24027,6931,cuda,-0.0220747366902,-0.0253818934676,-0.032853652464,-0.0309589898855,-0.0306055919141,-0.00676379934646
D,42,fold_02,0,0,1,0.259689922481,0.260861415518,0.250448352434,0.250750504042,0.0765432669119,0.597244996474,15,13,1.48880467744,196.981864691,24766,6192,cuda,-0.0358527131783,-0.031647725371,-0.0171478036142,-0.0200957283753,-0.041946973199,-0.0286380602607
D,42,fold_03,0,0,1,0.247473910883,0.248223567898,0.235844896143,0.237090714646,0.0620783667072,0.559123832439,7,3,1.53280291264,97.380459547,24921,6037,cuda,-0.00331290376015,-0.00462892280286,0.00494821191267,0.00429464425338,-0.00591727796495,-0.0292807286177
D,42,fold_04,0,0,1,0.26108033241,0.266655442036,0.222320313234,0.216825899791,0.0765295130905,0.579385345119,11,7,1.57153791587,155.806843758,25182,5776,cuda,-0.0341066481994,-0.0368448650165,-0.0518412129334,-0.0512434522223,-0.0441458401843,-0.0415197948304
D,42,fold_05,0,0,1,0.272666888077,0.281073335371,0.258637710325,0.256869804429,0.0947123976649,0.586179275501,11,7,1.60458887337,159.045767546,24936,6022,cuda,-0.00332115576221,-0.00366543832118,-0.00472515145938,-0.0027217311793,-0.00276085661463,0.00244642479955
E,42,fold_01,1,1,0,0.296782571058,0.29110252009,0.292200346603,0.297995873836,0.117652823461,0.612209491832,8,4,1.59104571506,117.324328423,24027,6931,cuda,0.017746356947,0.0127720008962,0.0285250305792,0.0297969612074,0.0174718007307,0.015751600844
E,42,fold_02,1,1,0,0.306201550388,0.306721401398,0.300129282132,0.301155809173,0.13428507576,0.645826844701,15,13,1.49514807093,203.229530811,24766,6192,cuda,0.0106589147287,0.0142122605087,0.0325331260837,0.0303095767556,0.0157948356487,0.0199437879662
E,42,fold_03,1,1,0,0.267351333444,0.261641400579,0.24814272797,0.252750644251,0.0812052822819,0.591473926608,8,4,1.50978994344,110.551095009,24921,6037,cuda,0.0165645188007,0.00878890987763,0.0172460437392,0.0199545738582,0.0132096376097,0.00306936555125
E,42,fold_04,1,1,0,0.279951523546,0.29265580255,0.247572145968,0.2405350408,0.106594360306,0.624497080905,13,9,1.56503748679,174.499655247,25182,5776,cuda,-0.0152354570637,-0.010844504502,-0.0265893801991,-0.0275343112131,-0.0140809929685,0.00359194095581
E,42,fold_05,1,1,0,0.273995350382,0.292282768015,0.241232691988,0.234785095884,0.103643035075,0.601631964817,15,15,1.48214370063,197.677401781,24936,6022,cuda,-0.00199269345732,0.00754399432238,-0.022130169796,-0.0248064397243,0.00616978079502,0.0178991141153
F,42,fold_01,1,0,1,0.240802193046,0.234411084136,0.230958178347,0.23749005306,0.0472308164631,0.55380289636,8,4,1.59836322928,108.710809231,24027,6931,cuda,-0.0382340210648,-0.043919435058,-0.0327171376767,-0.0307088595689,-0.052950206267,-0.0426549946276
F,42,fold_02,1,0,1,0.263727390181,0.266079358466,0.231394300188,0.23034274384,0.0819580262389,0.592750684745,13,9,1.52157284474,173.476558685,24766,6192,cuda,-0.031815245478,-0.0264297824227,-0.0362018558605,-0.0405034885781,-0.036532213872,-0.0331323719898
F,42,fold_03,1,0,1,0.218320357794,0.217177148507,0.214346684089,0.216040454617,0.0230285754321,0.537399363331,13,9,1.52854964096,187.588205099,24921,6037,cuda,-0.0324664568494,-0.0356753421944,-0.0165500001415,-0.0167556157759,-0.0449670692401,-0.0510051977261
F,42,fold_04,1,0,1,0.243940443213,0.252254039029,0.220651325317,0.217325420118,0.0609584951326,0.555612000767,7,3,1.57432541539,106.647413492,25182,5776,cuda,-0.0512465373961,-0.0512462680229,-0.0535102008502,-0.0507439318947,-0.0597168581421,-0.0652931391821
F,42,fold_05,1,0,1,0.277814679508,0.287215089371,0.260395475958,0.255711273234,0.100955525415,0.589827765485,11,7,1.54077625478,160.487555504,24936,6022,cuda,0.00182663566921,0.00247631567913,-0.0029673858268,-0.00388026237449,0.00348227113589,0.00609491478351
G,42,fold_01,0,1,1,0.255230125523,0.252685196056,0.227769589464,0.233505754049,0.0683556131762,0.589159351215,6,2,1.6384072317,92.4154808521,24027,6931,cuda,-0.0238060885875,-0.0256453231376,-0.0359057265595,-0.0346931585795,-0.0318254095539,-0.00729853977226
G,42,fold_02,0,1,1,0.264211886305,0.26438587017,0.25632547411,0.25718137583,0.0813865880025,0.601692547157,15,13,1.49018566362,214.480988503,24766,6192,cuda,-0.031330749354,-0.0281232707188,-0.011270681938,-0.0136648565874,-0.0371036521083,-0.0241905095782
G,42,fold_03,0,1,1,0.257743912539,0.25793680894,0.240063647972,0.242088655273,0.0745826884635,0.57329142707,13,9,1.49767354912,185.367482185,24921,6037,cuda,0.00695709789631,0.00508431823878,0.00916696374093,0.00929258488078,0.00658704379136,-0.0151131339865
G,42,fold_04,0,1,1,0.262465373961,0.269436535246,0.250876864052,0.246926084213,0.081558415653,0.588861337477,13,9,1.57540182584,183.651230335,25182,5776,cuda,-0.0327216066482,-0.0340637718058,-0.0232846621157,-0.0211432678007,-0.0391169376217,-0.0320438024724
G,42,fold_05,0,1,1,0.261208900697,0.272361164316,0.241665897305,0.239259984276,0.0843567836853,0.568932832016,8,4,1.61305871275,118.769249916,24936,6022,cuda,-0.0147791431418,-0.0123776093758,-0.021696964479,-0.0203315513324,-0.0131164705942,-0.0148000186857
H,42,fold_01,1,1,1,0.242100706969,0.235497134047,0.232364532958,0.238829075384,0.048387349292,0.554128364873,8,4,1.59810510628,116.288502455,24027,6931,cuda,-0.0369355071418,-0.0428333851475,-0.031310783066,-0.0293698372452,-0.0517936734381,-0.0423295261142
H,42,fold_02,1,1,1,0.263727390181,0.266318676673,0.234473784505,0.233389850787,0.0822502485184,0.592730853505,13,9,1.52131982918,179.218017101,24766,6192,cuda,-0.031815245478,-0.0261904642166,-0.033122371543,-0.0374563816305,-0.0362399915925,-0.0331522032304
H,42,fold_03,1,1,1,0.216498260726,0.215361568217,0.211729682933,0.213379020275,0.0207071578994,0.536740308472,13,9,1.52493768197,180.581062794,24921,6037,cuda,-0.0342885539175,-0.0374909224838,-0.0191670012973,-0.0194170501175,-0.0472884867727,-0.051664252585
H,42,fold_04,1,1,1,0.242555401662,0.250955126402,0.219343356048,0.215943258448,0.0592971151431,0.556516402921,7,3,1.57446308556,101.657412767,25182,5776,cuda,-0.0526315789474,-0.0525451806497,-0.0548181701194,-0.0521260935654,-0.0613782381317,-0.0643887370286
H,42,fold_05,1,1,1,0.277316506144,0.286721670732,0.259600245846,0.254865983022,0.100431267239,0.589819881823,11,7,1.54043641152,153.27938199,24936,6022,cuda,0.00132846230488,0.00198289703981,-0.00376261593812,-0.00472555258607,0.00295801295914,0.00608703112176
