subject_id,outer_fold,calibration_record_group_id,calibration_record_id,calibration_record_start_utc,calibration_record_duration_seconds,calibration_record_feature_grid_duration_seconds,source_full_900s_available,feature_grid_full_900s_available,source_full_1200s_available,feature_grid_full_1200s_available,source_full_1800s_available,feature_grid_full_1800s_available
71f21142,3,71f21142__day1____2024.01.23T17.38.50p03.00,gpn_data__71f21142__day1____2024.01.23T17.38.50p03.00,2024-01-23T14:38:50.980827093+00:00,5735.371783018112,5030.0,True,True,True,True,True,True
8030618f,4,8030618f__day1____2023.12.11T11.51.47p03.00,gpn_data__8030618f__day1____2023.12.11T11.51.47p03.00,2023-12-11T08:51:47.333429098+00:00,4561.648490905762,4550.0,True,True,True,True,True,True
8191f1d9,5,8191f1d9__day1____2023.12.22T16.25.50p03.00,Old_EEG__8191f1d9__day1____2023.12.22T16.25.50p03.00,2023-12-22T13:25:50.612014055+00:00,7692.071485996246,7560.0,True,True,True,True,True,True
81e150c1,5,81e150c1__day1____2023.11.29T11.58.41p03.00,gpn_data__81e150c1__day1____2023.11.29T11.58.41p03.00,2023-11-29T08:58:41.827203989+00:00,3905.9755461215973,3890.0,True,True,True,True,True,True
81f1f0fe,1,81f1f0fe__day1____2023.11.27T09.37.48p03.00,gpn_data__81f1f0fe__day1____2023.11.27T09.37.48p03.00,2023-11-27T06:37:48.866961002+00:00,5833.397198915482,5830.0,True,True,True,True,True,True
9192c107,2,9192c107__day1____2023.12.13T15.29.18p03.00,gpn_data__9192c107__day1____2023.12.13T15.29.18p03.00,2023-12-13T12:29:18.470144987+00:00,7651.345525979996,30.0,True,False,True,False,True,False
a02151ac,2,a02151ac__day1____2023.11.29T14.45.43p03.00,Old_EEG__a02151ac__day1____2023.11.29T14.45.43p03.00,2023-11-29T11:45:43.396545887+00:00,4564.192266225815,4550.0,True,True,True,True,True,True
a1721173,1,a1721173__day1____2023.11.30T14.11.21p03.00,gpn_data__a1721173__day1____2023.11.30T14.11.21p03.00,2023-11-30T11:11:21.946249962+00:00,294.86649894714355,280.0,False,False,False,False,False,False
a1b210fc,4,a1b210fc__day1____2023.12.15T13.50.40p03.00,gpn_data__a1b210fc__day1____2023.12.15T13.50.40p03.00,2023-12-15T10:50:40.039016008+00:00,6004.335046052933,5990.0,True,True,True,True,True,True
b0700166,3,b0700166__day1____2023.12.09T11.52.48p03.00,gpn_data__b0700166__day1____2023.12.09T11.52.48p03.00,2023-12-09T08:52:48.117799044+00:00,4124.561643838882,4120.0,True,True,True,True,True,True
b112005d,4,b112005d__day1____2024.02.02T12.13.43p01.00,gpn_data__b112005d__day1____2024.02.02T12.13.43p01.00,2024-02-02T11:13:43.231154919+00:00,7369.052399158478,7360.0,True,True,True,True,True,True
b1c2f044,4,b1c2f044__day1____2023.12.27T17.13.43p03.00,Old_EEG__b1c2f044__day1____2023.12.27T17.13.43p03.00,2023-12-27T14:13:43.332570076+00:00,5521.905419826508,5510.0,True,True,True,True,True,True
c060c06a,1,c060c06a__day1____2023.11.29T09.22.25p03.00,gpn_data__c060c06a__day1____2023.11.29T09.22.25p03.00,2023-11-29T06:22:25.499679089+00:00,3785.4916667938232,3780.0,True,True,True,True,True,True
c112918e,1,c112918e__day1____2023.12.04T15.14.19p03.00,gpn_data__c112918e__day1____2023.12.04T15.14.19p03.00,2023-12-04T12:14:19.775247097+00:00,6249.016364812851,6240.0,True,True,True,True,True,True
c1a150b1,5,c1a150b1__day1____2024.02.01T16.29.53p01.00,gpn_data__c1a150b1__day1____2024.02.01T16.29.53p01.00,2024-02-01T15:29:53.764889956+00:00,6502.556900024414,6490.0,True,True,True,True,True,True
d0724095,3,d0724095__day1____2023.12.01T09.27.20p03.00,gpn_data__d0724095__day1____2023.12.01T09.27.20p03.00,2023-12-01T06:27:20.835450888+00:00,5147.459672212601,5070.0,True,True,True,True,True,True
d0e2d025,2,d0e2d025__day1____2023.11.30T15.28.34p03.00,gpn_data__d0e2d025__day1____2023.11.30T15.28.34p03.00,2023-11-30T12:28:34.181644917+00:00,6234.90472817421,6220.0,True,True,True,True,True,True
d111e017,1,d111e017__day1____2023.12.05T11.06.22p03.00,gpn_data__d111e017__day1____2023.12.05T11.06.22p03.00,2023-12-05T08:06:22.815748930+00:00,5817.334099054337,5810.0,True,True,True,True,True,True
d142d110,3,d142d110__day2____2023.12.14T15.13.11p03.00,gpn_data__d142d110__day2____2023.12.14T15.13.11p03.00,2023-12-14T12:13:11.568728924+00:00,1638.2736611366272,1620.0,True,True,True,True,False,False
d151b0c4,4,d151b0c4__day1____2023.12.13T17.54.40p03.00,gpn_data__d151b0c4__day1____2023.12.13T17.54.40p03.00,2023-12-13T14:54:40.684910059+00:00,6885.084800958633,6870.0,True,True,True,True,True,True
d18000a3,2,d18000a3__day1____2024.02.01T14.18.30p01.00,Old_EEG__d18000a3__day1____2024.02.01T14.18.30p01.00,2024-02-01T13:18:30.947037935+00:00,6815.652429103851,6800.0,True,True,True,True,True,True
e0c0408a,5,e0c0408a__day1____2023.12.05T19.36.11p03.00,Old_EEG__e0c0408a__day1____2023.12.05T19.36.11p03.00,2023-12-05T16:36:11.720412970+00:00,4511.134876966476,1840.0,True,True,True,True,True,True
f0f2a1e1,2,f0f2a1e1__day1____2023.12.05T17.42.49p03.00,Old_EEG__f0f2a1e1__day1____2023.12.05T17.42.49p03.00,2023-12-05T14:42:49.606161118+00:00,3403.248589992523,3400.0,True,True,True,True,True,True
f121f1e0,5,f121f1e0__day1____2023.12.08T09.23.54p03.00,gpn_data__f121f1e0__day1____2023.12.08T09.23.54p03.00,2023-12-08T06:23:54.120569944+00:00,6928.233174085617,6920.0,True,True,True,True,True,True
f1a0c120,4,f1a0c120__day1____2023.12.07T15.27.33p03.00,Old_EEG__f1a0c120__day1____2023.12.07T15.27.33p03.00,2023-12-07T12:27:33.720740080+00:00,6421.343008995056,6350.0,True,True,True,True,True,True
f1d06060,1,f1d06060__day1____2023.12.11T17.50.49p03.00,Old_EEG__f1d06060__day1____2023.12.11T17.50.49p03.00,2023-12-11T14:50:49.311839104+00:00,5577.9880928993225,5570.0,True,True,True,True,True,True
