subject_id,pm,outer_fold,full_subject_pm_timeline_hash,post_1800s_evaluation_extreme_sample_hash,post_1800s_evaluation_extreme,post_1800s_evaluation_ready_min20_both_classes
30c140ca,relaxation,1,c56b46eaf9b8b455eca093baf790ae5d910abeb0d4eaaa079d9547dee4e450ec,2ee1f88498ca792a9393a7ceabf9342ef7959849d03df34079488dbd7171e91c,169,True
30c140ca,interest,1,c56b46eaf9b8b455eca093baf790ae5d910abeb0d4eaaa079d9547dee4e450ec,d5a4928a0b697900b617349957b7ab399ebf266e12fcddad08232a8c919d1b12,195,True
30c140ca,focus,1,c56b46eaf9b8b455eca093baf790ae5d910abeb0d4eaaa079d9547dee4e450ec,194aeb1b1fd6275088bac7237adb739bf065a09bd7bcb0d3401db5f681cb1849,143,True
3110e0c7,attention,1,af3a1cc86540c8260de055689b6609691a554d91f75c1b70f4637c75f7a7cead,42ef7e503ebe0f60b7de8eeb585c48440f02b30392b16a9c9f45196726ea1fe7,109,True
3110e0c7,engagement,1,af3a1cc86540c8260de055689b6609691a554d91f75c1b70f4637c75f7a7cead,d34e5a82fa8db562f681fdcd62e792efd7b3d5c156eb3a246a472ad073a23bbc,178,True
3110e0c7,excitement,1,af3a1cc86540c8260de055689b6609691a554d91f75c1b70f4637c75f7a7cead,4c54fc7d6ffdc9446ea942e3f690fc0de0d64fb490066333b73cf3d51681840a,233,True
3110e0c7,stress,1,af3a1cc86540c8260de055689b6609691a554d91f75c1b70f4637c75f7a7cead,fa4d5f2212deb6f3bedb138b35a880623b33023fc7c1553f1ea6e724068c1d34,203,True
3110e0c7,relaxation,1,af3a1cc86540c8260de055689b6609691a554d91f75c1b70f4637c75f7a7cead,f7c34121e39600488031e007151bb4b7abbdf90ab6c2641c3568fe3d6e7462bf,212,True
3110e0c7,interest,1,af3a1cc86540c8260de055689b6609691a554d91f75c1b70f4637c75f7a7cead,1c52cc19f3be3879d4d55b7af6ba78d8098458963bce35cdd07bfaa9b77a1f86,207,True
3110e0c7,focus,1,af3a1cc86540c8260de055689b6609691a554d91f75c1b70f4637c75f7a7cead,f9c03b5d4c62318fd1263b5af6ec519c3a8859d5f192852cd20660658954a74d,222,True
40009139,attention,4,1ecf834470a9d7c085b939b2599053caa9f5636c9b3f3fb1dc31b7038a0ddd39,9c374c282bbdf5979ec2317011acdc3a5779617957414e5e13ff0ef90451a6aa,131,True
40009139,engagement,4,1ecf834470a9d7c085b939b2599053caa9f5636c9b3f3fb1dc31b7038a0ddd39,1927cef6a89f14267c555a8dfd74d66d883500c754f9bd16d457c48fcd8514ac,168,True
40009139,excitement,4,1ecf834470a9d7c085b939b2599053caa9f5636c9b3f3fb1dc31b7038a0ddd39,87edb7cdad9e7842bfd4df2ca63bc761418964643b34240f05f140bd561b4b35,156,True
