model,budget_seconds,pm,participant_rows,class_eligible,adaptation_applied,nonseparated_median_fallback,median_personalized_threshold,median_abs_threshold_shift,delta_balanced_accuracy_mean,delta_macro_f1_mean,delta_low_recall_mean,delta_high_recall_mean,delta_precision_mean,delta_accuracy_mean
lightgbm,900,stress,49,44,44,0,0.5,0.16576426146277323,0.03125439047051043,0.04042138988636203,0.058148370674273704,0.004360410266747161,0.005045025856636195,0.033051553975857274
xgboost,300,attention,52,20,19,1,0.5,0.0,0.001450173238667824,0.006286063756016869,0.01640745190154403,-0.013507105424208389,-5.467296182749078e-05,0.006450549008026921
xgboost,300,engagement,53,12,11,1,0.5,0.0,0.00034327355363353664,0.002066096403245449,0.01565582098639416,-0.014969273879127094,-0.003706322796119274,-7.89476926314596e-05
xgboost,300,excitement,53,39,38,1,0.5044908742420375,0.012244653888046741,0.0032244709437071243,0.004537953703373074,0.03590799555495355,-0.02945905366753929,0.0025920352465060546,0.004339767715171286
xgboost,300,focus,53,29,27,2,0.5,0.0008063509594649076,0.009371728597673264,0.004602160210319112,0.03408664696492819,-0.01534318976958167,0.001035626479724648,-0.0008536082003834681
xgboost,300,interest,51,39,37,2,0.5,0.12718826904892921,0.0025417756081562454,0.011028358603702958,0.026322346405844427,-0.021238795189531947,0.0051816376573945,0.016084602057852452
xgboost,300,relaxation,53,31,31,0,0.5,0.00036448833998292685,0.006242450251805036,0.008055079000049307,0.013873638689366507,-0.0013887381857564211,0.0015688585064385484,0.004913999171425991
xgboost,300,stress,49,38,36,2,0.5,0.07493551075458527,0.02161878352086144,0.027425720848888033,0.038445465545799924,0.00479210149592296,0.0010478923889053425,0.02222857264426293
xgboost,600,attention,52,41,39,2,0.5,0.11043962207622826,0.0073163453781262995,0.02034964895913205,0.014464410371884201,0.00016828038436840178,0.009110529190665432,0.02467618402595162
xgboost,600,engagement,53,35,33,2,0.5,0.02226552553474903,0.006916590593832401,0.011295505973181451,0.035931576444255285,-0.0220983952565905,-0.009797133149426035,0.009760239371771407
xgboost,600,excitement,53,48,47,1,0.5043153590522707,0.013640993274748325,0.008657370183003926,0.009307330496784992,0.03409638670843442,-0.01678164634242657,-6.993245015055836e-05,0.006349885827907914
xgboost,600,focus,53,38,34,4,0.5,0.024580243974924088,0.018904012494752646,0.02367953498473353,0.03927285920888568,-0.0014648342193803836,0.0021511773650919963,0.014763906579505126
xgboost,600,interest,51,44,43,1,0.5,0.19603580236434937,0.015181154004247558,0.037320577693805555,0.03804566998019883,-0.007683361971703709,0.009852338051256078,0.04367099876785669
xgboost,600,relaxation,53,39,39,0,0.5,0.01068674586713314,0.00797105302512983,0.011989846545125218,0.02942115734560448,-0.013479051295344806,0.0037314165546422366,0.009396524073270992
xgboost,600,stress,49,43,43,0,0.5,0.11845149099826813,0.024801385365768883,0.03512011935761827,0.06147067491392948,-0.011867904182391692,0.004002847977885855,0.02666095496056036
xgboost,900,attention,52,43,41,2,0.5,0.10017380863428116,0.007739222157232666,0.02193418254340078,0.009954440864455712,0.005524003450009627,0.006749393337827184,0.025318345104560144
xgboost,900,engagement,53,41,39,2,0.5073043745942414,0.04282999783754349,0.007880809450521773,0.01567327068514069,0.04439563387745427,-0.02863401497641075,-0.010223155589186775,0.014920841891284045
xgboost,900,excitement,53,51,50,1,0.5013041954371147,0.02669630292803049,0.009312910196461641,0.010196172216518865,0.032551691767794697,-0.013925871374871418,1.990176045889957e-05,0.00750862788233274
xgboost,900,focus,53,42,42,0,0.5,0.12832504138350487,0.019555100543514465,0.02046018242902712,0.03818399718228463,0.0009262039047442896,0.0003275773260888407,0.009775452637928016
xgboost,900,interest,51,46,45,1,0.5,0.2129366099834442,0.01641985945243727,0.03864972995839512,0.03532009208233162,-0.0024803731774570618,0.006028756679438926,0.04252188676240136
xgboost,900,relaxation,53,45,45,0,0.5,0.02623515296727419,0.022938390098778322,0.029332529188462183,0.036940571910412105,0.008936208287144556,0.0037171239021078187,0.018776789401656578
xgboost,900,stress,49,44,44,0,0.5,0.14387981593608856,0.02631504416526157,0.03718612788769604,0.05250530002394385,0.00012478830657927824,0.004336592355411096,0.02824806154204032
