model,outer_fold,pm,subject_id,budget_seconds,budget_minutes,budget_fully_available,calibration_low,calibration_high,calibration_extreme,calibration_class_eligible,adaptation_applied,adaptation_reason,personalized_threshold,threshold_shift_from_0_5,median_probability_low,median_probability_high,evaluation_low,evaluation_high,evaluation_extreme,evaluation_sample_hash,zero_shot_balanced_accuracy,personalized_balanced_accuracy,delta_balanced_accuracy,zero_shot_macro_f1,personalized_macro_f1,delta_macro_f1,zero_shot_low_recall,personalized_low_recall,delta_low_recall,zero_shot_high_recall,personalized_high_recall,delta_high_recall,zero_shot_precision,personalized_precision,delta_precision,zero_shot_accuracy,personalized_accuracy,delta_accuracy,zero_shot_roc_auc,zero_shot_pr_auc
lightgbm,2,interest,71c09041,600,10.0,True,37,5,42,True,True,adapted,0.6936930680488033,0.19369306804880326,0.4076927982945739,0.9796933378030326,61,264,325,2197e10280624dc34c9038e73d2404a0f9cee71842f2f16a4b9f2d4d9fa06933,0.9734848484848485,0.9166666666666667,-0.05681818181818177,0.9349107347219043,0.8220153340635268,-0.11289540065837755,1.0,1.0,0.0,0.946969696969697,0.8333333333333334,-0.11363636363636365,0.9066666666666667,0.7904761904761906,-0.11619047619047618,0.9569230769230769,0.8646153846153846,-0.09230769230769231,0.9961500248385495,0.9991386732391163
lightgbm,2,interest,71c09041,900,15.0,True,51,6,57,True,True,adapted,0.6399214460422737,0.13992144604227374,0.31412049383787266,0.9657223982466749,61,264,325,2197e10280624dc34c9038e73d2404a0f9cee71842f2f16a4b9f2d4d9fa06933,0.9734848484848485,0.9431818181818181,-0.030303030303030387,0.9349107347219043,0.8711953075459734,-0.06371542717593093,1.0,1.0,0.0,0.946969696969697,0.8863636363636364,-0.06060606060606066,0.9066666666666667,0.8351648351648351,-0.07150183150183165,0.9569230769230769,0.9076923076923077,-0.04923076923076919,0.9961500248385495,0.9991386732391163
xgboost,2,focus,71c09041,300,5.0,True,19,5,24,True,True,adapted,0.5231182593852282,0.023118259385228157,0.06221986189484596,0.9840166568756104,279,35,314,d4e9040166cc4aee5118e58800549b9b7d54ca352238856054d6286c4ae65e3b,0.6713773681515617,0.6570916538658473,-0.014285714285714346,0.705919080919081,0.6911312073615739,-0.014787873557507103,0.9713261648745519,0.9713261648745519,0.0,0.37142857142857144,0.34285714285714286,-0.02857142857142858,0.7719811474077686,0.7608843537414967,-0.01109679366627192,0.9044585987261147,0.9012738853503185,-0.0031847133757961776,0.8829493087557604,0.5530436259798686
xgboost,2,focus,71c09041,600,10.0,True,47,5,52,True,True,adapted,0.522782089188695,0.022782089188694954,0.061547521501779556,0.9840166568756104,279,35,314,d4e9040166cc4aee5118e58800549b9b7d54ca352238856054d6286c4ae65e3b,0.6713773681515617,0.6570916538658473,-0.014285714285714346,0.705919080919081,0.6911312073615739,-0.014787873557507103,0.9713261648745519,0.9713261648745519,0.0,0.37142857142857144,0.34285714285714286,-0.02857142857142858,0.7719811474077686,0.7608843537414967,-0.01109679366627192,0.9044585987261147,0.9012738853503185,-0.0031847133757961776,0.8829493087557604,0.5530436259798686
xgboost,2,focus,71c09041,900,15.0,True,74,5,79,True,True,adapted,0.5129842534661293,0.012984253466129303,0.041951850056648254,0.9840166568756104,279,35,314,d4e9040166cc4aee5118e58800549b9b7d54ca352238856054d6286c4ae65e3b,0.6713773681515617,0.6713773681515617,0.0,0.705919080919081,0.705919080919081,0.0,0.9713261648745519,0.9713261648745519,0.0,0.37142857142857144,0.37142857142857144,0.0,0.7719811474077686,0.7719811474077686,0.0,0.9044585987261147,0.9044585987261147,0.0,0.8829493087557604,0.5530436259798686
lightgbm,2,focus,71c09041,300,5.0,True,19,5,24,True,True,adapted,0.6096610599567609,0.1096610599567609,0.30488312665423,0.9144389932592918,279,35,314,d4e9040166cc4aee5118e58800549b9b7d54ca352238856054d6286c4ae65e3b,0.6017409114183307,0.5481822836661546,-0.053558627752176124,0.6305882352941177,0.5600871731008717,-0.07050106219324592,0.974910394265233,0.982078853046595,0.007168458781362075,0.22857142857142856,0.11428571428571428,-0.11428571428571428,0.7215161649944258,0.6714025500910747,-0.05011361490335109,0.89171974522293,0.8853503184713376,-0.006369426751592355,0.9151049667178699,0.5162192416564851
lightgbm,2,focus,71c09041,600,10.0,True,47,5,52,True,True,adapted,0.5413887265981372,0.04138872659813719,0.1683384599369825,0.9144389932592918,279,35,314,d4e9040166cc4aee5118e58800549b9b7d54ca352238856054d6286c4ae65e3b,0.6017409114183307,0.5874551971326165,-0.014285714285714235,0.6305882352941177,0.6126326178139649,-0.01795561748015273,0.974910394265233,0.974910394265233,0.0,0.22857142857142856,0.2,-0.028571428571428553,0.7215161649944258,0.7033333333333334,-0.01818283166109247,0.89171974522293,0.8885350318471338,-0.0031847133757961776,0.9151049667178699,0.5162192416564851
lightgbm,2,focus,71c09041,900,15.0,True,74,5,79,True,True,adapted,0.5402410540536828,0.040241054053682834,0.16604311484807377,0.9144389932592918,279,35,314,d4e9040166cc4aee5118e58800549b9b7d54ca352238856054d6286c4ae65e3b,0.6017409114183307,0.5874551971326165,-0.014285714285714235,0.6305882352941177,0.6126326178139649,-0.01795561748015273,0.974910394265233,0.974910394265233,0.0,0.22857142857142856,0.2,-0.028571428571428553,0.7215161649944258,0.7033333333333334,-0.01818283166109247,0.89171974522293,0.8885350318471338,-0.0031847133757961776,0.9151049667178699,0.5162192416564851
xgboost,5,attention,71e10186,300,5.0,True,3,1,4,False,False,ineligible_zero_shot_fallback,0.5,0.0,,,192,283,475,12ea88673317bb5b759a27c617413274a6c65f79d90b95a22a002fbd27d43892,0.9459658421672557,0.9459658421672557,0.0,0.9493333333333334,0.9493333333333334,0.0,0.9166666666666666,0.9166666666666666,0.0,0.9752650176678446,0.9752650176678446,0.0,0.9534770566659181,0.9534770566659181,0.0,0.9515789473684211,0.9515789473684211,0.0,0.9854792402826855,0.9824041438295983
xgboost,5,attention,71e10186,600,10.0,True,7,13,20,True,True,adapted,0.5003794990479946,0.00037949904799461365,0.008193723857402802,0.9925652742385864,192,283,475,12ea88673317bb5b759a27c617413274a6c65f79d90b95a22a002fbd27d43892,0.9459658421672557,0.9459658421672557,0.0,0.9493333333333334,0.9493333333333334,0.0,0.9166666666666666,0.9166666666666666,0.0,0.9752650176678446,0.9752650176678446,0.0,0.9534770566659181,0.9534770566659181,0.0,0.9515789473684211,0.9515789473684211,0.0,0.9854792402826855,0.9824041438295983
xgboost,5,attention,71e10186,900,15.0,True,8,16,24,True,True,adapted,0.5009860482532531,0.0009860482532531023,0.009203719440847635,0.9927683770656586,192,283,475,12ea88673317bb5b759a27c617413274a6c65f79d90b95a22a002fbd27d43892,0.9459658421672557,0.9459658421672557,0.0,0.9493333333333334,0.9493333333333334,0.0,0.9166666666666666,0.9166666666666666,0.0,0.9752650176678446,0.9752650176678446,0.0,0.9534770566659181,0.9534770566659181,0.0,0.9515789473684211,0.9515789473684211,0.0,0.9854792402826855,0.9824041438295983
lightgbm,5,attention,71e10186,300,5.0,True,3,1,4,False,False,ineligible_zero_shot_fallback,0.5,0.0,,,192,283,475,12ea88673317bb5b759a27c617413274a6c65f79d90b95a22a002fbd27d43892,0.9441990577149588,0.9441990577149588,0.0,0.947179183038031,0.947179183038031,0.0,0.9166666666666666,0.9166666666666666,0.0,0.9717314487632509,0.9717314487632509,0.0,0.9507694606305095,0.9507694606305095,0.0,0.9494736842105264,0.9494736842105264,0.0,0.9782648704358068,0.9760645222185788
lightgbm,5,attention,71e10186,600,10.0,True,7,13,20,True,True,adapted,0.5297874951391701,0.029787495139170117,0.13222123687313753,0.9273537534052027,192,283,475,12ea88673317bb5b759a27c617413274a6c65f79d90b95a22a002fbd27d43892,0.9441990577149588,0.9450364399293286,0.0008373822143697973,0.947179183038031,0.9472749472749473,9.576423691637359e-05,0.9166666666666666,0.921875,0.00520833333333337,0.9717314487632509,0.9681978798586572,-0.0035335689045936647,0.9507694606305095,0.9498548945194776,-0.0009145661110319114,0.9494736842105264,0.9494736842105264,0.0,0.9782648704358068,0.9760645222185788
