model,contrast,target_budget_seconds,reference_budget_seconds,subject_id,delta_balanced_accuracy,delta_macro_f1,delta_low_recall,delta_high_recall,delta_precision,delta_accuracy
xgboost,900s_minus_300s,900,300,40009139,-0.005157507377965609,-0.004012884130661698,-0.027886354264029856,0.017571339508098305,-0.0037933557860713174,-0.0033047859949972835
xgboost,900s_minus_300s,900,300,40f0714a,0.0322201607915894,0.03201019985653686,-0.0071428571428571175,0.07158317872603603,-0.012384589813485225,0.024794295133278133
xgboost,900s_minus_300s,900,300,41e2010c,0.004631063370741706,0.012850514800269108,0.007706209803756692,0.0015559169377267201,-0.0030751286037453696,0.0087732855756254
xgboost,900s_minus_300s,900,300,5001d09a,-0.009066852109234413,-0.009460013155079272,0.008819553462410812,-0.02695325768087986,-0.0024090275808046346,-0.007710585503881706
xgboost,900s_minus_300s,900,300,50c02189,0.05503361934453033,0.10307399703910824,0.11854815118960305,-0.008480912500542503,0.020383423421273417,0.07842702403030588
xgboost,900s_minus_300s,900,300,517001af,0.003423090921030325,-0.001171720336130333,0.03930524451851469,-0.03245906267645404,-0.009651074779384095,-0.004180235873166627
xgboost,900s_minus_300s,900,300,6030f0fd,-0.0027543532276433913,-0.0017966549182134584,0.0012740066299469222,-0.00678271308523426,-0.00044022094304474457,-0.0013366881131737784
xgboost,900s_minus_300s,900,300,7072a0e0,0.008170098902390066,0.014794520645567077,0.10552864313596444,-0.08918844533118431,-0.004743718291695176,0.010928396749137592
xgboost,900s_minus_300s,900,300,7092f07b,0.02803738802112854,0.04040509790081814,0.008704993855249477,0.04736978218700749,0.011321803428932853,0.04218132975760336
xgboost,900s_minus_300s,900,300,7150e10a,0.007938523511736073,0.006824002138027252,-0.01043942526637287,0.026316472289845405,-0.007542224999600555,0.0020584599766534373
xgboost,900s_minus_300s,900,300,71a251fa,-0.017571312437758668,-0.026739445737035572,-0.08995958641683721,0.05481696154131954,-0.001316605790662062,-0.027579323716940496
xgboost,900s_minus_300s,900,300,71c09041,0.06975330894898224,0.06965674521371801,0.011060740523341717,0.12844587737462265,0.013491554576725795,0.043014592097387006
xgboost,900s_minus_300s,900,300,71e10186,0.0,0.0,0.0,0.0,0.0,0.0
xgboost,900s_minus_300s,900,300,71f0603f,-0.0011981245547192376,-0.0010877753600463391,-0.0039496237488862995,0.0015533746394474912,-0.0008740160344237191,-0.0002203070762989423
xgboost,900s_minus_300s,900,300,71f21142,0.019198180510955343,0.025787124026924513,0.035457050521613076,0.0029393105002978315,0.008788376135361542,0.022301345756310487
xgboost,900s_minus_300s,900,300,8030618f,-0.007010189620836216,0.014146536698809942,0.03350420308662194,-0.047524582328294485,0.007623769751698539,0.022735645632225965
xgboost,900s_minus_300s,900,300,8191f1d9,0.013187024214772025,0.10359373605968514,0.20225196599636774,-0.17587791756682336,0.0017948651725180342,0.14517579626810972
xgboost,900s_minus_300s,900,300,81e150c1,-0.0009383744155766482,-0.003720129942808792,-0.007827227276452797,0.005950478445299612,-0.004996338009670809,-0.0063236887380691
xgboost,900s_minus_300s,900,300,81f1f0fe,0.009397746521500494,0.014345395521258797,-0.0710413578940633,0.08983685093706406,0.005087912873813827,0.022861760651605056
xgboost,900s_minus_300s,900,300,a02151ac,-0.008317161980949561,-0.016789144456548777,0.012944462307629356,-0.02957878626952848,-0.01506600355939014,-0.026073454458930057
xgboost,900s_minus_300s,900,300,a1721173,0.0,0.0,0.0,0.0,0.0,0.0
xgboost,900s_minus_300s,900,300,a1b210fc,0.016082017281101035,0.0507043100447111,0.09325937509118831,-0.06109534052898613,0.006221715053196353,0.054191712728993036
xgboost,900s_minus_300s,900,300,b0700166,0.00044494005393724834,0.015111535025708722,0.030148113614175798,-0.029258233506301412,0.012288581310582747,0.027285080428436137
xgboost,900s_minus_300s,900,300,b112005d,0.00862552528624505,0.002645377227986745,0.0027721326959956327,0.014478917876494468,-0.014670881773203193,-0.0245018504526886
xgboost,900s_minus_300s,900,300,b1c2f044,0.03652368717252508,0.03694866333860114,-0.054082031089439764,0.12712940543449025,0.010062117628280132,0.028337369274168855
xgboost,900s_minus_300s,900,300,c060c06a,0.0071281839035659544,0.006824785779846465,0.02323932033847176,-0.00898295253133985,0.002832051332310348,0.005831875725196167
xgboost,900s_minus_300s,900,300,c112918e,0.03958207436779404,0.05268537219827363,-0.022634332037500315,0.10179848077308895,-0.005630752338087075,0.026708536731563703
xgboost,900s_minus_300s,900,300,c1a150b1,0.0008979763320131617,0.00034874908770843316,-0.03176378938518232,0.03355974204920853,0.02088018127409841,0.0005571459729133421
xgboost,900s_minus_300s,900,300,d0724095,0.005772047487012433,0.010462267311127316,-0.0009367660202943551,0.012480860994319332,-1.6026258981449715e-05,0.0053661216416778235
xgboost,900s_minus_300s,900,300,d0e2d025,0.013215678929664798,0.012144642610982359,0.02083054663582551,0.0056008112235043095,-0.007901866016988057,0.005390092981346295
xgboost,900s_minus_300s,900,300,d111e017,0.0,0.0,0.0,0.0,0.0,0.0
xgboost,900s_minus_300s,900,300,d142d110,-0.024458583131764078,-0.03359643208311447,-0.0525099695050435,0.00359280324151523,-0.04082914891617606,-0.03598660051018976
