model,budget_seconds,subject_id,n_pm,zero_shot_balanced_accuracy,personalized_balanced_accuracy,delta_balanced_accuracy,zero_shot_macro_f1,personalized_macro_f1,delta_macro_f1,zero_shot_low_recall,personalized_low_recall,delta_low_recall,zero_shot_high_recall,personalized_high_recall,delta_high_recall,zero_shot_precision,personalized_precision,delta_precision,zero_shot_accuracy,personalized_accuracy,delta_accuracy
xgboost,600,7150e10a,7,0.6903860371899927,0.698171550285915,0.007785513095922395,0.623900893709904,0.6300691405414381,0.006168246831534274,0.881743917671332,0.866994910328677,-0.014749007342654956,0.4990281567086533,0.529348190243153,0.030320033534499746,0.7591814489745075,0.7502233941157083,-0.008958054858799238,0.6737591085304679,0.6754724375402328,0.0017133290097648254
xgboost,600,71a251fa,7,0.8512613484841874,0.8478039954942523,-0.0034573529899352617,0.8317906275976831,0.828211452681755,-0.0035791749159279312,0.783711266404756,0.7842586117796875,0.0005473453749315864,0.918811430563619,0.9113493792088169,-0.0074620513548021095,0.8541071510146621,0.854113712121637,6.5611069748021985e-06,0.854920465181141,0.8522098571283961,-0.0027106080527449067
xgboost,600,71c09041,6,0.8074101358797475,0.8030638906984694,-0.004346245181278241,0.7847603296535532,0.7893608540899546,0.004600524436401317,0.8884468183304475,0.9127583426550742,0.024311524324626504,0.7263734534290477,0.6933694387418646,-0.033004014687183,0.8214003580453219,0.8289418402448893,0.007541482199567702,0.8550745940133003,0.85969580223824,0.004621208224939666
xgboost,600,71e10186,7,0.93981331330977,0.9402086351625724,0.0003953218528022535,0.9409434935917724,0.9414798654201763,0.0005363718284039365,0.9218440873502054,0.9223598171078125,0.0005157297576070212,0.9577825392693351,0.9580574532173324,0.000274913947997454,0.945850281447715,0.9463940109219585,0.0005437294742435261,0.9436235657632066,0.9441599079495214,0.0005363421863148675
xgboost,600,71f0603f,7,0.7934554480900591,0.8095266761957296,0.01607122810567057,0.7957496165906717,0.8087753188491666,0.013025702258494944,0.7241448661830618,0.7638418541193409,0.03969698793627912,0.8627660299970563,0.8552114982721184,-0.0075545317249379506,0.8134349547059123,0.8201738764387814,0.0067389217328690364,0.8062293075037432,0.8166592653424806,0.010429957838737267
xgboost,600,71f21142,6,0.7698166305495365,0.786299969219879,0.016483338670342573,0.7450537910365852,0.7757385167952658,0.030684725758680625,0.8734324636943346,0.885308758927875,0.011876295233540576,0.6662007974047383,0.6872911795118829,0.02109038210714459,0.7962687105014351,0.8132217865715611,0.0169530760701259,0.7987784457015854,0.8263465703575754,0.02756812465598994
xgboost,600,8030618f,7,0.7604493699632139,0.766701652354618,0.006252282391404264,0.6599652667000033,0.6870684038434998,0.027103137143496246,0.8705701135490456,0.9055472202438695,0.034977106694823804,0.650328626377382,0.6278560844653667,-0.022472541912015285,0.7139709345109448,0.7287128451461321,0.014741910635187419,0.6890727178994148,0.73232207236594,0.04324935446652524
xgboost,600,8191f1d9,7,0.671851695848032,0.683224673132192,0.011372977284160082,0.5530171399400322,0.6505353338857062,0.09751819394567389,0.39134676324744694,0.576710645912155,0.1853638826647081,0.9523566284486169,0.7897387003522292,-0.1626179280963879,0.7192151541912027,0.7183082671503366,-0.000906887040866127,0.5892251466327959,0.7280039214067001,0.13877877477390416
xgboost,600,81e150c1,7,0.7637146594986837,0.7613317990318057,-0.0023828604668779357,0.7176638424218079,0.7130779102236755,-0.0045859321981323985,0.8382448831215079,0.8287169755729462,-0.009527907548561603,0.6891844358758595,0.6939466224906654,0.004762186614805748,0.7267803089944965,0.720579859251146,-0.00620044974335064,0.7681180083110861,0.7609277159779367,-0.007190292333149479
xgboost,600,81f1f0fe,7,0.6923424011285768,0.7090317820174975,0.016689380888920673,0.6658312396157765,0.6789072808319495,0.013076041216173007,0.7013044012962517,0.6492633304032563,-0.05204107089299548,0.6833804009609017,0.7688002336317385,0.08541983267083682,0.7102292676628699,0.7146120349409166,0.0043827672780467775,0.6990918395627916,0.7054512895991333,0.0063594500363417196
xgboost,600,a02151ac,7,0.7238446667258425,0.7193977863589671,-0.00444688036687535,0.696183618803058,0.6880823472771882,-0.008101271525869766,0.6423474905935157,0.6711252398171902,0.02877774922367447,0.8053418428581692,0.767670332900744,-0.03767150995742519,0.7421933976656266,0.7316957388091682,-0.010497658856458354,0.7407217924253257,0.7272471220359009,-0.01347467038942469
xgboost,600,a1721173,7,0.7597333698202412,0.7597333698202412,0.0,0.7612738614223985,0.7612738614223985,0.0,0.734918359619501,0.734918359619501,0.0,0.7845483800209817,0.7845483800209817,0.0,0.8162283235552822,0.8162283235552822,0.0,0.8065009344118623,0.8065009344118623,0.0
xgboost,600,a1b210fc,7,0.7846462255742883,0.763357007537908,-0.021289218036380366,0.7675251413472611,0.7320742783933668,-0.035450862953894435,0.8291959742705182,0.6976550991331211,-0.1315408751373973,0.7400964768780582,0.8290589159426949,0.0889624390646366,0.7936889453540941,0.796460728858898,0.0027717835048037026,0.7949686607936777,0.7600450540345431,-0.034923606759134626
xgboost,600,b0700166,7,0.6733288236800687,0.6846599276546627,0.011331103974594057,0.587366237061584,0.6262656284608352,0.03889939139925135,0.7666842725625054,0.7190418879928969,-0.0476423845696083,0.5799733747976322,0.6502779673164286,0.07030459251879644,0.7121882008910382,0.7244521950279514,0.012263994136913259,0.6185293365971917,0.6673578441477507,0.04882850755055891
xgboost,600,b112005d,7,0.7165423192204562,0.6911209647416628,-0.025421354478793505,0.678731421232642,0.641811318239012,-0.03692010299362998,0.7564955038052246,0.8078158641693288,0.05132036036410427,0.6765891346356879,0.5744260653139965,-0.10216306932169131,0.7320864619644151,0.7309466824452571,-0.0011397795191579066,0.7196601235060986,0.6898526520229448,-0.029807471483153967
xgboost,600,b1c2f044,7,0.8032759578182121,0.844869551370705,0.04159359355249296,0.7825733919331394,0.837204884359247,0.05463149242610748,0.8864321985517051,0.8708092206909741,-0.015622977860731111,0.7201197170847188,0.8189298820504358,0.09881016496571697,0.8258536230769391,0.8498739285460096,0.024020305469070413,0.8177809621608014,0.8660285882498421,0.04824762608904084
xgboost,600,c060c06a,7,0.7386417287225708,0.7578092362368681,0.01916750751429719,0.6948092781579953,0.716008809020321,0.021199530862325684,0.5733490112969424,0.6528572707122754,0.07950825941533297,0.9039344461481994,0.8627612017614606,-0.041173244386738576,0.7606491022476572,0.7599125926817135,-0.000736509565943574,0.7849504170145041,0.801023976444542,0.016073559430037822
xgboost,600,c112918e,7,0.6449973394073477,0.6863391900738788,0.04134185066653121,0.5731942425121324,0.6510342608465415,0.07784001833440905,0.4235341491336969,0.6889795882967154,0.2654454391630185,0.8664605296809984,0.6836987918510422,-0.18276173782995606,0.7403469275951142,0.7495854322656458,0.009238504670531444,0.639145435099903,0.7014439353931378,0.06229850029323487
xgboost,600,c1a150b1,6,0.7036119498813259,0.6776279974201896,-0.0259839524611362,0.6648883908430407,0.6452933851746631,-0.019595005668377796,0.8256087933708655,0.8335875167751209,0.007978723404255317,0.5816151063917862,0.5216684780652586,-0.05994662832652772,0.7513478198698329,0.7849834941708681,0.033635674301034944,0.7131200652818951,0.7234306954523619,0.01031063017046672
xgboost,600,d0724095,7,0.7419683528872408,0.7466629452080255,0.004694592320784777,0.7149581270946366,0.7215845021340732,0.006626375039436702,0.6944050921703694,0.6991829845343147,0.0047778923639453085,0.7895316136041123,0.7941429058817365,0.00461129227762423,0.779960503761723,0.7775215938398444,-0.002438909921878372,0.7456037134843533,0.7502551471850134,0.004651433700660124
xgboost,600,d0e2d025,7,0.7670195615419513,0.784558161330984,0.017538599789032557,0.7480953326894031,0.7664660938741915,0.01837076118478855,0.813802759925303,0.8334853740338856,0.01968261410858252,0.7202363631585998,0.7356309486280824,0.015394585469482549,0.7999178373007585,0.7925770353980305,-0.007340801902727996,0.7884478580186176,0.7983837863092866,0.009935928290669012
xgboost,600,d111e017,7,0.8749070958615971,0.8748106424274705,-9.645343412653265e-05,0.8699456985843451,0.8698280308696135,-0.00011766771473173001,0.8238133776567028,0.8232384998182434,-0.0005748778384593312,0.9260008140664914,0.9263827850366976,0.00038197097020626584,0.8839615544200373,0.8838336742798306,-0.0001278801402065615,0.8716793342291993,0.8715561597421724,-0.00012317448702704934
xgboost,600,d142d110,7,0.717953834325069,0.6937968242781293,-0.024157010046939802,0.6912210071374377,0.6580562049670332,-0.03316480217040444,0.6436077879427632,0.6048322777386816,-0.03877551020408164,0.792299880707375,0.7827613708175768,-0.00953850988979797,0.7017241092241092,0.6665052808601196,-0.035218828363989665,0.7647615276903998,0.7327338378257732,-0.03202768986462655
xgboost,600,d151b0c4,7,0.7683161672497594,0.7694096672245638,0.001093499974804362,0.7632775308621385,0.7716278310026153,0.008350300140477012,0.7541658207222259,0.8089047710516394,0.05473895032941329,0.7824665137772928,0.7299145633974883,-0.052551950379804535,0.7911187679366358,0.7977998845660045,0.0066811166293687186,0.7862993550500889,0.7975211531382463,0.011221798088157518
xgboost,600,d18000a3,7,0.8249589756339073,0.8350586512171508,0.010099675583243666,0.7688520960941523,0.7827074449021284,0.013855348807975945,0.7781857684765583,0.8087260087662225,0.030540240289664258,0.8717321827912562,0.8613912936680792,-0.010340889123176942,0.7827272362698184,0.7873196870171324,0.004592450747313911,0.8213820862693585,0.8347636995338095,0.013381613264451087
xgboost,600,e0c0408a,5,0.7461925223765997,0.7844960792848079,0.03830355690820808,0.7199386506772625,0.7851611914922418,0.06522254081497945,0.7663996266625185,0.8618379093101035,0.09543828264758498,0.7259854180906812,0.7071542492595124,-0.018831168831168844,0.792416033157995,0.8067542751053608,0.014338241947365816,0.7604404713638526,0.8178839102778799,0.057443438914027166
xgboost,600,f0f2a1e1,7,0.8244163752774162,0.8199101614708327,-0.0045062138065833845,0.7998006196796669,0.7971628802089066,-0.002637739470760308,0.8338571440143243,0.8434265220047549,0.009569377990430625,0.8149756065405082,0.7963938009369108,-0.018581805603597377,0.7962584715050792,0.7967355651624805,0.00047709365740127615,0.8375055251494098,0.8363534514166909,-0.001152073732718893
xgboost,600,f121f1e0,7,0.70604695630004,0.731792024598386,0.025745068298345886,0.663747353437252,0.6992785830690648,0.03553122963181273,0.8999632496717141,0.8709942571781591,-0.028968992493555192,0.512130662928366,0.5925897920186128,0.08045912909024691,0.7525636475343117,0.7525125535006882,-5.109403362349837e-05,0.6929437513970613,0.7196078703464469,0.026664118949385553
xgboost,600,f1a0c120,7,0.7160248722829385,0.7261116297820456,0.010086757499106909,0.7190238352027096,0.7343851502324924,0.015361315029782727,0.6336362580193222,0.6622206863582266,0.02858442833890443,0.7984134865465551,0.7900025732058644,-0.008410913340690615,0.8162016284311789,0.8043975885751868,-0.011804039855991957,0.825336647017466,0.8223819567558573,-0.002954690261608693
xgboost,600,f1d06060,7,0.7382240871124272,0.7884527049724281,0.05022861786000093,0.6943228854556543,0.7734587156008912,0.07913583014523677,0.6717318266163215,0.7399682840665761,0.06823645745025467,0.8047163476085327,0.8369371258782798,0.032220778269747195,0.7747246861782333,0.7843351093046138,0.00961042312638029,0.7217350498202396,0.7971718888224938,0.07543683900225422
xgboost,900,0001508a,7,0.6939380676580142,0.7283583637359988,0.03442029607798468,0.6558760151577001,0.724685963602808,0.06880994844510792,0.591815132265778,0.6902591404385039,0.09844400817272601,0.7960610030502503,0.7664575870334938,-0.029603416016756628,0.7564543224647611,0.7726252964024203,0.016170973937659112,0.7428726045658153,0.8027786830205818,0.0599060784547666
