model,contrast,target_budget_seconds,reference_budget_seconds,subject_id,delta_balanced_accuracy,delta_macro_f1,delta_low_recall,delta_high_recall,delta_precision,delta_accuracy
xgboost,1200s_minus_900s,1200,900,c112918e,0.01780959251350167,0.01804348023635205,0.01291060033440794,0.02270858469259507,0.020190831455520697,0.016712655753300942
xgboost,1200s_minus_900s,1200,900,c1a150b1,0.036287945836218305,0.059468353999811985,-0.0007371160164698631,0.07331300768890614,0.004020174908797913,0.05103449872953425
xgboost,1200s_minus_900s,1200,900,d0724095,-0.011961476968282758,-0.0147556511493101,-0.02698417842636147,0.003061224489795844,-0.0027682977510451456,-0.008334233319339912
xgboost,1200s_minus_900s,1200,900,d0e2d025,0.0025986470682732854,0.003087784209393818,0.002713443068428578,0.0024838510681176595,0.0022214478646549463,0.002856424164178417
xgboost,1200s_minus_900s,1200,900,d111e017,-0.00017636684303345973,-0.00017678070439441917,0.0,-0.0003527336860670305,-0.00018198606896624447,-0.00017768301350395976
xgboost,1200s_minus_900s,1200,900,d151b0c4,-0.0036963092667341435,-0.004589026758259118,-0.021678332819182522,0.014285714285714235,-0.0005498449484996337,-0.0024558973978269227
xgboost,1200s_minus_900s,1200,900,d18000a3,-0.003646305061644206,-0.005504649118645011,-0.003924405858107383,-0.0033682042651810296,-0.005783407703049859,-0.0038727558478692803
xgboost,1200s_minus_900s,1200,900,f0f2a1e1,-0.0037893685269925204,0.004609361686787938,-0.03860893628335482,0.031030199229369892,0.0070024766329277455,0.006858055792698048
xgboost,1200s_minus_900s,1200,900,f121f1e0,0.007483943241226698,0.009427861723225406,-0.012597395647935716,0.02756528213038867,0.002670513356201276,0.007351661890709793
xgboost,1200s_minus_900s,1200,900,f1a0c120,0.015719225164701478,0.001388191992792609,0.08588930688364704,-0.05445085655424431,0.0004524088613345745,-0.02137809098176513
xgboost,1200s_minus_900s,1200,900,f1d06060,0.00851542151526341,0.003438378459608149,0.030027569047882507,-0.012996726017355353,0.0007118370309997513,0.0012172116714468384
xgboost,1800s_minus_900s,1800,900,0001508a,0.007968923602275857,0.0031899576164956533,-0.018558906042201118,0.03449675324675339,-0.015926175478600313,-0.0074379751900759405
xgboost,1800s_minus_900s,1800,900,0012905a,0.002415464548610302,0.003748945406523152,-0.02500326670858044,0.029834195805801045,0.00283572107885921,0.005242533515787295
xgboost,1800s_minus_900s,1800,900,0110f12e,-0.000900918584672783,-0.0005031569069950947,-0.004783301670707507,0.00298146450136183,-0.0013034356897643207,-0.0004470060318080282
xgboost,1800s_minus_900s,1800,900,0182e16c,0.0029463313496842503,0.003844259594376065,0.024257520688623302,-0.01836485798925447,0.006158642562576033,0.003960070737281662
xgboost,1800s_minus_900s,1800,900,01c2a0d8,0.0035932476474180852,0.001543188587894706,-0.017617272366074133,0.024803767660910636,-0.0011171160072463993,0.0006765006765007131
xgboost,1800s_minus_900s,1800,900,1081b177,0.00786641925729914,0.006402295386156109,0.026267327859691103,-0.010534489345092601,0.004768385719400636,-0.0011878878728787123
xgboost,1800s_minus_900s,1800,900,20201194,-0.0018286744846887082,0.004229741383783181,0.019708771557749194,-0.0233661205271265,-0.0008932639170015078,0.009199235325874189
xgboost,1800s_minus_900s,1800,900,2162c09e,0.004820324358544625,0.004874443426905906,9.716190087538656e-05,0.009543486816213975,0.00014300197658778657,0.005098466956338976
xgboost,1800s_minus_900s,1800,900,2182c1cd,-0.006888658092399247,-0.010088480386049592,-0.020358336242907615,0.006581020058109011,-0.003171560776570992,-0.010087352042694286
xgboost,1800s_minus_900s,1800,900,219060fa,4.63730335551471e-05,-0.0015579682445829857,0.022156862745098205,-0.02206411667798791,-0.004319640259503155,-0.004539373088684906
xgboost,1800s_minus_900s,1800,900,21a031f6,0.02210057135680432,0.019586800850393438,-0.022396244131388077,0.06659738684499716,0.000710878395450143,0.012408615390970157
