model,budget_seconds,pm,participant_rows,budget_fully_available,class_eligible,adaptation_applied,delta_balanced_accuracy_mean,delta_macro_f1_mean,delta_low_recall_mean,delta_high_recall_mean,delta_precision_mean,delta_accuracy_mean
lightgbm,1200,relaxation,50,49,44,44,0.02558732496022287,0.03361323894045732,0.03585958506903351,0.015315064851412232,0.005469364694606333,0.02276891736211246
lightgbm,1200,stress,46,45,42,42,0.02915693848969674,0.039366136015255335,0.05621081537299727,0.0021030616063962017,0.0051969739920483355,0.03326484018931848
lightgbm,1800,attention,50,48,45,45,0.023999691220850616,0.05918461307836921,0.03091374514799886,0.0170856372937024,0.012529181806667377,0.06254669478983925
lightgbm,1800,engagement,50,48,46,46,0.02337705441427543,0.03942734458717215,0.08753392070944259,-0.04077981188089173,0.005253292545439994,0.033313169720155876
lightgbm,1800,excitement,50,48,48,48,0.007576553637476963,0.00564657263062065,0.04288814044980786,-0.02773503317485395,0.0004907575995224222,0.004969632035111282
lightgbm,1800,focus,50,48,47,45,0.015608730756030293,0.018160214151256956,0.04915396521926864,-0.01793650370720805,-0.001793209227716186,0.009439741296930822
lightgbm,1800,interest,49,47,47,45,0.026331553132698457,0.04822299003117246,0.032029439202033445,0.02063366706336345,0.013029277856914953,0.052406461880046724
lightgbm,1800,relaxation,50,48,47,47,0.03435672744697616,0.04646966666295496,0.04916986311599798,0.019543591777954325,0.0014726292063749202,0.03415918816502652
lightgbm,1800,stress,46,44,44,44,0.029837328771054474,0.04069382783233093,0.05013100347678695,0.009543654065322005,0.004800109426038062,0.035862901617250954
xgboost,900,attention,50,49,41,39,0.005819168836483559,0.018504213150612486,0.006545938182943567,0.005092399490023524,0.011298958892270014,0.024072219759243785
xgboost,900,engagement,50,49,38,36,0.008175609157422404,0.01973818486119548,0.046868823286831215,-0.030517604971986415,-0.001664832017412119,0.018214854425241872
xgboost,900,excitement,50,49,48,47,0.011571522609449922,0.012284384856257838,0.03680450749246048,-0.0136614622735606,0.004319387958006968,0.010675688683635366
xgboost,900,focus,50,49,40,40,0.017449700653906722,0.017833308499964465,0.03011297824842384,0.004786423059389594,0.003473201334049769,0.009250598917155043
xgboost,900,interest,49,48,44,43,0.013415231635768618,0.03493023245355697,0.03356245784798321,-0.006731994576445978,0.005576304878893664,0.041324273176594394
xgboost,900,relaxation,50,49,42,42,0.022540025353966438,0.028432941934865685,0.03631151463095242,0.00876853607698046,0.003922595521302621,0.017271681808664147
xgboost,900,stress,46,45,41,41,0.01640694176411617,0.025301193383970237,0.047408099574493386,-0.014594216046261032,-0.002797994043820034,0.017390748952707535
xgboost,1200,attention,50,49,45,43,0.00881400051091086,0.02366683414006296,-0.002147526310310641,0.019775527332132333,0.010218107021949864,0.029046664777602524
xgboost,1200,engagement,50,49,43,42,0.00794050995785333,0.017299265637363125,0.06292507941696729,-0.04704405950126063,-0.00509262347476005,0.011333494246627112
xgboost,1200,excitement,50,49,49,48,0.01069980475707582,0.012761542616213832,0.03866905450635408,-0.01726944499220241,0.004560074896233759,0.011359872031202376
xgboost,1200,focus,50,49,46,46,0.015970011519630064,0.017523385807842948,0.0277198286114201,0.004220194427840028,0.002733044577355872,0.01205744020072661
xgboost,1200,interest,49,48,48,46,0.017017778033432518,0.03784298469043234,0.030761217059782034,0.0032743390070829877,0.008052931672827184,0.043036257335435736
xgboost,1200,relaxation,50,49,44,44,0.02263078737375447,0.029080404027427235,0.026469816039306364,0.018791758708202586,0.003854718619344708,0.017544184167996548
xgboost,1200,stress,46,45,42,42,0.01835657516169002,0.026979210213643603,0.044306921446127946,-0.007593771122747911,-0.0027479121716330575,0.01970681298823055
xgboost,1800,attention,50,48,45,45,0.020921139831764232,0.05061921621910652,0.014616282578851857,0.027225997084676604,0.012286555022336068,0.053818228267024606
xgboost,1800,engagement,50,48,46,45,0.013144667802459507,0.022286599458883047,0.0514655959175572,-0.02517626031263818,-0.007776013177333001,0.012666279371826801
xgboost,1800,excitement,50,48,48,48,0.010005436480571075,0.012380823939825904,0.03589406833578185,-0.015883195374639666,0.0039714134631731145,0.01136418380999958
xgboost,1800,focus,50,48,47,45,0.02237751106583506,0.02743275261707072,0.04868651812701021,-0.003931495995340096,0.005935269959613235,0.02115597040535809
xgboost,1800,interest,49,47,47,44,0.023717171481670702,0.038544237147430015,0.019701764924354995,0.027732578038986412,0.012395006131271981,0.035265306452487745
xgboost,1800,relaxation,50,48,47,47,0.032561214045629935,0.043451667695752955,0.04426875518195665,0.020853672909303213,0.005582045865060159,0.02954251145620224
xgboost,1800,stress,46,44,44,44,0.019226618183523548,0.030635088039165485,0.03024444235610741,0.008208794010939671,-0.0009216519211950723,0.025224242673932477
