model,outer_fold,pm,subject_id,budget_seconds,budget_minutes,budget_fully_available,calibration_low,calibration_high,calibration_extreme,calibration_class_eligible,adaptation_applied,adaptation_reason,personalized_threshold,threshold_shift_from_0_5,median_probability_low,median_probability_high,evaluation_low,evaluation_high,evaluation_extreme,evaluation_sample_hash,zero_shot_balanced_accuracy,personalized_balanced_accuracy,delta_balanced_accuracy,zero_shot_macro_f1,personalized_macro_f1,delta_macro_f1,zero_shot_low_recall,personalized_low_recall,delta_low_recall,zero_shot_high_recall,personalized_high_recall,delta_high_recall,zero_shot_precision,personalized_precision,delta_precision,zero_shot_accuracy,personalized_accuracy,delta_accuracy
xgboost,4,engagement,f1a0c120,1800,30.0,True,6,114,120,True,True,adapted,0.9897081851959229,0.48970818519592285,0.9816024899482727,0.997813880443573,51,251,302,1e44ece8c5ecd1db966d4efa3fff9e74efcb04575870c27ee606f2ee3fe3cf57,0.515623779392235,0.6569408639950004,0.14131708460276537,0.4899155489319424,0.5197465176062653,0.029830968674322944,0.0392156862745098,0.803921568627451,0.7647058823529412,0.9920318725099602,0.5099601593625498,-0.4820717131474104,0.6677852348993288,0.588768115942029,-0.07901711895729979,0.8311258278145696,0.5596026490066225,-0.2715231788079471
lightgbm,4,engagement,f1a0c120,900,15.0,True,2,80,82,True,True,adapted,0.8149553422860394,0.3149553422860394,0.6492358682841365,0.9806748162879423,51,251,302,1e44ece8c5ecd1db966d4efa3fff9e74efcb04575870c27ee606f2ee3fe3cf57,0.5036715881571753,0.535036325287087,0.031364737129911724,0.4803006974005978,0.5165024630541872,0.03620176565358946,0.0392156862745098,0.35294117647058826,0.3137254901960784,0.9681274900398407,0.7171314741035857,-0.250996015936255,0.5160958904109589,0.5236588067732236,0.007562916362264693,0.8112582781456954,0.6556291390728477,-0.1556291390728477
lightgbm,4,engagement,f1a0c120,1200,20.0,True,3,100,103,True,True,adapted,0.9060944390135875,0.40609443901358755,0.8325987485657717,0.9795901294614034,51,251,302,1e44ece8c5ecd1db966d4efa3fff9e74efcb04575870c27ee606f2ee3fe3cf57,0.5036715881571753,0.5544488711819389,0.050777283024763586,0.4803006974005978,0.4439871005570214,-0.03631359684357638,0.0392156862745098,0.6666666666666666,0.6274509803921569,0.9681274900398407,0.44223107569721115,-0.5258964143426295,0.5160958904109589,0.5312948994252874,0.015199009014328468,0.8112582781456954,0.48013245033112584,-0.33112582781456956
lightgbm,4,engagement,f1a0c120,1800,30.0,True,6,114,120,True,True,adapted,0.943834114499607,0.44383411449960697,0.9081421574019897,0.9795260715972244,51,251,302,1e44ece8c5ecd1db966d4efa3fff9e74efcb04575870c27ee606f2ee3fe3cf57,0.5036715881571753,0.5746426060464026,0.07097101788922733,0.4803006974005978,0.36750440917107585,-0.11279628822952192,0.0392156862745098,0.8823529411764706,0.8431372549019608,0.9681274900398407,0.26693227091633465,-0.701195219123506,0.5160958904109589,0.5571573846982114,0.041061494287252476,0.8112582781456954,0.3708609271523179,-0.4403973509933775
xgboost,4,excitement,f1a0c120,900,15.0,True,21,24,45,True,True,adapted,0.5747479647397995,0.0747479647397995,0.1496371328830719,0.9998587965965271,98,88,186,d7a5ffe4e6c0b29c70df9ab7c6a5f0a26923753389df7b50134973144795f3bd,0.9165120593692022,0.9216141001855287,0.005102040816326481,0.9185044545056229,0.9238507427769329,0.005346288271310007,0.9693877551020408,0.9795918367346939,0.010204081632653073,0.8636363636363636,0.8636363636363636,0.0,0.9249378918727079,0.9316239316239316,0.006686039751223727,0.9193548387096774,0.9247311827956989,0.005376344086021501
xgboost,4,excitement,f1a0c120,1200,20.0,True,28,31,59,True,True,adapted,0.6084231063723564,0.10842310637235641,0.21699653565883636,0.9998496770858765,98,88,186,d7a5ffe4e6c0b29c70df9ab7c6a5f0a26923753389df7b50134973144795f3bd,0.9165120593692022,0.9096706864564008,-0.006841372912801402,0.9185044545056229,0.9125220458553792,-0.005982408650243687,0.9693877551020408,0.9897959183673469,0.020408163265306145,0.8636363636363636,0.8295454545454546,-0.03409090909090906,0.9249378918727079,0.9262789575289576,0.0013410656562496959,0.9193548387096774,0.9139784946236559,-0.005376344086021501
xgboost,4,excitement,f1a0c120,1800,30.0,True,49,35,84,True,True,adapted,0.5790208131074905,0.07902081310749054,0.1582389771938324,0.9998026490211487,98,88,186,d7a5ffe4e6c0b29c70df9ab7c6a5f0a26923753389df7b50134973144795f3bd,0.9165120593692022,0.9159322820037106,-0.0005797773654916405,0.9185044545056229,0.9183135704874835,-0.00019088401813938116,0.9693877551020408,0.9795918367346939,0.010204081632653073,0.8636363636363636,0.8522727272727273,-0.011363636363636354,0.9249378918727079,0.9273799594900513,0.0024420676173433353,0.9193548387096774,0.9193548387096774,0.0
lightgbm,4,excitement,f1a0c120,900,15.0,True,21,24,45,True,True,adapted,0.6103210965330226,0.11032109653302258,0.22644370293637872,0.9941984901296664,98,88,186,d7a5ffe4e6c0b29c70df9ab7c6a5f0a26923753389df7b50134973144795f3bd,0.8875231910946196,0.8591141001855287,-0.02840909090909094,0.8903301886792453,0.8617511520737328,-0.02857903660551253,0.9795918367346939,0.9795918367346939,0.0,0.7954545454545454,0.7386363636363636,-0.05681818181818177,0.9071637426900585,0.8884359714034868,-0.01872777128657166,0.8924731182795699,0.8655913978494624,-0.026881720430107503
lightgbm,4,excitement,f1a0c120,1200,20.0,True,28,31,59,True,True,adapted,0.6181659721477925,0.11816597214779245,0.24258236397386387,0.993749580321721,98,88,186,d7a5ffe4e6c0b29c70df9ab7c6a5f0a26923753389df7b50134973144795f3bd,0.8875231910946196,0.8534322820037106,-0.03409090909090906,0.8903301886792453,0.8559513880614799,-0.03437880061776544,0.9795918367346939,0.9795918367346939,0.0,0.7954545454545454,0.7272727272727273,-0.06818181818181812,0.9071637426900585,0.8848484848484849,-0.02231525784157362,0.8924731182795699,0.8602150537634409,-0.032258064516129004
lightgbm,4,excitement,f1a0c120,1800,30.0,True,49,35,84,True,True,adapted,0.5812787889582849,0.08127878895828489,0.17014319619243715,0.9924143817241327,98,88,186,d7a5ffe4e6c0b29c70df9ab7c6a5f0a26923753389df7b50134973144795f3bd,0.8875231910946196,0.8704777365491652,-0.017045454545454475,0.8903301886792453,0.8732632202636647,-0.01706696841558064,0.9795918367346939,0.9795918367346939,0.0,0.7954545454545454,0.7613636363636364,-0.03409090909090906,0.9071637426900585,0.8957636566332219,-0.011400086056836622,0.8924731182795699,0.8763440860215054,-0.016129032258064502
xgboost,4,stress,f1a0c120,900,15.0,True,33,41,74,True,True,adapted,0.7028764188289642,0.20287641882896423,0.41426026821136475,0.9914925694465637,209,135,344,4ef8bab37aa7eabc7271ef107e5cca4492000ddb115d1727e954ac2324f71f49,0.7683324472798156,0.7671805777068935,-0.0011518695729221262,0.7295940360575095,0.7433184099850767,0.013724373927567202,0.5885167464114832,0.6602870813397129,0.0717703349282297,0.9481481481481482,0.8740740740740741,-0.07407407407407407,0.7721423436376706,0.7573306024918929,-0.014811741145777768,0.7296511627906976,0.7441860465116279,0.014534883720930258
xgboost,4,stress,f1a0c120,1200,20.0,True,47,55,102,True,True,adapted,0.8371265828609467,0.33712658286094666,0.6790554523468018,0.9951977133750916,209,135,344,4ef8bab37aa7eabc7271ef107e5cca4492000ddb115d1727e954ac2324f71f49,0.7683324472798156,0.7673400673400674,-0.0009923799397482114,0.7295940360575095,0.754891103728313,0.02529706767080353,0.5885167464114832,0.7272727272727273,0.13875598086124408,0.9481481481481482,0.8074074074074075,-0.14074074074074072,0.7721423436376706,0.7552795451468797,-0.016862798490790976,0.7296511627906976,0.7587209302325582,0.029069767441860517
xgboost,4,stress,f1a0c120,1800,30.0,True,94,60,154,True,True,adapted,0.9268612414598465,0.4268612414598465,0.8585053980350494,0.9952170848846436,209,135,344,4ef8bab37aa7eabc7271ef107e5cca4492000ddb115d1727e954ac2324f71f49,0.7683324472798156,0.7934254828991671,0.0250930356193515,0.7295940360575095,0.7873492664664141,0.05775523040890462,0.5885167464114832,0.7942583732057417,0.20574162679425845,0.9481481481481482,0.7925925925925926,-0.15555555555555556,0.7721423436376706,0.7845017182130585,0.012359374575387827,0.7296511627906976,0.7936046511627907,0.06395348837209303
lightgbm,4,stress,f1a0c120,900,15.0,True,33,41,74,True,True,adapted,0.7560724823027514,0.25607248230275137,0.5596658577894502,0.9524791068160524,209,135,344,4ef8bab37aa7eabc7271ef107e5cca4492000ddb115d1727e954ac2324f71f49,0.7572213361687046,0.7973595605174553,0.040138224348750695,0.7209207991075957,0.7885862179403949,0.0676654188327992,0.5885167464114832,0.7799043062200957,0.19138755980861244,0.9259259259259259,0.8148148148148148,-0.11111111111111116,0.7586145458432811,0.7860747408619749,0.02746019501869379,0.7209302325581395,0.7936046511627907,0.07267441860465118
lightgbm,4,stress,f1a0c120,1200,20.0,True,47,55,102,True,True,adapted,0.8417242880771856,0.3417242880771856,0.7184243925940508,0.9650241835603205,209,135,344,4ef8bab37aa7eabc7271ef107e5cca4492000ddb115d1727e954ac2324f71f49,0.7572213361687046,0.7953570795676059,0.038135743398901356,0.7209207991075957,0.7937868048943898,0.07286600578679414,0.5885167464114832,0.8277511961722488,0.23923444976076558,0.9259259259259259,0.762962962962963,-0.16296296296296298,0.7586145458432811,0.7924548166344972,0.0338402707912161,0.7209302325581395,0.8023255813953488,0.08139534883720934
lightgbm,4,stress,f1a0c120,1800,30.0,True,94,60,154,True,True,adapted,0.9006603942076286,0.40066039420762856,0.8371411529417803,0.9641796354734768,209,135,344,4ef8bab37aa7eabc7271ef107e5cca4492000ddb115d1727e954ac2324f71f49,0.7572213361687046,0.773524720893142,0.016303384724437375,0.7209207991075957,0.7800913242009132,0.05917052509331755,0.5885167464114832,0.8803827751196173,0.29186602870813405,0.9259259259259259,0.6666666666666666,-0.2592592592592593,0.7586145458432811,0.7930510727169167,0.03443652687363552,0.7209302325581395,0.7965116279069767,0.07558139534883723
xgboost,4,relaxation,f1a0c120,900,15.0,True,33,28,61,True,True,adapted,0.6386337280273438,0.13863372802734375,0.27835485339164734,0.9989126026630402,162,184,346,baa7eab0fb6a32246a5af58a7b3bbced7c2d21639a1946b060bd33e99960a9f6,0.888251476113795,0.8808373590982286,-0.007414117015566379,0.8893415028279019,0.8809769521843824,-0.008364550643519486,0.8580246913580247,0.8703703703703703,0.012345679012345623,0.9184782608695652,0.8913043478260869,-0.02717391304347827,0.891402867965368,0.8811314420010072,-0.010271425964360814,0.8901734104046243,0.8815028901734104,-0.00867052023121384
