model,subject_id,n_pm,brier_improvement,log_loss_improvement,delta_balanced_accuracy_vs_median,delta_macro_f1_vs_median,delta_balanced_accuracy_vs_zero,delta_macro_f1_vs_zero
lightgbm,7150e10a,7,0.026020655238162733,0.1252376481657172,-0.03862363621064895,-0.03357116837582381,-0.011615285872627532,0.010349264791126498
lightgbm,71a251fa,7,0.0,0.0,0.0,0.0,0.0,0.0
lightgbm,71c09041,6,0.007286637653756031,0.0324924441627193,0.010605258860619656,0.005274420768025367,-0.005409748406690544,-0.0021195241063760215
lightgbm,71e10186,7,-0.0041649728412036235,-0.007270142051453204,-0.014581777304449206,-0.01295030780417296,-0.011537613581454633,-0.008836811607837114
lightgbm,71f0603f,7,-0.01501119816923526,-0.05750242935202495,-0.008026655997606562,-0.021622752165481356,-0.004641803569774553,-0.020942175329161983
lightgbm,71f21142,6,0.002219211952393355,0.0042165451966497585,-0.007471378249090721,-0.015099938466899462,0.020764513014096337,0.03737313989393983
lightgbm,8030618f,7,0.04084769781407443,0.08519757754364947,-0.007819056599446437,-0.03593071380909115,-0.004720497573696382,0.002178024234671973
lightgbm,8191f1d9,7,0.1301440215000909,0.5624652347767041,-0.01894294608257268,-0.06366393962586957,0.048241582119543866,0.102471548625057
lightgbm,81e150c1,7,-0.0025691937815484544,-0.01149183928046621,-0.026456494452209958,-0.024601609714685644,-0.019663362889724843,-0.013020511387877274
lightgbm,81f1f0fe,7,-0.0019386676338635678,-0.03174129529899451,-0.014109109093010839,-0.024195769308249064,-0.03831358124922281,-0.03789449974270533
lightgbm,a02151ac,7,0.0009962838239518854,0.05399315922230351,-0.01905820699169693,-0.01841324836952642,-0.007991261490550516,0.003926843603871585
lightgbm,a1721173,7,0.0,0.0,0.0,0.0,0.0,0.0
lightgbm,a1b210fc,7,-0.004334883318616831,-0.02516271098353633,-0.04929960974396192,-0.051745259102124574,-0.048638175852112706,-0.03229939410437605
lightgbm,b0700166,7,0.058417195712693756,0.18011949821489323,-0.027844454837856598,-0.010825759781422448,0.009724080901596297,0.06459725884858487
lightgbm,b112005d,7,-0.07451760464116686,-0.27506790210463133,-0.06105129345432322,-0.10101143617001253,-0.052079799205557754,-0.09937194806504915
lightgbm,b1c2f044,7,0.005142308933784465,-0.014868654752227447,-0.04014142836113161,-0.014674735706436308,-0.007354362014253403,0.03672673808560494
lightgbm,c060c06a,7,0.0269026965141602,0.08232769450813511,-0.03892497609012992,-0.02023062685564958,0.007238380166588986,0.030295896709729115
lightgbm,c112918e,7,0.08304228338549524,0.26551934203341265,0.003430831317764877,0.0012499569188790963,0.09940968374213148,0.1446484999719979
lightgbm,c1a150b1,6,0.030721755056078586,0.11608221558343836,-0.057146858223786824,-0.07820616928516688,-0.010149879167769807,0.009825370594532626
lightgbm,d0724095,7,0.03377724235424341,0.09084880995133458,-0.001989007022907036,0.013677919437842008,0.01145828659402984,0.04728223066398502
lightgbm,d0e2d025,7,0.013772817361927505,0.03730943086661916,-0.05632853421953976,-0.043156536423361466,-0.028209392834770215,-0.002919513316935613
lightgbm,d111e017,7,-0.005473514578545898,-0.014676644130837012,-0.009079349778206696,-0.009662809130702008,-0.0070077397821194055,-0.007395087063475232
lightgbm,d151b0c4,7,-0.006315729395581774,-0.022559492209821817,0.0006828025386786475,-0.01220284781042158,0.0028281334015711917,-0.003981488926418697
lightgbm,d18000a3,7,0.004409280067895054,0.016532841200500883,-0.01089977133288822,-0.022454247392500903,0.00640678803783585,0.0005025777960992224
lightgbm,f0f2a1e1,7,-0.005355759354625145,-0.02505622267889766,-0.02238027055799347,-0.015062150150699291,-0.025338678640104147,-0.016805178176706997
lightgbm,f121f1e0,7,0.0805589392330376,0.37214980216157934,0.030310867798869538,0.03769910927706312,0.07915278860146142,0.09594969820972156
lightgbm,f1a0c120,7,-0.02117710777144566,-0.06545338717081592,-0.061262552717999595,-0.0713460788181299,-0.03466643382586909,-0.06330325333014061
lightgbm,f1d06060,7,0.0690030475556177,0.19992111029732546,-0.0011852998550140167,-0.0018049242274841598,0.07990347092490024,0.10532973491749817
xgboost,0001508a,7,0.04222416106400675,0.19113623097951232,-0.02617248834704065,-0.03403245618431509,0.016529779416294903,0.037050403927663136
xgboost,0012905a,7,-0.019974211740567283,-0.19589213083613302,-0.01845257024508259,-0.02840807390399439,-0.016120358246541393,-0.022143037741884832
xgboost,0110f12e,7,-0.014480225761049115,-0.09566151968759282,0.0017919787042632387,-0.009888013910212514,0.0038744625874022054,-0.009384889840542436
xgboost,0182e16c,7,0.09202993915222643,0.590998848249857,-0.055373729708359076,-0.03829967785766825,0.06942157814777103,0.11612340107847621
xgboost,01c2a0d8,7,-0.015525538217502018,-0.06883487328640822,-0.05430125208088251,-0.04106393384491353,-0.039937011964221614,-0.028966926398238484
xgboost,1081b177,7,0.020864389436793643,0.12841087299040926,-0.000799563626822478,0.004322098645946697,0.02262323690704815,0.03203888949535145
xgboost,20201194,7,-0.0030245503271864077,0.06898957128827755,-0.017397828778135623,-0.03344566487094302,0.03220212957353646,0.039914123805952696
xgboost,2162c09e,7,-0.0012873283149364106,-0.025081924178060527,-0.011699626267060574,-0.006035615240714641,-0.0012446172848032955,0.005229426448376381
xgboost,2182c1cd,7,0.06320199496665006,0.289754931563827,0.0418491152849351,0.05130402545833147,0.07014954089237693,0.09294453892894579
xgboost,219060fa,5,0.010205059027521224,0.02302911675563568,0.008648768496056402,0.00768144336366845,0.02888358233389554,0.03276356699193108
xgboost,21a031f6,7,0.03948483553458532,0.16803527430251605,-0.0054451871629042714,0.009030095001502694,0.010071544746205783,0.038722035194059576
xgboost,30908049,7,0.018104918548604722,0.14010713316224896,0.006624345092185362,0.005913090449454761,0.029530534494406378,0.01834698835758976
xgboost,30c140ca,7,-0.03391953071286516,-0.11561209277010735,-0.004254990227558565,-0.005111007996704687,-0.02946407260062711,-0.015536384762577904
xgboost,3110e0c7,7,-0.035992625214725,-0.33665389338889407,-0.049429789199745645,-0.056126082006343246,-0.06942176254051506,-0.08393355695920175
xgboost,40009139,7,0.005848834134894266,0.06746275412894212,-0.0031855605334720283,-0.006178449934171667,-0.007338483388644497,-0.00033862660495046333
xgboost,41e2010c,7,0.052526782793848016,0.2986880079117921,0.008423980117476344,0.014619426382554075,0.05337951898532779,0.06799022977905837
xgboost,5001d09a,7,0.010174211708008122,0.076701515120626,-0.013724841285755065,-0.005823123437053157,-0.009227947413861206,-0.0015227531808262227
xgboost,50c02189,7,0.08678248653821774,0.4786354062537475,-0.016594426143339423,-0.020883597011309596,0.05654556287898427,0.11224302415618816
xgboost,517001af,7,-0.02587503819022607,-0.08336736010833687,-0.02967150926676018,-0.03623408399794692,-0.02709265749059237,-0.047306590152056814
xgboost,6030f0fd,7,0.03747652116686185,0.12023473816742085,-0.0027225457896578836,-0.00804603928471413,0.03749982958210918,0.05759100916423121
xgboost,7072a0e0,7,-0.0056058762473097145,-0.07287024639203861,-0.04021328509836968,-0.06390708567342311,-0.023732284198554998,-0.017216181492645737
xgboost,7092f07b,7,0.08489274722675047,0.46067973751556035,-0.01354500537684982,-0.044684136805680605,0.0399339780009506,0.06433001531791793
xgboost,7150e10a,7,0.04559694670346152,0.31021309449910683,-0.009670925847032965,0.0052365576832581,0.008469673916875364,0.03599861833838077
xgboost,71a251fa,7,0.0,0.0,0.0,0.0,0.0,0.0
xgboost,71c09041,6,0.00793411711197385,0.05352033830646777,0.03069180010701561,0.02860215358568737,-0.0016276046271719673,0.0081645712947331
xgboost,71e10186,7,-0.0021577822653577666,-0.005736582836628756,-0.003158441454787196,-0.0022695702654882887,-0.0030936964709088626,-0.0020128706059551987
xgboost,71f0603f,7,-0.002725527360939018,-0.03424967854141334,-0.004774145509900106,-0.013406822665794753,0.004035062956901846,-0.004808814379053973
xgboost,71f21142,6,0.008742269324746097,0.017449624784513954,-0.006480600266860888,-0.010260730734341176,0.020017231949646757,0.03353547520058281
xgboost,8030618f,7,0.055527830096744404,0.1921985424450041,0.002861370533488783,-0.014716871102439586,0.008671128509484245,0.015511586278891336
xgboost,8191f1d9,7,0.11867723920684026,0.956570971938158,-0.013047360769365936,0.02247587688611472,0.02649706286260234,0.08713431130571182
xgboost,81e150c1,7,0.0023553905298428707,0.02208786130868764,-0.010647988644867632,-0.0081846646679365,-0.010816000017143492,-0.006054907019851056
xgboost,81f1f0fe,7,0.013490003587566272,-0.05167927044805325,0.004062834485022292,-0.005800740784788626,0.008696357941203516,-0.0029516318691750437
xgboost,a02151ac,7,-0.010781489888281797,0.08336711109843332,-0.019800840604107566,-0.02222303406368185,-0.013236137741900657,-0.008450415951278054
xgboost,a1721173,7,0.0,0.0,0.0,0.0,0.0,0.0
xgboost,a1b210fc,7,-0.0007420754933839634,-0.05341805843563622,-0.048760545787286155,-0.04887611474430008,-0.04879825331625295,-0.03032800654759555
xgboost,b0700166,7,0.09706509712431809,0.4756467829414602,0.015062478859827033,0.04251514366753223,0.0369682692548197,0.09664826483573372
xgboost,b112005d,7,-0.07785185447369639,-0.41696566239379773,-0.06374211787233984,-0.097170113154154,-0.06434126233646044,-0.1029206598481136
xgboost,b1c2f044,7,0.009445763923500381,-0.013088633696321406,-0.030395795687138634,-0.00630400227770351,0.006153770779205869,0.04575880669085778
xgboost,c060c06a,7,0.03367087686130971,0.15120866721679832,-0.02259204501251341,-0.0016024131762399283,0.010906380323052911,0.03715605997606321
xgboost,c112918e,7,0.10882903343314705,0.5763901158111807,-0.006000722959693751,-0.007630204901655589,0.09232061173388376,0.147985886848013
xgboost,c1a150b1,6,0.01896844014475992,0.23699900713645827,-0.048514368999977485,-0.06632607845211604,-0.014613583129521083,-0.0025945980248129794
xgboost,d0724095,7,0.044132480565861054,0.18235647414825956,0.021647699614593025,0.044202004425399864,0.022640201823385348,0.054763503372960605
xgboost,d0e2d025,7,0.037464767210429586,0.13871105880143503,-0.02277758203390325,-0.0014349856414181486,-0.002838423078715069,0.02669239269813555
xgboost,d111e017,7,-0.003628276749550232,-0.012857351385800473,-0.004420446627152019,-0.004753566787799368,-0.005209641274243488,-0.005589015416923185
xgboost,d151b0c4,7,-0.003193759029746081,-0.02041748765709332,0.003578013584803189,0.00034281287793745473,0.0013481346609775116,0.0027396960198102943
xgboost,d18000a3,7,0.005335103350204788,0.04548597954423445,-0.013211107397268258,-0.02239747101996605,0.0029080664933396655,-0.003247602973958922
xgboost,f0f2a1e1,7,-0.002998822572209662,-0.03331385213837992,-0.018928507758066298,-0.0159305727001976,-0.018067317398860378,-0.010880277268434688
xgboost,f121f1e0,7,0.08352261621450065,0.5792284281306799,0.022253464022650937,0.03390633494745605,0.06731517355862546,0.08879859840104141
xgboost,f1a0c120,7,-0.01937037863829299,-0.09069821395093138,-0.04211524305455916,-0.04574198838773621,-0.013776261622729396,-0.02807531070389701
xgboost,f1d06060,7,0.07999238901477765,0.3454021113702643,0.020826815427416823,0.02220402686054271,0.07807795564927235,0.10348702485218589
