model,subject_id,n_pm,brier_improvement,log_loss_improvement,delta_balanced_accuracy_vs_median,delta_macro_f1_vs_median,delta_balanced_accuracy_vs_zero,delta_macro_f1_vs_zero
xgboost,b112005d,7,-0.07785185447369639,-0.41696566239379773,-0.06374211787233984,-0.097170113154154,-0.06434126233646044,-0.1029206598481136
xgboost,b1c2f044,6,0.011020057910750445,-0.015270072645708307,-0.03546176163499507,-0.007354669323987428,-0.031135694236845313,-0.0027980962573689503
xgboost,c060c06a,6,0.039282689671527996,0.1764101117529314,-0.026357385847932308,-0.0018694820389465832,0.014618049770834455,0.04658243388315558
xgboost,c112918e,6,0.1269672056720049,0.6724551351130441,-0.007000843452976043,-0.008901905718598188,0.0959971407047816,0.15792588273338698
xgboost,c1a150b1,3,0.03793688028951984,0.47399801427291655,-0.09702873799995497,-0.13265215690423207,-0.031391668423544315,-0.0077090732694621855
xgboost,d0724095,7,0.044132480565861054,0.18235647414825956,0.021647699614593025,0.044202004425399864,0.022640201823385348,0.054763503372960605
xgboost,d0e2d025,7,0.037464767210429586,0.13871105880143503,-0.02277758203390325,-0.0014349856414181486,-0.002838423078715069,0.02669239269813555
xgboost,d111e017,5,-0.005079587449370325,-0.01800029194012066,-0.006188625278012827,-0.006654993502919116,-0.007293497783940883,-0.00782462158369246
xgboost,d151b0c4,5,-0.004471262641644514,-0.028584482719930648,0.005009219018724464,0.00047993802911243665,0.000339256341460481,0.002475952300537987
xgboost,d18000a3,7,0.005335103350204788,0.04548597954423445,-0.013211107397268258,-0.02239747101996605,0.0029080664933396655,-0.003247602973958922
xgboost,f0f2a1e1,5,-0.004198351601093527,-0.04663939299373189,-0.02649991086129282,-0.02230280178027664,-0.02458145929408484,-0.012883773378888953
xgboost,f121f1e0,6,0.09744305225025075,0.6757664994857931,0.02596237469309276,0.039557390772032054,0.07853436915172969,0.10359836480121498
xgboost,f1a0c120,5,-0.027118530093610184,-0.12697749953130394,-0.05896134027638282,-0.0640387837428307,-0.04755018319237423,-0.0452716287203204
xgboost,f1d06060,7,0.07999238901477765,0.3454021113702643,0.020826815427416823,0.02220402686054271,0.07807795564927235,0.10348702485218589
