model,outer_fold,subject_id,pm,calibration_low,calibration_high,calibration_extreme,budget_fully_available,logit_calibration_eligible,logit_calibration_applied,logit_offset,equivalent_original_probability_threshold,frozen_median_threshold,evaluation_low,evaluation_high,evaluation_extreme,evaluation_sample_hash,zero_shot_brier,personalized_brier,brier_improvement,zero_shot_log_loss,personalized_log_loss,log_loss_improvement,zero_shot_ece10,personalized_ece10,zero_shot_balanced_accuracy,frozen_median_balanced_accuracy,candidate_balanced_accuracy,delta_balanced_accuracy_vs_median,delta_balanced_accuracy_vs_zero,zero_shot_macro_f1,frozen_median_macro_f1,candidate_macro_f1,delta_macro_f1_vs_median,delta_macro_f1_vs_zero
lightgbm,4,30908049,relaxation,48,16,64,True,True,True,-0.16733689222111303,0.541736876743011,0.4364199822148628,158,100,258,0df7fbf9ed85d781fa76b42d46a59e14bf704a70a5159bae7604623f6ff16c88,0.09108434621466355,0.09327216126398076,-0.0021878150493172127,0.2941882116196786,0.30100276414412613,-0.006814552524447515,0.042254915287509916,0.06092754173753754,0.8560126582278481,0.8433544303797469,0.8541772151898734,0.010822784810126551,-0.0018354430379746711,0.86809598416756,0.8525353147709643,0.8674137559471512,0.014878441176186863,-0.0006822282204087537
xgboost,4,30908049,interest,24,7,31,True,False,False,0.0,0.4032111500855535,0.4032111500855535,25,154,179,54f8e3f7b45cf9085bc84744f7cfd6bdebbb83fc55aa2e50a6b9a20ea915e372,0.45823582704268945,0.45823582704268945,0.0,1.8324588385193938,1.8324588385193938,0.0,0.5198634231279794,0.5198634231279794,0.6585714285714286,0.6580519480519481,0.6580519480519481,0.0,-0.0005194805194804752,0.4240669240669241,0.4442265581592967,0.4442265581592967,0.0,0.02015963409237259
lightgbm,4,30908049,interest,24,7,31,True,False,False,0.0,0.3911327574502717,0.3911327574502717,25,154,179,54f8e3f7b45cf9085bc84744f7cfd6bdebbb83fc55aa2e50a6b9a20ea915e372,0.36659781747562453,0.36659781747562453,0.0,1.0700162347173203,1.0700162347173203,0.0,0.4669239770016811,0.4669239770016811,0.6948051948051948,0.6970129870129871,0.6970129870129871,0.0,0.002207792207792325,0.453984942886812,0.4970718662198301,0.4970718662198301,0.0,0.04308692333301811
xgboost,4,30908049,focus,4,132,136,True,False,False,0.0,0.8048187270760536,0.8048187270760536,50,362,412,0d659e7ceaab172a3a85867cc9ef1764bc9b4344f9dc3050750d45515c818229,0.10333006476195467,0.10333006476195467,0.0,0.3358724187640626,0.3358724187640626,0.0,0.11220791057864513,0.11220791057864513,0.8078453038674034,0.7956906077348066,0.7956906077348066,0.0,-0.012154696132596787,0.7383955158521632,0.65444524323029,0.65444524323029,0.0,-0.08395027262187327
lightgbm,4,30908049,focus,4,132,136,True,False,False,0.0,0.9145267471769024,0.9145267471769024,50,362,412,0d659e7ceaab172a3a85867cc9ef1764bc9b4344f9dc3050750d45515c818229,0.08801144974249067,0.08801144974249067,0.0,0.2919331162049379,0.2919331162049379,0.0,0.11276324005897898,0.11276324005897898,0.8188950276243094,0.7227624309392264,0.7227624309392264,0.0,-0.096132596685083,0.7626728110599079,0.5042314609118799,0.5042314609118799,0.0,-0.25844135014802805
xgboost,1,30c140ca,attention,32,78,110,True,True,True,-3.6343953831566527,0.9742791366175515,0.9947248250246048,91,79,170,0ed5d7f4e8a953676baa957772b489cb853eb8b7b0ec115ea26058c02c844b9d,0.12635698139461965,0.285477767471853,-0.15912078607723334,0.4515735514229617,1.230590186116392,-0.7790166346934302,0.11493116021663087,0.319893346234254,0.846779802476005,0.569620253164557,0.6265822784810127,0.05696202531645567,-0.22019752399499237,0.8496905393457117,0.4862222222222222,0.5796135630160526,0.09339134079383038,-0.2700769763296591
lightgbm,1,30c140ca,attention,32,78,110,True,True,True,-1.645124306569357,0.8382309972141752,0.9465218286420288,91,79,170,0ed5d7f4e8a953676baa957772b489cb853eb8b7b0ec115ea26058c02c844b9d,0.11223631196471635,0.21985388495583974,-0.10761757299112339,0.347566837270108,0.6544501009302165,-0.3068832636601085,0.10808449773996975,0.26877715389620255,0.8404506885519544,0.5632911392405063,0.6210877729865072,0.05779663374600086,-0.21936291556544718,0.8433956916099773,0.4749093513586105,0.575,0.10009064864138945,-0.26839569160997734
xgboost,1,30c140ca,engagement,45,71,116,True,True,True,1.5275077281966833,0.17835862757969875,0.2809257097542286,104,33,137,b7f6f77ed997514dd1d604766a8293d61d7cb76feaa867cfae5227702ff56bc9,0.16824840814942363,0.2945230481334677,-0.12627463998404406,0.520617100296729,0.9392253364499612,-0.41860823615323217,0.19166969024788166,0.3599837270770354,0.780011655011655,0.7581585081585082,0.720425407925408,-0.03773310023310017,-0.059586247086247046,0.7120638923917613,0.6484828201695672,0.5848484848484848,-0.06363433532108231,-0.12721540754327643
lightgbm,1,30c140ca,engagement,45,71,116,True,True,True,0.35047886825746877,0.4132663015963453,0.533822464513616,104,33,137,b7f6f77ed997514dd1d604766a8293d61d7cb76feaa867cfae5227702ff56bc9,0.19555120390941036,0.23557161583501823,-0.040020411925607874,0.5647213348746718,0.6640589039828213,-0.0993375691081495,0.2543264692390613,0.3124406263335045,0.761509324009324,0.7855477855477855,0.7189685314685315,-0.06657925407925402,-0.04254079254079257,0.6757864357864358,0.7085106382978723,0.607363315696649,-0.10114732260122328,-0.06842312008978679
xgboost,1,30c140ca,excitement,53,53,106,True,True,True,-1.5703222632703544,0.8278295445904019,0.6264969706535339,113,47,160,156805c476a35a05e48cb3733a91ca484da7b5fa15e2db079f90e1f31cc1de4b,0.1607050626794833,0.11747782440146945,0.04322723827801386,0.6458685621910553,0.46216082832337974,0.18370773386767553,0.18454240142755224,0.10386333550977944,0.8291282244398419,0.8424025607230277,0.8609489738279044,0.018546413104876702,0.03182074938806245,0.77925498557632,0.7971602434077079,0.8369878183831672,0.0398275749754593,0.057732832806847156
