model,budget_seconds,strategy,pm,participant_rows,class_eligible,adaptation_applied,delta_balanced_accuracy_mean,delta_macro_f1_mean,delta_low_recall_mean,delta_high_recall_mean,delta_precision_mean,delta_accuracy_mean
lightgbm,120,empirical_balanced_accuracy,engagement,53,6,6,-0.001859103195496817,-0.0017126056403927495,0.005522993050224156,-0.009241199441217785,-0.000704386785663259,-0.00430327523131561
lightgbm,120,empirical_balanced_accuracy,excitement,53,23,23,-0.029350975464257006,-0.03583724812384533,0.049728465258491984,-0.108430416187006,-0.008578773363163225,-0.029231901687377194
lightgbm,120,empirical_balanced_accuracy,focus,53,9,9,-0.004470761924753631,-0.013386889831519911,0.025108845740764784,-0.03405036959027205,-0.0007278614725484537,-0.014423313114800029
lightgbm,120,empirical_balanced_accuracy,interest,52,27,27,-0.0067443670645781495,0.0007404886989174375,0.046260669939888685,-0.059749404069044984,0.004848956405485178,0.006383045970111933
lightgbm,120,empirical_balanced_accuracy,relaxation,53,11,11,0.0006774131311793325,0.0021624385589224726,0.02114264364871373,-0.019787817386355065,0.0017179859613095734,0.002801469885350379
lightgbm,120,empirical_balanced_accuracy,stress,52,23,23,0.0032125456584938474,0.011509805167133905,0.026451520883553473,-0.020026429566565775,0.00184853965994361,0.011781201306077741
lightgbm,120,median_midpoint,attention,52,7,7,0.0025822935641868624,0.003431794532865143,0.002036929235532103,0.003127657892841623,0.0005726122159018221,0.002430402124584387
lightgbm,120,median_midpoint,engagement,53,6,5,-0.00023775467833180675,-1.2326529290955539e-05,0.002470515670556403,-0.0029460250272200133,-0.0004347543214625793,-0.0029234802466919637
lightgbm,120,median_midpoint,excitement,53,23,23,-0.007415582697809199,-0.01101026144574077,0.04833401721982249,-0.06316518261544089,-0.0002736459021476988,-0.008754110484703273
lightgbm,120,median_midpoint,focus,53,9,7,0.00023508968601039385,-0.0038420847218635095,0.016308587264835302,-0.015838407892814516,-0.0011340212638780733,-0.004320049093975163
lightgbm,120,median_midpoint,interest,52,27,27,0.007279483389647125,0.020484904472653623,0.053386303774690454,-0.0388273369953962,0.00962615668750277,0.02079863906651465
lightgbm,120,median_midpoint,relaxation,53,11,11,0.0011482272209766841,0.0028075624062650724,0.008005051929592194,-0.005708597487638841,0.0011621954738510664,0.002704430130906341
lightgbm,120,median_midpoint,stress,52,23,22,0.010141040862086356,0.01664652784080018,0.03966029160387077,-0.019378209879698054,0.00045743513875629027,0.014406373626305414
lightgbm,300,empirical_balanced_accuracy,attention,52,20,20,-0.0007288514895471501,0.0057563851039860985,0.023354699686017773,-0.024812402665112063,-0.005863644384143696,0.005815386340555326
lightgbm,300,empirical_balanced_accuracy,engagement,53,12,12,-0.002261380778256554,-0.002581694051609483,0.012197482237774797,-0.0167202437942879,-0.0019139566305532393,-0.005612894872173887
lightgbm,300,empirical_balanced_accuracy,excitement,53,39,39,-0.01412771683747702,-0.02293005794227342,0.08244305581022818,-0.1106984894851822,-0.008129978172844521,-0.019803486844068283
lightgbm,300,empirical_balanced_accuracy,focus,53,29,29,0.0011731754205207493,-0.011355544619133186,0.07701525862321226,-0.07466890778217078,0.0019843061507624693,-0.01797164095238894
lightgbm,300,empirical_balanced_accuracy,interest,52,39,39,-0.0076013790777245864,0.00630322233955271,0.04536605533385652,-0.0605688134893057,0.00725034967879929,0.019112642937801426
lightgbm,300,empirical_balanced_accuracy,relaxation,53,31,31,-0.00467028217393182,-0.004312465153784403,0.006787644441797151,-0.01612820878966079,-0.0005500070200902158,-0.002871972532821762
lightgbm,300,empirical_balanced_accuracy,stress,52,38,38,0.00717399305440638,0.012533088726725946,0.07665376945325689,-0.06230578334444413,0.0024252270012253938,0.009535974788970844
lightgbm,300,median_midpoint,attention,52,20,20,0.006196473729285979,0.015423702930286613,0.03499174659613416,-0.022598799137562187,-0.00210982338278117,0.01237010080029139
lightgbm,300,median_midpoint,engagement,53,12,11,0.001609836727653787,0.0028168200621683363,0.01493598290832361,-0.011716309453016027,-0.0011465708900967823,-0.0007238329403577914
