model,budget_seconds,budget_role,strategy,strategy_role,subject_id,n_pm,n_class_eligible_pm,n_adaptation_applied_pm,zero_shot_balanced_accuracy,personalized_balanced_accuracy,delta_balanced_accuracy,zero_shot_macro_f1,personalized_macro_f1,delta_macro_f1,zero_shot_low_recall,personalized_low_recall,delta_low_recall,zero_shot_high_recall,personalized_high_recall,delta_high_recall,zero_shot_precision,personalized_precision,delta_precision,zero_shot_accuracy,personalized_accuracy,delta_accuracy
lightgbm,120,secondary,median_midpoint,primary,f121f1e0,7,4,4,0.6984293364320148,0.7132258300274407,0.014796493595425739,0.6560656457616957,0.6762456835842005,0.02018003782250474,0.8816187970312718,0.8825032244750554,0.0008844274437835864,0.5152398758327578,0.5439484355798255,0.02870855974706787,0.7452180783000136,0.7469322310785097,0.0017141527784962124,0.6862403012603858,0.7003057776106019,0.014065476350216124
lightgbm,120,secondary,median_midpoint,primary,f1a0c120,7,7,7,0.7223764161086363,0.7465067264542865,0.024130310345650226,0.7271988736830932,0.7504819186517189,0.023283044968625655,0.6306914668775091,0.6652089883740976,0.034517521496588356,0.8140613653397635,0.8278044645344755,0.0137430991947121,0.8004240186330721,0.8015807356452357,0.001156717012163482,0.8307069101913245,0.8212109473285826,-0.009495962862741902
lightgbm,120,secondary,median_midpoint,primary,f1d06060,7,3,3,0.7249146840549516,0.7558031930293782,0.03088850897442652,0.6725765180212034,0.7232574351837505,0.050680917162547065,0.6627288722183683,0.8095619358280082,0.1468330636096397,0.7871004958915349,0.7020444502307482,-0.0850560456607867,0.7680247545106055,0.7720899074524065,0.004065152941800971,0.6997074149237844,0.7434154723654733,0.04370805744168888
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,0001508a,7,3,3,0.7339359793141217,0.7028804472249334,-0.031055532089188313,0.7042397899750318,0.6972285966096395,-0.00701119336539241,0.6442295508771048,0.7762287407710314,0.13199918989392673,0.8236424077511385,0.6295321536788353,-0.1941102540723034,0.8038155894905611,0.7747341083873021,-0.029081481103259015,0.7685528943022791,0.7989819322877898,0.030429037985510825
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,0012905a,7,5,5,0.7459898435381611,0.709473671225043,-0.03651617231311829,0.7457133754286832,0.7037275169206934,-0.04198585850799008,0.8613766083445686,0.7975959462649358,-0.06378066207963283,0.630603078731754,0.6213513961851502,-0.009251682546603737,0.776953805401443,0.7877392761343606,0.010785470732917404,0.7635896339939042,0.7415463321089465,-0.022043301884957716
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,0110f12e,7,6,6,0.8229420676691923,0.816408779635486,-0.0065332880337062626,0.8211522375557496,0.8067486250964268,-0.014403612459322883,0.8239212019816943,0.8732492276070418,0.0493280256253475,0.82196293335669,0.7595683316639301,-0.062394601692759975,0.8279208479413257,0.8263422173963404,-0.0015786305449853202,0.8263390829241366,0.8116295081067441,-0.014709574817392625
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,0182e16c,7,2,2,0.6937045125801606,0.7305108494067553,0.03680633682659461,0.6329759315461185,0.6889234453242153,0.05594751377809669,0.6606702319626806,0.6676439728150267,0.006973740852346109,0.7267387931976405,0.7933777259984837,0.0666389328008431,0.7747328791331471,0.7915436514645418,0.0168107723313947,0.6992727726136313,0.7508776558741344,0.05160488326050301
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,01c2a0d8,7,6,6,0.7704268053965275,0.7309504722313821,-0.03947633316514544,0.7432181832891286,0.685592043365249,-0.057626139923879514,0.6961840613937067,0.8651080754891689,0.1689240140954622,0.8446695493993482,0.5967928689735952,-0.24787668042575314,0.7758202104448123,0.7825862092772001,0.006765998832387868,0.7879810714749099,0.7237362141996587,-0.06424485727525128
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,1081b177,7,6,6,0.786709458606684,0.7897749816890622,0.0030655230823785234,0.7701081694715627,0.7756246690121292,0.005516499540566512,0.6192553715543063,0.7922012520215824,0.1729458804672761,0.9541635456590614,0.7873487113565424,-0.16681483430251903,0.8131021206294476,0.803446950971115,-0.009655169658332432,0.8003192467008968,0.8013108959487016,0.000991649247804895
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,20201194,7,5,5,0.7240396867159635,0.7923154985109181,0.06827581179495447,0.7102115601396684,0.7728115123434002,0.06259995220373153,0.7004260313636136,0.8191574159216392,0.11873138455802557,0.7476533420683135,0.7654735811001968,0.017820239031883407,0.7767593835528019,0.7773386176820394,0.0005792341292375015,0.7588129487585787,0.7987109052301572,0.03989795647157858
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,2162c09e,7,6,6,0.76928710818385,0.7866025287732644,0.017315420589414328,0.7586041139445402,0.7413451470644743,-0.017258966880065944,0.6208322184854806,0.835889462452857,0.2150572439673763,0.9177419978822196,0.7373155950936718,-0.1804264027885476,0.7955549822936246,0.7925667146636649,-0.00298826762995974,0.8156345529996595,0.7803537799145416,-0.035280773085118046
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,2182c1cd,7,7,7,0.746565554982182,0.7687353944270658,0.022169839444883852,0.7296453287711339,0.7691490473356891,0.03950371856455533,0.5601754375816076,0.6861904759868785,0.12601503840527092,0.9329556723827563,0.8512803128672529,-0.08167535951550318,0.7820819943821183,0.7968016546066787,0.01471966022456044,0.7467515283908039,0.7896133970933042,0.04286186870250032
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,219060fa,7,2,2,0.7907003690912645,0.8188702181318522,0.028169849040587676,0.7411916811141562,0.7643981384740692,0.023206457359913033,0.7988515772518173,0.8382645046247095,0.03941292737289205,0.7825491609307117,0.7994759316389951,0.01692677070828332,0.7759908603339519,0.7731580712295923,-0.0028327891043594838,0.8302910229583376,0.8403282890095273,0.010037266051189755
