model,budget_seconds,budget_role,strategy,strategy_role,subject_id,n_adapted_pm,delta_balanced_accuracy,delta_macro_f1,delta_low_recall,delta_high_recall,delta_precision,delta_accuracy
lightgbm,120,secondary,median_midpoint,primary,a1721173,2,-0.02191683666147287,-0.027932561065065364,0.0035564365671642006,-0.04739010989010989,-0.025921663453052246,-0.029239766081871343
lightgbm,120,secondary,median_midpoint,primary,a1b210fc,1,-0.15988990825688076,-0.20335405398061102,-0.4357798165137615,0.11599999999999999,-0.05414718050253564,-0.14102564102564108
lightgbm,120,secondary,median_midpoint,primary,b0700166,1,0.020189511211183064,0.0336202802420873,-0.006060606060605989,0.04643962848297212,0.0034422278779498994,0.02868852459016391
lightgbm,120,secondary,median_midpoint,primary,b112005d,2,-0.04041370187921911,-0.04772770550198524,0.08176518883415435,-0.16259259259259257,0.01099548778531556,-0.00012477718360071055
lightgbm,120,secondary,median_midpoint,primary,b1c2f044,3,-0.013419316217341862,0.03825145064967065,0.10212768579992715,-0.12896631823461088,0.053281245162005865,0.0467407112664678
lightgbm,120,secondary,median_midpoint,primary,c060c06a,1,0.009706959706959672,0.05834128312775222,0.40512820512820513,-0.3857142857142857,0.021102503584420562,0.07462686567164178
lightgbm,120,secondary,median_midpoint,primary,c112918e,5,0.023990778600821928,0.06075741266572669,0.3096784584299884,-0.26169690122834466,0.04988793105820925,0.07831325105602903
lightgbm,120,secondary,median_midpoint,primary,d0724095,3,0.02284479712756578,0.05935964861884624,0.13011024776243627,-0.08442065350730459,0.02745633602382284,0.07520174705339766
lightgbm,120,secondary,median_midpoint,primary,d0e2d025,2,-0.0345553010618998,-0.03425291626457799,0.07823766364551865,-0.14734826576931837,-0.0019911573564467266,-0.02512155591572124
lightgbm,120,secondary,median_midpoint,primary,d111e017,4,0.000705930070482863,0.0007962856452919664,0.00035547440548579223,0.0010563857354798922,-0.002066930228173419,0.00037873444977920556
lightgbm,120,secondary,median_midpoint,primary,d142d110,1,0.0390869293308318,0.05680587557603689,0.10256410256410259,-0.024390243902439046,0.0004062114356233604,0.016528925619834656
lightgbm,120,secondary,median_midpoint,primary,d151b0c4,1,-0.055177870245560534,-0.041806174098173554,0.380794701986755,-0.49115044247787615,0.02739322111530973,0.007575757575757569
lightgbm,120,secondary,median_midpoint,primary,e0c0408a,2,0.06498006379585325,0.040472344734914456,0.035263157894736885,0.09469696969696967,0.001770239045634836,0.02813965607087021
lightgbm,120,secondary,median_midpoint,primary,f0f2a1e1,1,-0.002808988764044895,-0.003491210744016038,0.0,-0.005617977528089901,-0.003151381853727875,-0.0036363636363636598
lightgbm,120,secondary,median_midpoint,primary,f121f1e0,4,0.025893863791995042,0.03531506618938329,0.0015477480266212762,0.05023997955736877,0.002999767362368372,0.024614583612878216
lightgbm,120,secondary,median_midpoint,primary,f1a0c120,7,0.024130310345650226,0.023283044968625655,0.034517521496588356,0.0137430991947121,0.001156717012163482,-0.009495962862741902
lightgbm,120,secondary,median_midpoint,primary,f1d06060,3,0.07207318760699521,0.11825547337927649,0.342610481755826,-0.19846410654183563,0.009485356864202266,0.10198546736394072
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,0001508a,3,-0.07246290820810607,-0.016359451185915624,0.3079981097524957,-0.4529239261687079,-0.0678567892409377,0.07100108863285859
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,0012905a,5,-0.05112264123836561,-0.05878020191118612,-0.08929292691148596,-0.012952355565245233,0.015099659026084367,-0.030860622638940804
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,0110f12e,6,-0.007622169372657306,-0.0168042145358767,0.05754936322957208,-0.07279370197488665,-0.001841735635816207,-0.017161170620291395
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,0182e16c,2,0.12882217889308112,0.1958162982233384,0.02440809298321138,0.23323626480295084,0.05883770315988146,0.18061709141176055
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,01c2a0d8,6,-0.04605572202600302,-0.06723049657785944,0.1970780164447059,-0.289189460496712,0.007893665304452513,-0.07495233348779316
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,1081b177,6,0.0035764435961082772,0.006435916130660931,0.2017701938784888,-0.1946173066862722,-0.011264364601387836,0.001156924122439044
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,20201194,5,0.09558613651293627,0.08763993308522415,0.16622393838123578,0.02494833464463677,0.0008109277809325022,0.05585713906021002
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,2162c09e,6,0.020201324020983385,-0.020135461360076934,0.250900117961939,-0.2104974699199722,-0.0034863122349530298,-0.04116090193263772
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,2182c1cd,7,0.022169839444883852,0.03950371856455533,0.12601503840527092,-0.08167535951550318,0.01471966022456044,0.04286186870250032
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,219060fa,2,0.09859447164205687,0.08122260075969562,0.13794524580512219,0.05924369747899162,-0.009914761865258193,0.035130431179164145
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,21a031f6,1,-0.04682853378505547,-0.060863656922544584,0.1366459627329193,-0.23030303030303034,0.009917738499171436,-0.04907975460122693
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,30908049,2,0.024593648412103042,-0.08156716915408185,0.2956989247311828,-0.24651162790697675,-0.0998872507356311,-0.15009560229445507
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,30c140ca,5,-0.002679954496668724,0.02643018740998837,0.07038193714159366,-0.07574184613493114,-0.001126961487912337,0.047263245869463975
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,40009139,4,-0.06100579463552078,-0.06077756861205491,0.23807252020616315,-0.36008410947720476,-0.011920735904549978,-0.04219372174251115
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,40f0714a,3,0.0486860271173997,0.053674216826299505,-0.01747388414055077,0.11484593837535013,-0.002261841509580383,0.027101449275362326
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,41e2010c,4,0.04276365035717583,0.022881766511478344,0.0926399513728281,-0.007112650658476424,-0.0358332965992082,-0.015614278556237288
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,5001d09a,6,-0.001768782964570596,0.006053176194951067,-0.15167450252196016,0.14813693659281896,-0.006581518752518352,0.008885420382651813
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,50c02189,5,0.08202282657888407,0.1302717522657006,0.2980441881861637,-0.13399853502839562,0.005850698363074458,0.051212835126843895
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,517001af,4,-0.04184770406051433,-0.059750620563638196,0.2284313725490196,-0.3121267806700483,-0.027507399680827882,-0.03148530792562712
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,6030f0fd,4,-0.01665822984655832,-0.017559076306445043,-0.1351896082836566,0.10187314859053989,0.02098789967310047,-0.021977192305942583
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,7072a0e0,5,-0.05581105400862272,-0.11333127201158255,0.05710169677146115,-0.16872380478870666,-0.02506696839776894,-0.12675684972319914
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,7092f07b,4,-0.059863002648808034,-0.08898390848801699,-0.05231267853219072,-0.06741332676542536,0.011421309723939205,-0.025597618114427262
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,7150e10a,1,0.0,0.0,0.0,0.0,0.0,0.0
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,71a251fa,3,-0.153488374008624,-0.14665817439792717,0.053886832363828664,-0.3608635803810765,-0.039409202624590946,-0.10953788246364667
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,71c09041,4,-0.19650870087453698,-0.20614346572411146,-0.011250484455840953,-0.38176691729323303,-0.049369586284025074,-0.09830100922849025
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,71e10186,6,0.0,0.0,0.0,0.0,0.0,0.0
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,71f0603f,6,-0.01812680798343765,-0.03422763138025262,-0.01361482086104913,-0.022638795105826115,-0.004891948361474903,-0.02698068374106048
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,71f21142,2,-0.01832497776340264,-0.03537087912087916,-0.06375838926174497,0.027108433734939763,0.02276146786547517,-0.015873015873015872
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,8030618f,4,-0.06688301676743769,-0.07969353176717048,-0.04574779054988509,-0.08801824298499034,-0.009920488032456293,-0.10884030126649455
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,8191f1d9,3,0.09096728101031404,0.1760398145097184,0.50070575635201,-0.3187711943313819,0.07412363674820976,0.18834075037952722
