model,outer_fold,pm,subject_id,delta_balanced_accuracy_vs_xgboost,delta_f1_vs_xgboost,delta_roc_auc_vs_xgboost,delta_pr_auc_vs_xgboost,delta_low_recall_vs_xgboost,delta_high_recall_vs_xgboost,delta_precision_vs_xgboost,delta_accuracy_vs_xgboost
random_forest,4,engagement,40009139,-0.02418909592822638,-0.02790928846260965,-0.018288474810214006,-0.015100772058944556,-0.011111111111111072,-0.037267080745341574,-0.0272865285001207,-0.027888446215139417
random_forest,4,engagement,7092f07b,0.05715868580788119,0.1094260795259282,-0.03478177088351475,-0.12357054692866054,0.2731958762886597,-0.15887850467289721,0.04124505079926899,0.11960132890365449
random_forest,4,engagement,8030618f,-0.0044802867383512135,-0.028965439557531947,0.00408203902827553,-0.10758106092302444,-0.06451612903225812,0.05555555555555569,0.004194147292196915,-0.03749999999999998
random_forest,4,engagement,a1b210fc,-0.04495252373813097,-0.05065667272149388,-0.0474262868565718,-0.058956897315975976,0.005747126436781547,-0.09565217391304348,-0.06158749543839215,-0.051980198019802026
random_forest,4,engagement,b112005d,0.16060941994247369,0.2278278846323296,0.08230465004793852,0.057195227292523354,0.4151785714285714,-0.09395973154362425,0.10970721568547659,0.2117962466487936
random_forest,4,engagement,b1c2f044,-0.016349683016349648,-0.010470561489621888,-0.03553553553553557,-0.05538658356488069,0.012345679012345956,-0.04504504504504503,0.014687254196276145,-0.0022988505747126853
random_forest,4,engagement,d151b0c4,-0.02611914481422528,-0.009233945489250495,-0.05023178578841769,-0.08659233606090977,0.061855670103092786,-0.11409395973154357,-0.004226559216417236,0.002272727272727315
random_forest,4,engagement,f1a0c120,-0.05945686133141076,-0.04931274744536779,-0.24299447248257633,-0.05219836663917177,-0.0175438596491228,-0.10136986301369877,-0.19534844949083952,-0.09004739336492895
random_forest,4,excitement,01c2a0d8,0.0002714514509081223,0.0002847444828955048,-0.005619045033795622,-0.005068848464840792,-0.010152284263959421,0.010695187165775444,-0.00247639981798331,0.0
random_forest,4,excitement,30908049,0.03021764032073304,0.03760087352751995,0.01847651775486836,0.002809929038869008,0.0515463917525773,0.008888888888888835,0.04965126707315326,0.01645338208409497
