model,n_fold_pm_rows,pm,participant_macro_balanced_accuracy_mean,participant_macro_balanced_accuracy_std,participant_macro_balanced_accuracy_median,participant_macro_f1_mean,participant_macro_f1_std,participant_macro_f1_median,participant_macro_roc_auc_mean,participant_macro_roc_auc_std,participant_macro_roc_auc_median,participant_macro_pr_auc_mean,participant_macro_pr_auc_std,participant_macro_pr_auc_median,participant_macro_low_recall_mean,participant_macro_low_recall_std,participant_macro_low_recall_median,participant_macro_high_recall_mean,participant_macro_high_recall_std,participant_macro_high_recall_median,participant_macro_precision_mean,participant_macro_precision_std,participant_macro_precision_median,participant_macro_accuracy_mean,participant_macro_accuracy_std,participant_macro_accuracy_median
lightgbm,5,stress,0.7343168255169694,0.022770893186393457,0.7336279178137631,0.6877974687917512,0.01995298809445841,0.6781102938823348,0.866026661438411,0.023252452016699184,0.8661174512823538,0.879516151033925,0.045169854564854894,0.8925271572024559,0.7069303580443886,0.04478270994996702,0.7023705183987354,0.7669233005240753,0.050696818154133454,0.7871004143988771,0.7530410218881436,0.02268969520191655,0.7465726013262262,0.7239817887226144,0.028045230531667454,0.7165057905690663
lightgbm,5,relaxation,0.790595601998506,0.046192403613000504,0.7870364516783112,0.7693416036540004,0.03910257481699968,0.7663538150897704,0.9306063053323733,0.013489851269398164,0.9328121783388835,0.9279205005248544,0.00780746362481305,0.9258462322761339,0.7855776390585213,0.10164182865046902,0.8292877776334336,0.792565111158141,0.041909402533453585,0.7878660803767255,0.835851167076408,0.01987941731726297,0.8413575479112023,0.8163265948258689,0.02766707699953186,0.8207504917964432
lightgbm,5,interest,0.7367381155629887,0.042245817582636166,0.7354425676387699,0.6788376503728747,0.05027159383655241,0.6961085075768925,0.8607916126441836,0.03480653721557315,0.8616985427372147,0.8563010143160625,0.048353713163705944,0.8572424007195043,0.7416978520860906,0.034340351712510826,0.7395067178411723,0.7282708216335257,0.058110453786917676,0.7313784174363677,0.7463191084892585,0.015249850850683267,0.7480213992692063,0.7140861150568361,0.05927467146410074,0.7346022499377856
lightgbm,5,focus,0.7096928698048988,0.03158226506808483,0.7024687299711783,0.6648931987929264,0.028687154553757397,0.6568199881821497,0.8217219621212708,0.01326710791778666,0.8243161159114969,0.7790692119224317,0.03333267609208529,0.7720094280371923,0.7058271299988321,0.05714698289247098,0.6920251866232701,0.7085920301722167,0.043730268806668006,0.7268381308688237,0.7077202904906976,0.021922768364186457,0.7118798158597986,0.7392485998813344,0.0544934626030155,0.7354669917018298
random_forest,5,attention,0.6933250344784277,0.027074829477020654,0.6856371223712815,0.6509204741306887,0.03232216420949535,0.6536568171635482,0.8138812521071083,0.015926983535507647,0.8116357970565075,0.7891033130045007,0.038811750025797905,0.7772438227930364,0.7089831516710092,0.09651292473967121,0.7707887172690733,0.6776669172858464,0.06724811317940207,0.687622189068548,0.7360424303687736,0.019272279141613297,0.7278890005514348,0.6884564100998782,0.028927436247971228,0.6775464314939101
random_forest,5,engagement,0.7289751700675396,0.010844048185098078,0.7263532861961463,0.706028779813642,0.02389585754313577,0.7190987079971577,0.8357614172265748,0.013613352691275848,0.8393055892438213,0.8198967818976552,0.05002973982510979,0.7948680314415429,0.6779837044760381,0.048241836655650926,0.6690179562005482,0.7799666356590412,0.05083524392935361,0.7861713552693314,0.7614135077342731,0.020910261904398254,0.7661575453163079,0.7500513610062212,0.03792127005522734,0.7608943645334197
random_forest,5,excitement,0.8234201863824018,0.029248014600135923,0.8305183324234581,0.8060503445461737,0.044233888024634425,0.7967864608728227,0.9443965153627147,0.00830130898041666,0.9447763745018267,0.9386183193579907,0.007987385018216256,0.9384739673876948,0.8256509818946896,0.056558729670624676,0.8305814534840716,0.8365017994263395,0.059395175572632804,0.8421824705923999,0.8327680903948134,0.05415430472360202,0.8346474161723813,0.8319059456697844,0.04456319341929611,0.8276027277128981
random_forest,5,stress,0.733188671264773,0.034062614111124975,0.7196216308450706,0.6865959237774475,0.028155601699829676,0.6781663274489322,0.8544875070045294,0.029671183935035237,0.8578009836717396,0.8750100725012766,0.04511336285045887,0.8591570651705968,0.7044022860934522,0.07856139707935603,0.6826450364595696,0.767107020940705,0.0366971243113673,0.7822580477536288,0.7473591120209551,0.008526437679096477,0.7435774093625117,0.7224494233432128,0.01990244271407579,0.7156304686183933
random_forest,5,relaxation,0.7919770239545757,0.056054592842610905,0.7884655586217245,0.7739972101291394,0.0463478026900742,0.7733259407764059,0.9201616132353996,0.024471522919291333,0.9201848873612469,0.9119222647721312,0.016572496179921525,0.9194118083188367,0.7980900096854381,0.11447275951600336,0.8615116178647739,0.7826121399635037,0.05060223482283325,0.7890348662015756,0.8322631933403402,0.019438067074176543,0.8269410376977168,0.8187193910724581,0.037306754675677456,0.8274863027050643
random_forest,5,interest,0.74376448358425,0.03760787561294512,0.7379388114758721,0.6789290121019724,0.05454043833753731,0.6932681185349094,0.8500738865652476,0.026660805223483717,0.8597656876336854,0.8423895933889867,0.038247411172108906,0.8485327928025446,0.7556161500116793,0.04627757364510276,0.7682949081392348,0.7280181024951122,0.04557216389365669,0.7408330058272997,0.7483539134954486,0.02208848352511959,0.7600955821770224,0.7109264069531525,0.058401037160922466,0.7168800053127351
random_forest,5,focus,0.6907039902875838,0.028746701963722757,0.690190952206827,0.6554945838576209,0.024039577135783304,0.6583554733630037,0.8004409762489102,0.018191709885533314,0.7996885260828698,0.7458630264335346,0.0362801188032159,0.7457099571243824,0.7022878609085415,0.0643627658730153,0.7119372604766215,0.6913273873343504,0.06797153096415282,0.6713997217248309,0.6919744619534542,0.026722499688127375,0.7015083160800175,0.7172037374953826,0.03205715518717757,0.7191215702186462
