model,outer_fold,pm,delta_balanced_accuracy_vs_xgboost,delta_f1_vs_xgboost,delta_roc_auc_vs_xgboost,delta_pr_auc_vs_xgboost,delta_low_recall_vs_xgboost,delta_high_recall_vs_xgboost,delta_precision_vs_xgboost,delta_accuracy_vs_xgboost
lightgbm,1,engagement,0.004572913798757794,0.0024356523879011105,0.0013431927517356668,0.010490648205287556,-0.021219629073307322,0.03036545667082291,0.0023163959518373023,0.0010043354951314587
lightgbm,1,excitement,0.01636305620810674,0.015371885273131491,0.00210686962130624,-0.00868443172068134,0.021525002356288403,0.011201110059924524,0.00837209398918437,0.013848199015608964
lightgbm,1,focus,0.015526966229647221,0.005953509936189483,0.022261010340800413,-0.005905849216420123,0.045907248239424714,-0.014853315780130494,-0.002554951138531436,0.002835643239909147
lightgbm,1,interest,0.007025156526088705,0.006810521022287519,0.012811493798904228,0.017222723967956766,0.004072633940444437,0.009977679111733084,0.00560579742035805,0.0029386467157553886
lightgbm,1,relaxation,-0.0032087759079908462,-0.003974284706735887,0.0001700503667598774,0.003640453499064056,-0.006786025740049717,0.0003684739240675805,0.0033812585269896722,-0.0035344084448515334
lightgbm,1,stress,0.013134364149653188,0.018510989028902913,0.017905886970089213,0.020920248445004952,0.011882800268540605,0.014385928030765549,0.005390285117161775,0.015484887509075063
lightgbm,2,attention,0.0026067419043448448,0.001107351615148633,-0.006107553409002708,-0.013074645801499751,-0.005526116584975926,0.010739600393665727,0.004293269050309023,0.0024972839832558824
lightgbm,2,engagement,-0.0036603659770412245,0.0009036985830627176,0.015679607921546435,0.006812638758562972,-0.01996820211975492,0.012647470165672137,0.009944716153472366,0.004625954048760428
lightgbm,2,excitement,-0.0006341507317906281,0.0011344935032301384,-0.0009174710812355213,0.0013695728052337541,-0.004696400496294495,0.0037709089359846404,0.0019202502035164937,0.0015582608980920787
lightgbm,2,focus,0.036457787964712884,0.011347786582857844,0.005159979945755122,0.0033461406108430403,0.0494525804857785,-0.024190705011988056,-0.006468086536136841,0.049706200597131156
lightgbm,2,interest,0.000374664791138013,-0.0032972264812844987,0.0037200386110889383,-0.0004905101364768294,0.006037868807468372,-0.00581739314771168,0.0023937610736517456,-0.005032011504061296
lightgbm,2,relaxation,-0.0016670974488454116,-0.0036230664981803384,0.0029245645459001768,0.0008711596264727728,-0.006745094865244994,0.0037519899643096988,-0.0018574309305968706,-0.003979000863739479
lightgbm,2,stress,-0.024190980773602044,-0.0290963214883182,-0.05153848764321611,-0.004154748216583348,-0.025781568412760247,-0.024860432447887826,-0.014410090317054314,-0.031041303601819115
lightgbm,3,attention,0.00048407068538625087,-0.006066026703984262,0.006381062427936235,0.007868313897349433,-0.021530121604864227,0.02249826297563684,0.00015144725023175098,-0.002639941545403146
lightgbm,3,engagement,0.003771133808068483,0.004277170424859311,0.004274926936039702,0.013200265774209852,0.0075164409384373965,2.5826677699347655e-05,0.012126303370184388,0.005039709093743516
lightgbm,3,excitement,-0.0012791916168866102,-0.00042937589643521346,0.010107886284810297,0.008551087688889902,-0.002010933461121578,-0.0005474497726517535,0.0012118705346738645,-0.00038800745702249895
lightgbm,3,focus,-0.014163817988946503,-0.017561391779537305,0.002124666900452321,0.009831823183124366,-0.0137611146625366,-0.014566521315356296,-0.005787978175405661,-0.006149902268291596
lightgbm,3,interest,-0.0018972886076720208,-0.005336272378444251,0.005547325266639924,0.009820669988765962,0.004294334794075816,-0.008088912009419746,-0.0016966985294789572,0.0016548455908366178
lightgbm,3,relaxation,0.0013481423840742135,0.0010758107663337846,0.005509206507370301,0.004424026763624966,0.006331349906866679,-0.003635065138718585,0.003735732263408731,0.001692073236642666
lightgbm,3,stress,-0.01216623110604631,-0.015526918259357703,0.0017728564710511874,0.008714536561493347,-0.02892573259274822,0.004593270380656045,0.0012033112013496439,-0.009531488817814626
lightgbm,4,attention,0.006865916698143515,0.007426213804763826,0.006102035941862427,0.009880967343986802,-0.007526730547795402,0.021258563944082598,0.013537759064403243,0.007667082790471902
lightgbm,4,engagement,0.00648116063054005,0.005857551282323792,-0.010430325569447785,-0.006392065644963307,0.005661188741038048,0.007301132520042164,-0.0021743803719891375,0.0012704391703832751
lightgbm,4,excitement,0.003522632754010546,0.0057535168714287765,0.006258347982888268,0.0040326682652988,0.01766676248281729,-0.010621496974796307,0.01238538333221162,0.006653128434151667
lightgbm,4,focus,0.002051678037068294,0.0009677543549575507,0.006672108423690926,0.00823610140697717,0.013604722535346725,-0.009501366461209693,0.003754734448533137,0.0032952165906636743
lightgbm,4,interest,0.0009065764980187296,0.0025589205291717265,-0.0025984370645611987,-0.00750068575555507,0.015949488987826443,-0.014136335991789095,-0.0013447734612006546,0.003557620417164009
lightgbm,4,relaxation,-0.0062206948564293985,-0.004506884524076771,0.0044875928135856835,0.005499136055444609,-0.00855968984192057,-0.0038816998709381156,1.9178682408194092e-05,-0.002427336553550763
lightgbm,4,stress,-0.00419186529637261,-0.003831075842923859,0.005544159922393654,0.007397353515556815,0.005747480014674178,-0.014131210607419842,0.00011678054741370847,-0.001359866677042798
lightgbm,5,attention,0.004926078259174349,0.0046816949420473986,0.010195802063178383,-0.0063110823594014764,-0.007919439639329506,0.017771596157678093,0.016865676591414802,0.008506951220948578
lightgbm,5,engagement,0.013674009028932788,0.009649422193549473,0.0326279814200634,0.03407784660295765,0.0036189524415877194,0.023729065616277967,0.013481788904459835,0.008305033074737955
lightgbm,5,excitement,-0.002108034600302844,-0.005971072245682163,0.0033892275394826754,-0.000660900128326869,-0.002633481097900736,-0.0015825881027047295,-0.004959512398762578,-0.004695212215176658
lightgbm,5,focus,0.003632642460323132,0.005167305310132653,-0.004366884772833868,-0.008642182802733656,0.0015489072363837897,0.00571637768426303,0.0035682634401549285,0.006381647731969808
lightgbm,5,interest,-0.0031234595720309732,-0.006028650765424914,0.036800405700346484,0.0273251326797721,0.00816773463128162,-0.014414653775343567,0.00743047679000286,-0.009285463305908292
lightgbm,5,relaxation,0.00435616108660164,0.002878232983204443,0.002615023859268484,0.002362550572267752,0.005137230392614045,0.0035750917805889015,-0.0018435504037457306,-0.003271274003912028
lightgbm,5,stress,0.019413227236632302,0.02474865401801074,0.032973485046475126,0.027186381238452628,0.04221870003238637,-0.003392245559121654,0.017992396243241893,0.013420230709956904
