outer_fold,pm,threshold_hash,n_train,n_test,train_sample_hash,test_sample_hash,matched_target_sample_hash,equivalent
2,focus,74e34c54e7221dc6ee613f5b9c86caff220ef215c764f9f3f1457db68a376147,16408,4177,579252362f13a47c63e39500fdef5edae2a4fb3c1ab2e8ea24b60c89b6e48782,51e899bcee4bc67d7ec85e855cfc97e6ab543103a4c4d3c1a785b11312bca213,cd195d73f65e7c3cb3ffac99c4e572a8f0fc8420d39963be5a42e9f99b2bb3ba,True
3,attention,d9fe93c98329da3f22770036d5d5bcc1723fbbfb61707901d1eaef4a7001f95d,15726,4019,a5cebc76705dfe78d9069309261992d18aaefba45bd8350cd77267952e5e1ff9,40cf63640cc4471b14135e4d4948dcd6afd8344147ad160cfdf1b396c73dc02c,8f0effbe6e21bb783e8a2a320305bd69e1f60a57d53cb1abbdc12f306a852be6,True
3,engagement,a74a573473ef95d46567294f0aa220d0bd8b428d9a9120f4a96756b0c84d9f51,16515,4210,61e4715e3fdbf84e55771724176e8af24b1d35914579776aac4f4fb3de4dcd0f,1132952bd73558ad4a208e5074be0094a6e8fdfeb9a83f0cb4881bb6a88e23f3,cd195d73f65e7c3cb3ffac99c4e572a8f0fc8420d39963be5a42e9f99b2bb3ba,True
3,excitement,fa418d56645cfa9ab67032bef122ddca9f2bf2af811172bdbe6b172d6197f493,16517,3925,7a976bb97d5068a96b057954d13a2c8d561b0ceb98cd9b0d027321d726e1be60,35437ba297216ad50d48f232dbe39e93a7a2e890daab7e3ba60b008d80e798e5,cd195d73f65e7c3cb3ffac99c4e572a8f0fc8420d39963be5a42e9f99b2bb3ba,True
3,stress,bcd3007f8b807817734d67f5fb79247d682169631186c1b04d4f2cedd74be7de,16507,4794,b7d9c058d17c7ccbcb337407c89dce3643aea4836abb54fc1caad17d93661355,117ac3c7da30e7d6696aee199abd4fe61bc9164e1af2b93fdb28cdba9af45ee3,cd195d73f65e7c3cb3ffac99c4e572a8f0fc8420d39963be5a42e9f99b2bb3ba,True
3,relaxation,e60bf995e60c88b6af88b34c7d1f44be24f60c5b4257ba68426a2504b9aa025a,16534,3918,859ef1bfd9ab662090b6e308b6572b188a70e20137a1c047b9d4e06fff054f2d,6021090d035e707f148926abaf58a6f571b7a2b2c75184a6ce6959b466ce42b1,cd195d73f65e7c3cb3ffac99c4e572a8f0fc8420d39963be5a42e9f99b2bb3ba,True
3,interest,3bcb6d908dca29ca782906a4f9f4eb0ea8493afdf7dc53a3c5de50526bd55ffb,16506,4428,98d0d02732f3c0569a53ab5fee22fc2175491585aacdc45f62af16b2ac720089,2a57fa92941dfa3dfbc564811bf6224acd9d32b931fc61e33ac929b125d31818,cd195d73f65e7c3cb3ffac99c4e572a8f0fc8420d39963be5a42e9f99b2bb3ba,True
3,focus,0c7365a9f52cdea7f5ff5bd02009df8f23994345c83ad7446745f49568834711,16512,4090,3c290bf4d79fcee4f6815537dfbbbba754381ef0f03daff8de7166884d8b7e4e,c2425c06dedb4ddf01098ed8514112e0b61a3a21f480fd280518566a87265ae1,cd195d73f65e7c3cb3ffac99c4e572a8f0fc8420d39963be5a42e9f99b2bb3ba,True
4,attention,4404f50166a53629f16deb855b5dbdefb3de95149a3eec0eec91689ced0aaf96,15937,3789,d6bc4dd44a146802aea289085e20f3a5469bc59a944f3a84808d81b7aed2dd74,5ed80d114ce64d14399bb12a61f0b309514a69dd18876b7e42e5b18f2e03c958,8f0effbe6e21bb783e8a2a320305bd69e1f60a57d53cb1abbdc12f306a852be6,True
4,engagement,4efdbb963e4328ea609ced0c43ea79ec54863afcf8b6dc3b54e36caff30afe16,16687,3677,986d1415067904080d56b49303685c463e195fe0f6cc22b9219e6da5b4f26546,2113ccdf90100c1d206c6885db866dfe79f738f7b4252d399a7e2666fd34e2d7,cd195d73f65e7c3cb3ffac99c4e572a8f0fc8420d39963be5a42e9f99b2bb3ba,True
4,excitement,01a9a36af7fd4938668057f58a4af0d4815b36985a13f61e071f1297e75e14d1,16689,3904,2bf159cea185c08806e5852a0521171522678bfd8d04d9dfff4d87344dd97627,5c7266b2d141299fed527809be439b1cde70b5a5b0eeac7a636706af194da1f6,cd195d73f65e7c3cb3ffac99c4e572a8f0fc8420d39963be5a42e9f99b2bb3ba,True
4,stress,27d0b6e27ea4a69159776babe88351288b3e08a8b6a0e0a437af967ad54f9cf0,16679,2955,8626c877b29078ccbf8827b46494b91b7bfcea537af78dcbb845acad5ad28c42,ac84b2405b30aa4b5c2f5cbc3a86954f2bcecbcdcd42d348b17baef04c9bc463,cd195d73f65e7c3cb3ffac99c4e572a8f0fc8420d39963be5a42e9f99b2bb3ba,True
4,relaxation,a5f608b86ee9061617d36b1743ad601431f955dde27218d8d7829829dc257d43,16707,3771,8b1921d4d5c07dab4a8de8755eec16059309a05437e5489c47467415666005fb,7b62a8eca8adcf8f868002f7b50d4ef7ce598bf87d1cd10acaa55da2cd3bad38,cd195d73f65e7c3cb3ffac99c4e572a8f0fc8420d39963be5a42e9f99b2bb3ba,True
4,interest,c4110c8ecd8ea7c835b8ea571bfeb6ad10ec8d02d986bd0e2c5b9a70c03e3241,16683,3971,dc15a575b4e8dd1791706916a39e0b9e65dc5b69242cd007fc815a7885d98e3e,e5948de105951744ccb12ab3681960ac9b6deeb89842eaba2caf66ba86dc9ad3,cd195d73f65e7c3cb3ffac99c4e572a8f0fc8420d39963be5a42e9f99b2bb3ba,True
4,focus,bcbf7453b6c3768b7f4446c03f027f80397a24d1f0f54a82146b8fe6d4a67bdf,16688,3731,433fdfdab7418b3ac1b1eba53628b0a707ee15dfd4099c8f04fe8c7220275e8e,7f4092854d93aed8b2ef29ce3554104a18a1509d66238a9a4e1307ac929e958c,cd195d73f65e7c3cb3ffac99c4e572a8f0fc8420d39963be5a42e9f99b2bb3ba,True
5,attention,2f86d0e8c455b4f21168d0123e21d085836ed48610878f7e823e2e4fab91a878,15812,3818,047be59ccbfa5b7c40042855c6bec8ef2a849ce95090b47c1e15252441077662,c0467e0af845f50ad453d29a98a73b3965bd0ee2ca9722863c091dec42b7dc3b,8f0effbe6e21bb783e8a2a320305bd69e1f60a57d53cb1abbdc12f306a852be6,True
5,engagement,fd819c1414dbc4a71c004ee2f223fde45d23c5e1a929dfb308519bdd81be5cc8,16528,4267,346f7b7e7729a5185038ff24672d882799d06a3b9532a846a0a88d310ca16a04,cb815790ac4c4bd8150c380a03aeaef980a5797fbf2bd2e744af9d810c2f3cb2,cd195d73f65e7c3cb3ffac99c4e572a8f0fc8420d39963be5a42e9f99b2bb3ba,True
5,excitement,e83502bfb241187a15bbe01f2a2df8a2dcfd119976c2c47635b1515b95a004a5,16537,3930,c4809372afeffc8c0ab08e218557e903e3bed3671b35dcd9b17b3e80ec3e1e4c,69d92ca21bd937ed6ba37853b32a439042e91ec546bb2a5791a8e782bbbbc0f9,cd195d73f65e7c3cb3ffac99c4e572a8f0fc8420d39963be5a42e9f99b2bb3ba,True
5,stress,f830184ed4091f7c1893003e91eb518737ed15e8b5f007bf46bf30fa7cf23cdb,16523,4380,5598d9b428cc8d2daffd3a09ae72357ec7e9584093626d817f11e57cc0f076c5,cb9d0fe9ef57ea39ce83a06723d74348653b23eb9438bcd33eca7ea7744131b8,cd195d73f65e7c3cb3ffac99c4e572a8f0fc8420d39963be5a42e9f99b2bb3ba,True
5,relaxation,a638d2bb20962ed825b35f176b1a4005a8304bfc01370b1636d6ce403b817a6a,16548,4217,1f6a8f73338edc08be6c918244ea7a42d13eee1132a7c5cab422880956d63d5a,a2925eb2e32be7b101f7abaa4b3b3d73238ade4c6c7d544c0127dd248f3d08a9,cd195d73f65e7c3cb3ffac99c4e572a8f0fc8420d39963be5a42e9f99b2bb3ba,True
5,interest,df1d4a9a8a978ee0e3bcd8ba820067c8fc420fd3f5f02f8d6b88fa7e63bbaac1,16528,3791,6e396b2c20ae510b314530d23b3dd9ef1d7496266d7214d984cdf177230647e0,b215e6b9642fcea91fe3a87dcc096a2c6fdafffd487427082921833a6496e00d,cd195d73f65e7c3cb3ffac99c4e572a8f0fc8420d39963be5a42e9f99b2bb3ba,True
5,focus,d1251c35ecfb7ccdf7b0d7e26663f103bb7b943f31fc83ad844ddbed424760ce,16541,3778,a5d17c5668a7a564616395987307aaf225e9945fa5e651416dfd56d7d9442b6a,baa1f83c8a2e128d0706395b1ff03bc408a7e2ba785a6fbed69ad6cef1e366f6,cd195d73f65e7c3cb3ffac99c4e572a8f0fc8420d39963be5a42e9f99b2bb3ba,True
