temporal_model,tabular_model,outer_fold,pm,subject_id,delta_balanced_accuracy_temporal_minus_tabular,delta_f1_temporal_minus_tabular,delta_roc_auc_temporal_minus_tabular,delta_pr_auc_temporal_minus_tabular,delta_low_recall_temporal_minus_tabular,delta_high_recall_temporal_minus_tabular,delta_precision_temporal_minus_tabular,delta_accuracy_temporal_minus_tabular
torch_lstm,lightgbm,2,engagement,517001af,-0.22853957636566335,-0.21384560904214706,-0.30100334448160543,-0.0730221590827701,-0.33333333333333337,-0.12374581939799334,-0.18599294105945374,-0.14457831325301196
torch_lstm,lightgbm,2,engagement,6030f0fd,-0.15051775147928992,-0.17372853911446873,-0.1489856297548604,-0.09395792448886542,0.125,-0.42603550295857995,-0.23200919847186674,-0.20640569395017794
torch_lstm,lightgbm,2,engagement,7072a0e0,0.02327354260089698,0.03434765157436592,0.012968609865470881,0.01032657857998387,-0.013452914798206206,0.06,0.0003966405689740382,0.025369978858351017
torch_lstm,lightgbm,2,engagement,71a251fa,0.059292649098474204,0.01790202520530282,0.002311604253351751,0.0024968936974399947,0.1428571428571428,-0.024271844660194164,-0.0479454275994694,0.0040322580645162365
torch_lstm,lightgbm,2,engagement,71c09041,-0.06904495638559605,-0.07805069599668124,0.026996197718631043,0.029156857717011597,0.026615969581749166,-0.1647058823529412,0.00048635582252010146,-0.0484988452655889
torch_lstm,lightgbm,2,engagement,a02151ac,-0.12439004218013405,-0.1058155555623318,-0.15118683318170545,-0.0976836294693566,-0.23008849557522126,-0.01869158878504673,-0.11025795189668153,-0.09174311926605505
torch_lstm,lightgbm,2,engagement,d0e2d025,0.0017786561264822032,-0.0013418945892975653,-0.022266139657444062,-0.007684335087221661,0.015151515151515138,-0.01159420289855062,-0.01686713137007234,-0.004192872117400381
torch_lstm,lightgbm,2,engagement,d18000a3,-0.20892553857155627,-0.29364291622139405,-0.09810494323768648,-0.13542930699548805,-0.43805309734513276,0.02020202020202022,-0.07209510264463859,-0.22405660377358494
torch_lstm,lightgbm,2,engagement,f0f2a1e1,-0.03577501635055591,-0.028366179690819227,-0.06483540440374969,-0.05010238830025959,-0.1079136690647482,0.036363636363636376,-0.05341534309145657,-0.02960526315789469
torch_lstm,lightgbm,2,excitement,1081b177,0.029153869598855797,0.02815213345167822,0.0037277565470190677,0.0031123754802265813,0.06735751295336789,-0.009049773755655965,0.017282371712536437,0.02657004830917875
