temporal_model,tabular_model,outer_fold,pm,delta_balanced_accuracy_temporal_minus_tabular,delta_f1_temporal_minus_tabular,delta_roc_auc_temporal_minus_tabular,delta_pr_auc_temporal_minus_tabular,delta_low_recall_temporal_minus_tabular,delta_high_recall_temporal_minus_tabular,delta_precision_temporal_minus_tabular,delta_accuracy_temporal_minus_tabular
torch_transformer,lightgbm,1,interest,-0.013768916976255485,-0.039971633092736325,-0.034176451025166754,-0.05496957292016713,-0.09261198363936718,0.06507414968685621,-0.048072426889041564,-0.0433681790773367
torch_transformer,lightgbm,1,focus,0.043953401404329684,0.04198355802940523,0.061224426220816475,0.03564498742462052,-0.04065691899268409,0.12856372180134334,0.05663387773632067,0.04619061338775243
torch_transformer,lightgbm,2,attention,-0.02260986418336952,-0.002762715125263271,-0.06907897990065526,-0.08845544827832497,0.08918170153773286,-0.1344014299044718,-0.035645081977514814,0.0015543993696464087
torch_transformer,lightgbm,2,engagement,-0.05952408618783933,-0.07192206283747093,-0.07902339854188067,-0.04773436876529902,-0.05109077738288548,-0.06795739499279319,-0.0642737543764168,-0.06821532047418954
torch_transformer,lightgbm,2,excitement,-0.0028234692106967607,-0.0037280562015648,-0.009011533621167134,0.006780813223827953,0.01762281371917407,-0.023269752140567812,-0.0012872525842548832,-0.004697835544439366
torch_transformer,lightgbm,2,stress,-0.006938621102451137,-0.07497671725539334,-0.07658394700917404,-0.06468993911997656,-0.1564674569029122,0.051149818214068166,-0.08693495077305435,-0.03237374914006563
torch_transformer,lightgbm,2,relaxation,-0.05697342544776318,-0.062260341311760836,-0.05763481746575083,-0.04075219898206617,-0.061993884959787526,-0.05195296593573839,-0.04555948671472454,-0.0617364588086714
torch_transformer,lightgbm,2,interest,-0.07686709523689184,-0.09054580881258811,-0.061023641680055696,-0.05009266554606562,-0.050257638142089944,-0.10347655233169384,-0.05669023678157581,-0.07795733850657127
torch_transformer,lightgbm,2,focus,0.00933217970397271,-0.026663251909333496,0.045975709526734354,0.004553165264122638,0.1819069389425203,-0.16324257953457477,0.0038509545974827475,-0.016582249860584652
torch_transformer,lightgbm,3,attention,-0.12187555440649067,-0.1259929256549044,-0.18157526973677063,-0.15018261103817498,-0.15973687539842613,-0.08401423341455516,-0.12805041104194648,-0.10940821601019379
torch_transformer,lightgbm,3,engagement,-0.06848864665748366,-0.09883543018621499,-0.05954775849834848,-0.0642314201952302,-0.10009114328720037,-0.03688615002776707,-0.07842768025040503,-0.08800411374365624
torch_transformer,lightgbm,3,excitement,-0.02969728017839368,-0.0332801512952694,-0.019258177817513267,-0.01356963127391142,-0.0772567981218073,0.017862237765020272,-0.031341692825828105,-0.025781559169547275
torch_transformer,lightgbm,3,stress,-0.03445688106417577,-0.027537405597822695,-0.0505752901152946,-0.046074002953395476,-0.02353861450735173,-0.04537514762099992,-0.026356316720237194,-0.014837346543619567
torch_transformer,lightgbm,3,relaxation,0.0034121810129834618,0.007448480728978191,-0.02458049806068252,-0.023224793497170437,0.03622261204141397,-0.029398250015447047,-0.015070008858693695,-0.00996864545963183
torch_transformer,lightgbm,3,interest,-0.06540659291705953,-0.07039522667931675,-0.10535317259976473,-0.06439919897070645,0.0027571083881956504,-0.13357029422231448,-0.0902104138872164,-0.09506944706500942
torch_transformer,lightgbm,3,focus,0.03075313052773665,0.025739970255729716,0.0604656839719141,0.07059385260546591,0.09470326274678054,-0.03319700169130724,0.05014745276442589,0.0214577045937826
torch_transformer,lightgbm,4,attention,-0.03842944209596888,-0.0653507890236602,-0.059335583313329554,-0.06226790183603237,-0.08635688836489508,0.009498004172957208,-0.04535660403632247,-0.053001305731284254
torch_transformer,lightgbm,4,engagement,-0.025866128893165863,-0.02738884375420192,-0.02187794396989773,-0.047424217999121554,-0.007127364080931731,-0.044604893705399995,-0.03241421036852399,-0.020979373632270537
torch_transformer,lightgbm,4,excitement,0.01587055336649723,0.01077793387003989,0.009095555782423048,0.012858532824362334,0.0473806303526948,-0.015639523619700335,-0.007112460756575456,-0.00043692160054464857
torch_transformer,lightgbm,4,stress,-0.04591879849854774,-0.07245058855718967,-0.05569697162858378,-0.06766083829479719,0.05345290386225987,-0.14529050085935513,-0.04134637625344417,-0.08768845441902473
torch_transformer,lightgbm,4,relaxation,-0.021401319478350778,-0.027246025126527074,-0.043917493332676694,-0.057795406603878385,-0.043069113662668634,0.0002664747059670791,-0.03673653540378474,-0.027784987535495076
torch_transformer,lightgbm,4,interest,-0.09458589820753427,-0.12987363548007325,-0.08163768478839772,-0.06010077054763663,-0.12352012850386318,-0.06565166791120536,-0.08731325827228265,-0.13186984644611732
torch_transformer,lightgbm,4,focus,0.05925602276848063,0.054763677675230604,0.08737269479531429,0.09663509723521702,0.035843867209900626,0.08266817832706053,0.07414093586045944,0.04315535593171693
torch_transformer,lightgbm,5,attention,-0.12278113599378149,-0.13698816207847397,-0.13411250319641455,-0.11418373803103732,-0.03571485929198537,-0.213094218085758,-0.11188117794653629,-0.1214324035005977
torch_transformer,lightgbm,5,engagement,-0.025256636828315138,-0.04306087258535951,-0.03154612151246039,-0.029612084287747087,0.02552116573546026,-0.0760344393920902,-0.04968906206079993,-0.049058582257738514
torch_transformer,lightgbm,5,excitement,-0.0045852025287768106,-0.00739566492067778,-0.015300917853571239,-0.02026058525560448,-0.014122310749366873,0.004951905691813252,-0.007667575536894677,0.00016553163130372806
torch_transformer,lightgbm,5,stress,0.015473579790047154,0.010155519083671072,-0.016352115267721512,-0.02898202638236813,0.07856454108943267,-0.04761738150933825,-0.0210421260628757,0.0031268097211423207
torch_transformer,lightgbm,5,relaxation,-0.03139161847071248,-0.04450922088500331,-0.032791946968247165,-0.027087136434373327,-0.011740043816778623,-0.051043193124646336,-0.0261009330315497,-0.04709712106908026
torch_transformer,lightgbm,5,interest,0.0008166500849025038,-0.025847016639665044,-0.022472762993311135,-0.013068280352875106,0.04747631437177002,-0.050617894713622436,-0.010630937871985768,-0.0327659634279317
torch_transformer,lightgbm,5,focus,0.045962709956204884,0.032274309745118135,0.09515022178645316,0.09332523001161097,-0.041857798083837605,0.13378321799624737,0.0027547401499760094,0.02938750160571424
torch_transformer,xgboost,1,attention,-0.08281733737717467,-0.1119082420567703,-0.1166558248335352,-0.08691603955748961,0.012427134120869598,-0.17806180887521894,-0.0777893545897147,-0.1003573248412648
torch_transformer,xgboost,1,engagement,-0.035757085647487474,-0.04862117816735145,-0.03699092568175999,-0.022251132313930833,-0.049629278444780045,-0.02188489285019435,-0.0007487278693131261,-0.018734158420455338
torch_transformer,xgboost,1,excitement,-0.0004585254800023586,0.0019719150465221658,0.004271290297860886,0.004922691018134584,0.02409306837924019,-0.025010119339244685,0.0063105345695078086,-0.013677702607419295
torch_transformer,xgboost,1,stress,0.002459049104988953,-0.008712998287560114,-0.014583173499344015,-0.010889096969710632,0.04207937506737591,-0.037161276857397785,-0.040933068676656026,-0.004381130203473971
torch_transformer,xgboost,1,relaxation,0.0026548597193475354,0.004022508290118965,-0.0010197476646119918,-0.004488832399816345,0.0022897217862762886,0.003019997652419004,0.0005306830452601607,0.002571349119673272
torch_transformer,xgboost,1,interest,-0.04371441215416538,-0.06405720170349483,-0.038488237087654475,-0.046316115737363384,-0.11102649382225205,0.023597669513921282,-0.06287350206309372,-0.06144110906316891
