outer_fold,pm,n_train,n_test,n_train_subjects,n_test_subjects,threshold_hash,q_low,q_high,train_target_sample_hash,test_target_sample_hash,train_input_endpoint_hash,test_input_endpoint_hash,reference_n_train,reference_n_test,excluded_no_10_window_history_train,excluded_no_10_window_history_test,subject_overlap
3,excitement,15900,3799,42,11,fa418d56645cfa9ab67032bef122ddca9f2bf2af811172bdbe6b172d6197f493,0.19379133333333332,0.35695933333333324,149643e0132fd3b826dce38800b4f728afe3afc56a88e00ffa346c738a4b7bbd,f693064cc4a73bb1a34e8da3cc0c5b3e8c7fd1c04134d180ee21990e842ae24d,2d993a930a715e03315c996e2fc6dca3952d78ab09044b3fd84d1b75629a7726,fcfbbbd3e3c3a709994a92e18927c89bc1c3ccac643be985550f80049c5290f8,16517,3925,617,126,0
3,stress,15759,4624,42,11,bcd3007f8b807817734d67f5fb79247d682169631186c1b04d4f2cedd74be7de,0.405259,0.460463,f6178421891da0b189cc92059c0e677631969dcd6e30274d0ff663664b39a831,7596d48e00e9fa391e0b9ca8da3ca0bad9c5887866bebcf4cec50e0c69e215d4,3367ffeb186fcc09a37d29aaee391cd45685ff90fd2d4711d61f82fbcda59e02,61b2b8ec2c5fb8277e5834cfe19444be637c994bd19cd9f5efc382ebde063d4b,16507,4794,748,170,0
3,relaxation,15984,3823,42,11,e60bf995e60c88b6af88b34c7d1f44be24f60c5b4257ba68426a2504b9aa025a,0.25428966666666664,0.395869,f6a9a7579caaa5d9beff166635ca68e98b1d25efb9aac8c9df983300dd57b6e8,4b3b03b908f0b0ee1af625234d6a76e46be70bfbc1ddf4c045d07dd4db1f0df9,4c3c09fb2a9201b0278daa5218fa212f32319d0870185bdf2fd2eb6e4938d5e1,f8ca926ae071ece97f7d67f272ebef47ac7608021ea46578d3dac627d1a82383,16534,3918,550,95,0
3,interest,15772,4275,42,11,3bcb6d908dca29ca782906a4f9f4eb0ea8493afdf7dc53a3c5de50526bd55ffb,0.480798,0.5285816666666666,a3e127a81a1dbc4988c9c82cdaeee48b47595200d5b896417b418f1a78040e9d,04929eb3183baa31fa159c754b7360dc607f8bfeddb51cacd7c82e27eceda3c9,61c6c8df8ec928543c7b55921417eabac0028cb7c0fd9d2152cbdfb18a3c0b84,9fba1a99a6c76c1d27eaaf16b5eebc41ef79a60eff894b713e66acdc7a2e7467,16506,4428,734,153,0
3,focus,15827,3942,42,11,0c7365a9f52cdea7f5ff5bd02009df8f23994345c83ad7446745f49568834711,0.3654773333333333,0.46152833333333326,e857e23b1935c1e52f585a2a261ecc7c50a49fe68a5475c6477aef12a6dd8acd,9ee4ca4fe8e2dc5be45091a4578e257a77fabc02e7794a1ed43c4e76bef6bcae,aa440aa5313daca0f59324bb101a020d573c95894f83e27d09d9d69f392f99fe,e8d4247107a69319c54dd4107c1298eff455837ccdedcf1c9e09253195b1d282,16512,4090,685,148,0
4,attention,15424,3721,43,10,4404f50166a53629f16deb855b5dbdefb3de95149a3eec0eec91689ced0aaf96,0.410495,0.5079906666666667,8e8db65694da89070a8ad83f541c0fa54a532b27772c67f507b75cd39c4f5136,3363fe63940bfdae1e6c39fbde63aa5e2fd269416e488d7d7dab747cee9fb83f,16dd64eafb04d2335f4d152420eb67262eb5629a8a0c8bd2270c0ca42f78aacb,bb10ba444fb273e4186f209e1cfb451a887e5e794b42efaea10c11a6363fa2c8,15937,3789,513,68,0
4,engagement,15902,3534,43,10,4efdbb963e4328ea609ced0c43ea79ec54863afcf8b6dc3b54e36caff30afe16,0.5819393333333334,0.6880023333333333,039b017512d677764271315885a4370f1b19c53cfb167cb1a23856ff2c760cbb,74a7be6068b3a0cb731706cba451d25deb8d18b89033e4532d8dc75dea9c989d,238724f5eaf250a12a0b8434cf082ff1c72ed726ab7a934c89f615d7670da2f3,989efbd569bfc04aef6386e059b0aba3d29aec9988597cf1299a61b1897ae7f8,16687,3677,785,143,0
4,excitement,16040,3810,43,10,01a9a36af7fd4938668057f58a4af0d4815b36985a13f61e071f1297e75e14d1,0.198937,0.36487366666666665,77b900fa4fbd50c7e5e7215822fd4fcc9f046764e36c14dddaecb68b876684b0,c0ff02a177cfd57f1d486439d917a232b5aacc50e4757ae712f1d8ec83d44711,ee711d307c8fae7fe6bc0346249e836acbd229a78d016a3aaab55bcb42951e9b,3200f77c764eb39585c68b8a432a76c1bf2881e2f58fc8ab509d95a9905ac9eb,16689,3904,649,94,0
4,stress,15944,2832,43,10,27d0b6e27ea4a69159776babe88351288b3e08a8b6a0e0a437af967ad54f9cf0,0.39695366666666665,0.46365033333333333,e3deafd7001f0c7ce42d0b0daca01bbb2ba2cadf31bc06b31ae05a09be999fa6,bd6d73c1f45012b8911a2aa4fa92af92cc06aefc12b47395c186038892e3260d,2bbeba1cd1d5084e26b518882f7e34dec5984d9c100c38e7a10d08ae4b1cb3bc,4fdad3476a2622a4342494aeffd26e146d42bd1d5afb3333e0504d3f4e213fab,16679,2955,735,123,0
4,relaxation,16165,3682,43,10,a5f608b86ee9061617d36b1743ad601431f955dde27218d8d7829829dc257d43,0.259306,0.403906,4bb7f060af57a0e0240f59d45cd8a8dd1e385f00aebc7ac14648cebd2b8c1398,0607a52e628a5a6fb2b73c6d5c76f5bf40c9d8ac0740b245964ac36cdadda198,d7b3a7b7997f8867906c53ee1e7a0a238e229e2f47ab23e565136cb3c07d2425,c8bfda4357d23e5542cfad44a5fedadbcf949625f4eabcad1d0c633cd5b9b24d,16707,3771,542,89,0
4,interest,15959,3818,43,10,c4110c8ecd8ea7c835b8ea571bfeb6ad10ec8d02d986bd0e2c5b9a70c03e3241,0.4793536666666667,0.5286693333333333,5d2923d470ffaa6748a718e99a152912381719ae4ee5d010039063a0544cb306,81cfac1457b11c78cc03cfb00c7174d056a22f0c8cbaeb1b27a2cbbe9bf756c7,e5e91848a87cbeff3e6556e34dc338bc9818cc9eabbe5fb21b5f656dace18471,a73e32db033cff7f6401e281a7e8720fbe4caf0f2321e5867c1770368b2d1b7f,16683,3971,724,153,0
4,focus,15990,3603,43,10,bcbf7453b6c3768b7f4446c03f027f80397a24d1f0f54a82146b8fe6d4a67bdf,0.365106,0.46338333333333337,51f4c135e03d133dd3e4f09f27fbf49dadbcc59145e6b3e65abba4cfc6643b11,10634789403fe9879056ab2934a7f114987d6407dc097e00635256063ab2dc9c,8a1dd2e940097de663ed4311b845b7bca7cd79fe11dd5c0a7b48a04cf1df4fb8,6ddcbabc54e603c78ca8beb477f979929d7fc00e139e50341b54537e33a61135,16688,3731,698,128,0
5,attention,15382,3675,42,11,2f86d0e8c455b4f21168d0123e21d085836ed48610878f7e823e2e4fab91a878,0.408289,0.5064886666666667,2a7d1e561effeaad487783807e5137aa5a627e054dc3eb15d17293065b140333,4fa85c929baa151bcb1726093e4db9f1dfa05d8e7622177c07323ed7e59c039d,a273368325c296317c15debce95a30fbf459bd4ae72940a617e6fbe66d1abc16,e80f5f22dab88504b4f67d03c1b2687b07c3593031928c167454943badc1b717,15812,3818,430,143,0
5,engagement,15793,4056,42,11,fd819c1414dbc4a71c004ee2f223fde45d23c5e1a929dfb308519bdd81be5cc8,0.5812246666666667,0.6832976666666667,7b80cca84fb23604d37d1b190926c28cf9e422d406b04f037e535cc0d2d0c557,87f1575b35a3ffd9a6bb7985b6b487620e2f123c50f9b68dfc18f29615d95b79,9b32b2cd03c230388808f95c52b7daf741decbc9be074a4f058c3b25f46b0629,5acd71adbc2a88743e53e77afa7bb1c463f4d7b00b762131054bc391ee5cef29,16528,4267,735,211,0
5,excitement,15980,3746,42,11,e83502bfb241187a15bbe01f2a2df8a2dcfd119976c2c47635b1515b95a004a5,0.196205,0.361125,3317afb7154742b2ef541993dcd9841fa46ec0823b0a58a5437692fd31f8d8e9,1aba059c379a70f8e0e66ec883a401f537fcc5489d79ec87d78a15173d3f7613,914222f44b0c63b6b4e0552899df314d51aeb4980f27a1672a600aa692fddb58,679d17955dec14a690ed9ede2385903667feffe54a346a32a024110fb439f9a8,16537,3930,557,184,0
5,stress,15836,4168,42,11,f830184ed4091f7c1893003e91eb518737ed15e8b5f007bf46bf30fa7cf23cdb,0.4021516666666667,0.4598493333333333,a943e3acf45ad3900024ab76367962b8f0c2a1147f783e65c6a1decc00c41e3b,a345bbdf52f4a3d0ffd186f0934f8c664b2f7f3b385058a1cb7010bbe0cbd901,f53f395b8aed3fcc6b60b7642cf32cac9cedb5e388f9eaac4acdd6b30e33c884,8b2e0f9ddda74527036b9cbbf6ab83e6817d71f0d3cc47bc921161849f3efe31,16523,4380,687,212,0
5,relaxation,16049,4059,42,11,a638d2bb20962ed825b35f176b1a4005a8304bfc01370b1636d6ce403b817a6a,0.256914,0.3938446666666667,fa3860f8e9536c99113588b43cf85d95914a028e33991597f8f7abe69e33df27,b84237f379d804a62498ef2950f960f1fcb39d08de9989d97f60fe6e558070b3,d07e81edd1058ff00a1635b776149e1c450603a62ebded465881b28b9adc88f3,8810fcade6d6ba771422a9262e2ea0c3121fd5701cb5cb3c3e937e359b2c5c78,16548,4217,499,158,0
5,interest,15858,3595,42,11,df1d4a9a8a978ee0e3bcd8ba820067c8fc420fd3f5f02f8d6b88fa7e63bbaac1,0.47852433333333333,0.529754,e7f5119708193b9b96b45280d7040f6cee1ed6730ed51a0ed6d7880f0b7b3393,2dc745550248ca3d5d0222c38887456f0048575f473a10d25c07881a35c99224,c324e73f6748a6c907022dd21d8b8300f84fef6e6020a3d49597acf766f2845c,bb1a3a69cff6fda38205fd9aed18ab63a4f69d23da16db634813c2f014f16fcf,16528,3791,670,196,0
5,focus,15923,3573,42,11,d1251c35ecfb7ccdf7b0d7e26663f103bb7b943f31fc83ad844ddbed424760ce,0.367191,0.4675926666666666,a36d91760f027769f11697e1a86b46081646285107362e31bca8fc08923eade2,875f2b7a50dd4534041a99400f9fbf92de681283546d716970f7db6b706110e8,4204ec11b51e357bd497021363341a70d1bf172711edb1a875aa7bfd2159abd4,772bf6ae41bce579ce6641c9226ed5c88dccab3b3a29d9ea2d361bae5103980a,16541,3778,618,205,0
