model,input_family,context_windows,input_rule,execution_source,outer_fold,pm,n_train,n_test,n_train_subjects,n_test_subjects,threshold_hash,q_low,q_high,train_target_sample_hash,test_target_sample_hash,train_input_endpoint_hash,test_input_endpoint_hash,specification_hash,run_id
lightgbm,single_window_features,1,371 features at EEG(t-10s),new_training,4,excitement,16040,3810,43,10,01a9a36af7fd4938668057f58a4af0d4815b36985a13f61e071f1297e75e14d1,0.198937,0.36487366666666665,77b900fa4fbd50c7e5e7215822fd4fcc9f046764e36c14dddaecb68b876684b0,c0ff02a177cfd57f1d486439d917a232b5aacc50e4757ae712f1d8ec83d44711,ee711d307c8fae7fe6bc0346249e836acbd229a78d016a3aaab55bcb42951e9b,3200f77c764eb39585c68b8a432a76c1bf2881e2f58fc8ab509d95a9905ac9eb,1c554b1ebdabb3885719aea60bd7427549b0d0b9d6f6d3e707f718554b3b40d3,lightgbm__fold_04__excitement__1c554b1ebdab
xgboost,single_window_features,1,371 features at EEG(t-10s),new_training,4,excitement,16040,3810,43,10,01a9a36af7fd4938668057f58a4af0d4815b36985a13f61e071f1297e75e14d1,0.198937,0.36487366666666665,77b900fa4fbd50c7e5e7215822fd4fcc9f046764e36c14dddaecb68b876684b0,c0ff02a177cfd57f1d486439d917a232b5aacc50e4757ae712f1d8ec83d44711,ee711d307c8fae7fe6bc0346249e836acbd229a78d016a3aaab55bcb42951e9b,3200f77c764eb39585c68b8a432a76c1bf2881e2f58fc8ab509d95a9905ac9eb,14eb75d5fa24e0a1d26a282622b81f0f4548a589a641be7966b213808b18f4b3,xgboost__fold_04__excitement__14eb75d5fa24
torch_lstm,sequence_features,10,371-feature windows EEG(t-100s)..EEG(t-10s),reference_neural_robustness,4,excitement,16040,3810,43,10,01a9a36af7fd4938668057f58a4af0d4815b36985a13f61e071f1297e75e14d1,0.198937,0.36487366666666665,77b900fa4fbd50c7e5e7215822fd4fcc9f046764e36c14dddaecb68b876684b0,c0ff02a177cfd57f1d486439d917a232b5aacc50e4757ae712f1d8ec83d44711,ee711d307c8fae7fe6bc0346249e836acbd229a78d016a3aaab55bcb42951e9b,3200f77c764eb39585c68b8a432a76c1bf2881e2f58fc8ab509d95a9905ac9eb,8bf1a461d9bff25dd7f661476b3194b7c3e9510e260bc592c17d33fb2ee6e9ab,torch_lstm__fold_04__excitement__8bf1a461d9bf
torch_transformer,sequence_features,8,last 8 of common history: EEG(t-80s)..EEG(t-10s),new_training,4,excitement,16040,3810,43,10,01a9a36af7fd4938668057f58a4af0d4815b36985a13f61e071f1297e75e14d1,0.198937,0.36487366666666665,77b900fa4fbd50c7e5e7215822fd4fcc9f046764e36c14dddaecb68b876684b0,c0ff02a177cfd57f1d486439d917a232b5aacc50e4757ae712f1d8ec83d44711,ee711d307c8fae7fe6bc0346249e836acbd229a78d016a3aaab55bcb42951e9b,3200f77c764eb39585c68b8a432a76c1bf2881e2f58fc8ab509d95a9905ac9eb,c5b89388484bcdc78209ba21997c2e69bf999c51a548a1e2ab6923ccc0808d37,torch_transformer__fold_04__excitement__c5b89388484b
lightgbm,single_window_features,1,371 features at EEG(t-10s),new_training,4,stress,15944,2832,43,10,27d0b6e27ea4a69159776babe88351288b3e08a8b6a0e0a437af967ad54f9cf0,0.39695366666666665,0.46365033333333333,e3deafd7001f0c7ce42d0b0daca01bbb2ba2cadf31bc06b31ae05a09be999fa6,bd6d73c1f45012b8911a2aa4fa92af92cc06aefc12b47395c186038892e3260d,2bbeba1cd1d5084e26b518882f7e34dec5984d9c100c38e7a10d08ae4b1cb3bc,4fdad3476a2622a4342494aeffd26e146d42bd1d5afb3333e0504d3f4e213fab,b0a5485d00f75754ef75eefe59db18f3a3791b663fbd5a028eed782adb7c59b2,lightgbm__fold_04__stress__b0a5485d00f7
xgboost,single_window_features,1,371 features at EEG(t-10s),new_training,4,stress,15944,2832,43,10,27d0b6e27ea4a69159776babe88351288b3e08a8b6a0e0a437af967ad54f9cf0,0.39695366666666665,0.46365033333333333,e3deafd7001f0c7ce42d0b0daca01bbb2ba2cadf31bc06b31ae05a09be999fa6,bd6d73c1f45012b8911a2aa4fa92af92cc06aefc12b47395c186038892e3260d,2bbeba1cd1d5084e26b518882f7e34dec5984d9c100c38e7a10d08ae4b1cb3bc,4fdad3476a2622a4342494aeffd26e146d42bd1d5afb3333e0504d3f4e213fab,4beafd8b561a0bf14a51161f244efbb90e1ff377acf7173a6c01178ce063b6ee,xgboost__fold_04__stress__4beafd8b561a
torch_lstm,sequence_features,10,371-feature windows EEG(t-100s)..EEG(t-10s),reference_neural_robustness,4,stress,15944,2832,43,10,27d0b6e27ea4a69159776babe88351288b3e08a8b6a0e0a437af967ad54f9cf0,0.39695366666666665,0.46365033333333333,e3deafd7001f0c7ce42d0b0daca01bbb2ba2cadf31bc06b31ae05a09be999fa6,bd6d73c1f45012b8911a2aa4fa92af92cc06aefc12b47395c186038892e3260d,2bbeba1cd1d5084e26b518882f7e34dec5984d9c100c38e7a10d08ae4b1cb3bc,4fdad3476a2622a4342494aeffd26e146d42bd1d5afb3333e0504d3f4e213fab,12ba8d2cf7c0607801f669e02f7e7537d70f12b86f2738c4630c3d738ed4d1d2,torch_lstm__fold_04__stress__12ba8d2cf7c0
torch_transformer,sequence_features,8,last 8 of common history: EEG(t-80s)..EEG(t-10s),new_training,4,stress,15944,2832,43,10,27d0b6e27ea4a69159776babe88351288b3e08a8b6a0e0a437af967ad54f9cf0,0.39695366666666665,0.46365033333333333,e3deafd7001f0c7ce42d0b0daca01bbb2ba2cadf31bc06b31ae05a09be999fa6,bd6d73c1f45012b8911a2aa4fa92af92cc06aefc12b47395c186038892e3260d,2bbeba1cd1d5084e26b518882f7e34dec5984d9c100c38e7a10d08ae4b1cb3bc,4fdad3476a2622a4342494aeffd26e146d42bd1d5afb3333e0504d3f4e213fab,4893d211fd3c6dda6365cde52c96576e00774dd501701fa3ca14be3f7108d846,torch_transformer__fold_04__stress__4893d211fd3c
lightgbm,single_window_features,1,371 features at EEG(t-10s),new_training,4,relaxation,16165,3682,43,10,a5f608b86ee9061617d36b1743ad601431f955dde27218d8d7829829dc257d43,0.259306,0.403906,4bb7f060af57a0e0240f59d45cd8a8dd1e385f00aebc7ac14648cebd2b8c1398,0607a52e628a5a6fb2b73c6d5c76f5bf40c9d8ac0740b245964ac36cdadda198,d7b3a7b7997f8867906c53ee1e7a0a238e229e2f47ab23e565136cb3c07d2425,c8bfda4357d23e5542cfad44a5fedadbcf949625f4eabcad1d0c633cd5b9b24d,67fbc4c3d55ebed2c3dcecafae9d99e5954fbcac46530a2e40d43bfa7bff9f26,lightgbm__fold_04__relaxation__67fbc4c3d55e
xgboost,single_window_features,1,371 features at EEG(t-10s),new_training,4,relaxation,16165,3682,43,10,a5f608b86ee9061617d36b1743ad601431f955dde27218d8d7829829dc257d43,0.259306,0.403906,4bb7f060af57a0e0240f59d45cd8a8dd1e385f00aebc7ac14648cebd2b8c1398,0607a52e628a5a6fb2b73c6d5c76f5bf40c9d8ac0740b245964ac36cdadda198,d7b3a7b7997f8867906c53ee1e7a0a238e229e2f47ab23e565136cb3c07d2425,c8bfda4357d23e5542cfad44a5fedadbcf949625f4eabcad1d0c633cd5b9b24d,e48eddab7bedfee747fac0f23f8dcf3b5b4f3d8cb704e70bf54f0ebffd5df6bb,xgboost__fold_04__relaxation__e48eddab7bed
