source,subject_id,balanced_accuracy,macro_f1,roc_auc,pr_auc
frozen_lightgbm,8191f1d9,0.6725494978190965,0.5622409743011496,0.861604286692663,0.7388932604953976
frozen_lightgbm,81e150c1,0.7549862360704288,0.7003250946121279,0.849890297909478,0.8384057621039835
frozen_lightgbm,81f1f0fe,0.7398904359960888,0.6982739596203774,0.848874975550239,0.9123058405733239
frozen_lightgbm,9192c107,0.9,0.4666666666666666,,
frozen_lightgbm,a02151ac,0.716949703563247,0.6921571117201204,0.8035116475162384,0.7761151163522008
frozen_lightgbm,a1721173,0.7631835993693444,0.7687801663264039,0.8829859268063384,0.8681263858604923
frozen_lightgbm,a1b210fc,0.7725233169142472,0.7634590982279172,0.8759872990997206,0.8640896226870111
frozen_lightgbm,b0700166,0.6670099155988634,0.5938224915317333,0.8494251464947045,0.8838865652576179
frozen_lightgbm,b112005d,0.6901606230665438,0.6769705111046171,0.810845219753283,0.7838088098428965
frozen_lightgbm,b1c2f044,0.8087425654995816,0.7864502356927529,0.9339882127873543,0.8657706953279375
frozen_lightgbm,c060c06a,0.7314915753812118,0.6688693148708718,0.8911497780659616,0.8014918315748485
frozen_lightgbm,c112918e,0.6573989582067472,0.5914644165501957,0.8579122164345774,0.8144281212227308
frozen_lightgbm,c1a150b1,0.7066714790845807,0.6588294399585856,0.8410179297356644,0.8013153711138876
frozen_lightgbm,d0724095,0.7593168082864945,0.7317183231708991,0.8895965879208737,0.8527000445699625
frozen_lightgbm,d0e2d025,0.7625106534882974,0.7460327896838598,0.9133117392258205,0.9276914598079768
frozen_lightgbm,d111e017,0.8789015390390649,0.8766894585798053,0.935652362826449,0.9281834166691413
frozen_lightgbm,d142d110,0.782063784944782,0.7652355569939322,0.8712972197219744,0.8362343898219372
frozen_lightgbm,d151b0c4,0.7784552114485103,0.7691126784336294,0.8751767938722583,0.8566277842629747
frozen_lightgbm,d18000a3,0.8233577830370467,0.8101497235585496,0.9314821346294425,0.9479521606093312
frozen_lightgbm,e0c0408a,0.6966810714920941,0.620615214470655,0.8908349837460169,0.8671185836158094
frozen_lightgbm,f0f2a1e1,0.8101861829296283,0.7799862064957833,0.90689996999619,0.9315927949205706
frozen_lightgbm,f121f1e0,0.6950823928785297,0.654745558162238,0.8669718195018541,0.9026493300482302
frozen_lightgbm,f1a0c120,0.7329133789340736,0.7393758484339813,0.8734655943842782,0.8881282278732527
frozen_lightgbm,f1d06060,0.7252677779895048,0.6689948365511845,0.896737998458172,0.8864537288093597
frozen_xgboost,0001508a,0.7090287450816506,0.6720177776945063,0.860184111162531,0.8442328017083641
frozen_xgboost,0012905a,0.7468448424394688,0.7480481180818183,0.8613401993146017,0.8421352346658241
frozen_xgboost,0110f12e,0.8096176929497273,0.8096997044399956,0.8850160027469404,0.9030779232439169
frozen_xgboost,0182e16c,0.6681910359171892,0.5978355638634705,0.873302348906068,0.8275106604479586
frozen_xgboost,01c2a0d8,0.7655999565988597,0.7422158381120342,0.8834343766620789,0.8478848185304646
frozen_xgboost,1081b177,0.789890060416048,0.7739378773851662,0.9118113171068002,0.9224558981887064
frozen_xgboost,20201194,0.7107724287104623,0.6985033612980313,0.8375073481819356,0.811925843088644
frozen_xgboost,2162c09e,0.7898451094065947,0.7808856086744065,0.9175002779747666,0.9226354926222949
frozen_xgboost,2182c1cd,0.7354535122046827,0.7186489014644516,0.8773829267122857,0.8688680677970739
frozen_xgboost,219060fa,0.7615337411054836,0.749606623178967,0.8969189090935534,0.9188678420726857
frozen_xgboost,21a031f6,0.7756279253931241,0.7478587323263277,0.8706839349146981,0.8260883186600211
frozen_xgboost,30908049,0.7204723775403965,0.669999919575517,0.8588044015184898,0.8861384348528077
frozen_xgboost,30c140ca,0.6865830397608078,0.677325569368609,0.7819221125214174,0.7433816337168372
frozen_xgboost,3110e0c7,0.6312399961640921,0.5767792748853621,0.729703514001062,0.7673868169733774
frozen_xgboost,40009139,0.8025763488080797,0.7952646866052057,0.9177634488430136,0.9085654471567224
frozen_xgboost,40f0714a,0.7616148136463909,0.6798073063426745,0.9439612621895054,0.8925212448117475
frozen_xgboost,41e2010c,0.7522409484591455,0.7250261732022075,0.9043708806982496,0.9248584298115852
frozen_xgboost,5001d09a,0.8069159266307206,0.7925704461079975,0.9152476087780878,0.9386335193163757
frozen_xgboost,50c02189,0.633876094936326,0.5591601548826276,0.8119488840281514,0.8253356883406828
frozen_xgboost,517001af,0.7831821782150888,0.7796121858410334,0.914461341745459,0.9147152811518364
frozen_xgboost,6030f0fd,0.7697620143877434,0.7445245666454564,0.8817297216146853,0.8731553073020312
frozen_xgboost,7072a0e0,0.7382465441105338,0.6776361632330742,0.8516859694425319,0.8994488686720946
frozen_xgboost,7092f07b,0.6928745741500666,0.6597443159157922,0.8721755900404303,0.8604458279820211
frozen_xgboost,7150e10a,0.6876051831213891,0.647203692625064,0.8453529156891709,0.8143473456914693
frozen_xgboost,71a251fa,0.8474508937977422,0.8207684481900398,0.9286289095985106,0.8677090319249874
frozen_xgboost,71c09041,0.7656483603295567,0.7118590982836235,0.889036324893292,0.8540404648264774
frozen_xgboost,71e10186,0.9445650110919155,0.9468928687109032,0.9883653985363734,0.991061281961202
frozen_xgboost,71f0603f,0.7834274380913726,0.7848148545650874,0.8814737113781053,0.8924818418296994
frozen_xgboost,71f21142,0.7760441908776654,0.7592416759255122,0.8740992976260452,0.851966472861296
frozen_xgboost,8030618f,0.7623889372229,0.7036955305363729,0.8774633263505194,0.8812640484927693
frozen_xgboost,8191f1d9,0.6656944024237,0.5639948898299957,0.8113868819123198,0.6708970640496323
frozen_xgboost,81e150c1,0.7660741902592619,0.717790584662964,0.8596868210931383,0.8445864928629359
frozen_xgboost,81f1f0fe,0.6815558107539544,0.6476233150392036,0.808812800685477,0.8888487825541402
frozen_xgboost,9192c107,0.8,0.4333333333333333,,
frozen_xgboost,a02151ac,0.722569929300634,0.7003643174413198,0.8010427051176909,0.7778015297279796
frozen_xgboost,a1721173,0.7711620451992882,0.7758229946982225,0.8721188878611015,0.8611275256158119
frozen_xgboost,a1b210fc,0.7784981544682692,0.7672846021026541,0.8748492837545427,0.8614190713919926
frozen_xgboost,b0700166,0.6728777704726642,0.6031638851983628,0.8482065436016865,0.8842307313665961
frozen_xgboost,b112005d,0.6984471626594734,0.6816049214017345,0.8035141885838836,0.7839885936433015
frozen_xgboost,b1c2f044,0.808607909021654,0.7838818024062456,0.935093824649938,0.8652192219008346
frozen_xgboost,c060c06a,0.7278645508713721,0.6699757571695605,0.8705388775000946,0.7888761790090504
frozen_xgboost,c112918e,0.6413424053606588,0.5656212722737616,0.8384500951728209,0.7805012017174046
frozen_xgboost,c1a150b1,0.6961227561450354,0.6538756516305441,0.8148292502289938,0.7905804099842114
frozen_xgboost,d0724095,0.7567322458264378,0.7323270272285661,0.8868975795417147,0.8491612508653226
frozen_xgboost,d0e2d025,0.770195325796133,0.7543222736714534,0.9103966427583682,0.9338638642477518
frozen_xgboost,d111e017,0.879526902290906,0.8771877688400427,0.938175846641118,0.928018410773354
frozen_xgboost,d142d110,0.7844029304856157,0.7646668802498947,0.8674159739194293,0.8132029806634024
frozen_xgboost,d151b0c4,0.7721122610415508,0.7658346024035827,0.8694894635987312,0.8544073007832711
frozen_xgboost,d18000a3,0.8213939491147235,0.8101729960162011,0.9225190449167959,0.9401518230994775
frozen_xgboost,e0c0408a,0.7267932184648928,0.6541914077138811,0.861177982832268,0.8637204158047765
frozen_xgboost,f0f2a1e1,0.8135728250370894,0.7800087336868332,0.8999674414323575,0.925220901086954
frozen_xgboost,f121f1e0,0.6979986507888114,0.6557607865477416,0.854050707041215,0.8936090637393849
frozen_xgboost,f1a0c120,0.7264917837762151,0.7313246457082826,0.8795542052918444,0.8848145955343151
frozen_xgboost,f1d06060,0.7326620029956529,0.6829708330155905,0.8889555894384525,0.8710871697002381
